geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-78.31183,-5.485993],[-78.321033,-5.463058],[-78.316173,-5.443017],[-78.32435,-5.419439],[-78.323674,-5.406107],[-78.358463,-5.353457],[-78.369189,-5.345541],[-78.371875,-5.333107],[-78.389607,-5.317005],[-78.385714,-5.307096],[-78.393861,-5.269732],[-78.388946,-5.255462],[-78.410172,-5.230254],[-78.437752,-5.223589],[-78.435446,-5.203401],[-78.445812,-5.198818],[-78.450299,-5.183041],[-78.462493,-5.173719],[-78.481124,-5.180786],[-78.495997,-5.199449],[-78.514084,-5.208502],[-78.520924,-5.218338],[-78.521793,-5.239475],[-78.54462,-5.259106],[-78.556998,-5.255343],[-78.564065,-5.235202],[-78.580818,-5.220319],[-78.584643,-5.235572],[-78.6032,-5.256121],[-78.617687,-5.29507],[-78.626154,-5.306373],[-78.604492,-5.309898],[-78.589811,-5.324944],[-78.563979,-5.344624],[-78.551314,-5.360268],[-78.539872,-5.365686],[-78.518402,-5.399279],[-78.521593,-5.420569],[-78.513757,-5.42609],[-78.511321,-5.446797],[-78.515178,-5.454349],[-78.542138,-5.470387],[-78.543077,-5.481767],[-78.539757,-5.485947],[-78.494766,-5.483956],[-78.477793,-5.517408],[-78.476565,-5.528349],[-78.465986,-5.541235],[-78.412184,-5.56086],[-78.39559,-5.556569],[-78.362977,-5.576754],[-78.33507,-5.567893],[-78.325566,-5.559211],[-78.323395,-5.549931],[-78.335024,-5.539725],[-78.324598,-5.533166],[-78.310904,-5.505182],[-78.303157,-5.500831],[-78.31183,-5.485993]]]}",1,Amazonas,2,Bagua,2,Aramango,ARAMANGO
"{""type"":""Polygon"",""coordinates"":[[[-78.477793,-5.517408],[-78.494766,-5.483956],[-78.539757,-5.485947],[-78.543077,-5.481767],[-78.558515,-5.499089],[-78.550537,-5.516776],[-78.554747,-5.538075],[-78.554489,-5.559951],[-78.565456,-5.572167],[-78.565362,-5.587882],[-78.555837,-5.604069],[-78.542243,-5.611698],[-78.556014,-5.626064],[-78.560246,-5.646581],[-78.552196,-5.650476],[-78.533619,-5.644046],[-78.516377,-5.657478],[-78.505575,-5.680083],[-78.497805,-5.681436],[-78.48358,-5.68377],[-78.46959,-5.66744],[-78.465143,-5.644615],[-78.491422,-5.63842],[-78.494089,-5.626646],[-78.490145,-5.602019],[-78.50521,-5.59864],[-78.503985,-5.57592],[-78.527324,-5.552208],[-78.53008,-5.53602],[-78.51529,-5.5422],[-78.49206,-5.53559],[-78.477793,-5.517408]]]}",1,Amazonas,2,Bagua,1,Bagua,BAGUA
"{""type"":""Polygon"",""coordinates"":[[[-78.455384,-5.732973],[-78.44829,-5.73137],[-78.405571,-5.690257],[-78.402329,-5.671958],[-78.387179,-5.649223],[-78.368131,-5.626791],[-78.335853,-5.622746],[-78.316507,-5.617634],[-78.318863,-5.581317],[-78.325566,-5.559211],[-78.33507,-5.567893],[-78.362977,-5.576754],[-78.375645,-5.594985],[-78.378593,-5.610419],[-78.38841,-5.60872],[-78.40069,-5.62651],[-78.41066,-5.62986],[-78.41677,-5.64729],[-78.42858,-5.65619],[-78.4312,-5.66941],[-78.44531,-5.67862],[-78.4625,-5.66589],[-78.46959,-5.66744],[-78.48358,-5.68377],[-78.497805,-5.681436],[-78.503311,-5.691557],[-78.489376,-5.695585],[-78.459457,-5.715841],[-78.455384,-5.732973]]]}",1,Amazonas,2,Bagua,3,Copallín,COPALLIN
"{""type"":""Polygon"",""coordinates"":[[[-78.465143,-5.644615],[-78.448119,-5.638746],[-78.459932,-5.627131],[-78.462179,-5.604508],[-78.490145,-5.602019],[-78.494089,-5.626646],[-78.491422,-5.63842],[-78.465143,-5.644615]]]}",1,Amazonas,2,Bagua,4,El Parco,EL PARCO
"{""type"":""Polygon"",""coordinates"":[[[-78.133158,-4.664879],[-78.15416,-4.653874],[-78.147286,-4.643188],[-78.163562,-4.634181],[-78.186423,-4.656104],[-78.198277,-4.65342],[-78.218899,-4.658538],[-78.253348,-4.70521],[-78.268919,-4.703872],[-78.262002,-4.681245],[-78.277207,-4.662752],[-78.285086,-4.673088],[-78.300247,-4.67524],[-78.317742,-4.667327],[-78.32948,-4.679537],[-78.361261,-4.647704],[-78.392971,-4.65264],[-78.416926,-4.659531],[-78.448685,-4.645502],[-78.46583,-4.648492],[-78.472828,-4.633454],[-78.4966,-4.606286],[-78.52243,-4.585746],[-78.54025,-4.584533],[-78.55318,-4.579029],[-78.571629,-4.595381],[-78.582787,-4.599856],[-78.582497,-4.580755],[-78.588715,-4.561966],[-78.581328,-4.534009],[-78.590699,-4.528629],[-78.598918,-4.509091],[-78.619089,-4.510012],[-78.625419,-4.500511],[-78.63575,-4.500882],[-78.647523,-4.508971],[-78.661123,-4.530081],[-78.66286,-4.57009],[-78.660806,-4.586063],[-78.674865,-4.592022],[-78.695618,-4.607452],[-78.705955,-4.623873],[-78.695382,-4.636962],[-78.663788,-4.656023],[-78.649688,-4.646623],[-78.637938,-4.657982],[-78.643632,-4.682157],[-78.63171,-4.698435],[-78.64,-4.705228],[-78.644661,-4.736452],[-78.628269,-4.739679],[-78.631132,-4.757313],[-78.620792,-4.768537],[-78.641285,-4.799836],[-78.635883,-4.830297],[-78.631877,-4.836445],[-78.643055,-4.8561],[-78.645105,-4.907474],[-78.662278,-4.94135],[-78.662982,-4.949094],[-78.678328,-4.968382],[-78.667769,-4.978659],[-78.651434,-4.978569],[-78.652845,-4.988215],[-78.643054,-5.006056],[-78.641785,-5.036369],[-78.647457,-5.039331],[-78.657714,-5.067423],[-78.680199,-5.072125],[-78.683411,-5.087026],[-78.695502,-5.093471],[-78.700624,-5.104083],[-78.705832,-5.149595],[-78.710895,-5.156772],[-78.709113,-5.179629],[-78.693553,-5.232746],[-78.685294,-5.237647],[-78.688432,-5.254953],[-78.684244,-5.26749],[-78.671463,-5.266836],[-78.654426,-5.274301],[-78.64157,-5.303752],[-78.626154,-5.306373],[-78.617687,-5.29507],[-78.6032,-5.256121],[-78.584643,-5.235572],[-78.580818,-5.220319],[-78.564065,-5.235202],[-78.556998,-5.255343],[-78.54462,-5.259106],[-78.521793,-5.239475],[-78.520924,-5.218338],[-78.514084,-5.208502],[-78.495997,-5.199449],[-78.481124,-5.180786],[-78.462493,-5.173719],[-78.450299,-5.183041],[-78.445812,-5.198818],[-78.435446,-5.203401],[-78.437752,-5.223589],[-78.410172,-5.230254],[-78.388946,-5.255462],[-78.393861,-5.269732],[-78.385714,-5.307096],[-78.389607,-5.317005],[-78.371875,-5.333107],[-78.369189,-5.345541],[-78.358463,-5.353457],[-78.323674,-5.406107],[-78.32435,-5.419439],[-78.316173,-5.443017],[-78.321033,-5.463058],[-78.31183,-5.485993],[-78.288012,-5.480562],[-78.27425,-5.470578],[-78.267081,-5.474778],[-78.23887,-5.470394],[-78.230404,-5.459418],[-78.228466,-5.443484],[-78.216551,-5.431066],[-78.192219,-5.417214],[-78.172478,-5.390621],[-78.163409,-5.38683],[-78.159762,-5.370384],[-78.148022,-5.360594],[-78.146042,-5.339904],[-78.121254,-5.328922],[-78.106146,-5.341998],[-78.096758,-5.341275],[-78.090737,-5.318311],[-78.084203,-5.312852],[-78.080859,-5.294596],[-78.074507,-5.286721],[-78.067613,-5.265271],[-78.076167,-5.254006],[-78.066994,-5.238979],[-78.069605,-5.228699],[-78.060656,-5.221969],[-78.056897,-5.208592],[-78.071493,-5.191422],[-78.079715,-5.17076],[-78.097246,-5.169006],[-78.099322,-5.14609],[-78.122252,-5.1352],[-78.142398,-5.118857],[-78.158811,-5.109947],[-78.154026,-5.096535],[-78.143826,-5.09557],[-78.143144,-5.080658],[-78.160804,-5.078975],[-78.171762,-5.072543],[-78.194841,-5.037894],[-78.193914,-5.021281],[-78.176964,-4.994541],[-78.145432,-4.989575],[-78.145866,-4.968165],[-78.163261,-4.947388],[-78.165173,-4.936903],[-78.158163,-4.918602],[-78.140889,-4.909314],[-78.134384,-4.887425],[-78.127776,-4.883295],[-78.128118,-4.848554],[-78.119413,-4.840239],[-78.142857,-4.801473],[-78.136379,-4.793527],[-78.139432,-4.779957],[-78.154139,-4.762699],[-78.14524,-4.758099],[-78.120141,-4.699513],[-78.133158,-4.664879]]]}",1,Amazonas,2,Bagua,5,Imaza,CHIRIACO
"{""type"":""Polygon"",""coordinates"":[[[-78.362977,-5.576754],[-78.39559,-5.556569],[-78.412184,-5.56086],[-78.465986,-5.541235],[-78.476565,-5.528349],[-78.477793,-5.517408],[-78.49206,-5.53559],[-78.51529,-5.5422],[-78.53008,-5.53602],[-78.527324,-5.552208],[-78.503985,-5.57592],[-78.50521,-5.59864],[-78.490145,-5.602019],[-78.462179,-5.604508],[-78.459932,-5.627131],[-78.448119,-5.638746],[-78.465143,-5.644615],[-78.46959,-5.66744],[-78.4625,-5.66589],[-78.44531,-5.67862],[-78.4312,-5.66941],[-78.42858,-5.65619],[-78.41677,-5.64729],[-78.41066,-5.62986],[-78.40069,-5.62651],[-78.38841,-5.60872],[-78.378593,-5.610419],[-78.375645,-5.594985],[-78.362977,-5.576754]]]}",1,Amazonas,2,Bagua,6,La Peca,LA PECA
"{""type"":""Polygon"",""coordinates"":[[[-77.671675,-5.974104],[-77.671246,-5.963262],[-77.659914,-5.955135],[-77.651891,-5.935332],[-77.663294,-5.91767],[-77.672566,-5.885612],[-77.68343,-5.876063],[-77.677883,-5.859647],[-77.681527,-5.849487],[-77.694813,-5.840233],[-77.726416,-5.843982],[-77.760771,-5.824919],[-77.78544,-5.84183],[-77.78876,-5.84974],[-77.80858,-5.85737],[-77.81048,-5.86977],[-77.79625,-5.88613],[-77.7923,-5.89886],[-77.75537,-5.92518],[-77.74483,-5.94494],[-77.71726,-5.9442],[-77.70373,-5.9529],[-77.68756,-5.9791],[-77.671675,-5.974104]]]}",1,Amazonas,3,Bongara,2,Chisquilla,CHISQUILLA
"{""type"":""Polygon"",""coordinates"":[[[-77.899573,-6.031426],[-77.894616,-6.01893],[-77.900356,-5.996936],[-77.91429,-5.984487],[-77.929366,-5.990997],[-77.945185,-5.98575],[-77.97025,-5.9833],[-77.95218,-6.02225],[-77.93779,-6.03777],[-77.909264,-6.025283],[-77.899573,-6.031426]]]}",1,Amazonas,3,Bongara,3,Churuja,CHURUJA
"{""type"":""Polygon"",""coordinates"":[[[-77.770355,-5.788143],[-77.787432,-5.794219],[-77.805708,-5.785798],[-77.818036,-5.789052],[-77.828827,-5.776355],[-77.848236,-5.77929],[-77.85732,-5.80472],[-77.84235,-5.82357],[-77.84122,-5.84267],[-77.81048,-5.86977],[-77.80858,-5.85737],[-77.78876,-5.84974],[-77.78544,-5.84183],[-77.760771,-5.824919],[-77.770355,-5.788143]]]}",1,Amazonas,3,Bongara,4,Corosha,COROSHA
"{""type"":""Polygon"",""coordinates"":[[[-77.878769,-5.870971],[-77.897132,-5.863069],[-77.914903,-5.860635],[-77.92341,-5.875239],[-77.936707,-5.882796],[-77.957725,-5.8784],[-77.976639,-5.890393],[-77.96101,-5.91776],[-77.9714,-5.93865],[-77.95919,-5.94731],[-77.94162,-5.95315],[-77.93159,-5.94771],[-77.91249,-5.95298],[-77.88604,-5.94853],[-77.86409,-5.95809],[-77.859737,-5.949974],[-77.872395,-5.9238],[-77.862189,-5.909517],[-77.866402,-5.887226],[-77.878769,-5.870971]]]}",1,Amazonas,3,Bongara,5,Cuispes,CUISPES
