geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-71.410606,-16.296211],[-71.425171,-16.29042],[-71.45623,-16.28597],[-71.47438,-16.29194],[-71.49485,-16.31088],[-71.50464,-16.31177],[-71.53016,-16.32714],[-71.53457,-16.33345],[-71.536222,-16.3683],[-71.532721,-16.374004],[-71.528589,-16.390544],[-71.51171,-16.37633],[-71.47821,-16.35585],[-71.46217,-16.3389],[-71.434608,-16.317276],[-71.425072,-16.305084],[-71.410606,-16.296211]]]}",4,Arequipa,1,Arequipa,2,Alto Selva Alegre,SELVA ALEGRE
"{""type"":""Polygon"",""coordinates"":[[[-71.528589,-16.390544],[-71.532721,-16.374004],[-71.539866,-16.392414],[-71.552272,-16.407517],[-71.551553,-16.415853],[-71.56666,-16.43414],[-71.544532,-16.42224],[-71.51501,-16.41002],[-71.513332,-16.41039],[-71.516508,-16.402929],[-71.528589,-16.390544]]]}",4,Arequipa,1,Arequipa,1,Arequipa,AREQUIPA
"{""type"":""Polygon"",""coordinates"":[[[-71.33857,-16.225662],[-71.35974,-16.21332],[-71.388672,-16.206797],[-71.412467,-16.208586],[-71.427373,-16.170446],[-71.458883,-16.164708],[-71.467289,-16.167325],[-71.476463,-16.184702],[-71.505633,-16.200254],[-71.500678,-16.219561],[-71.51863,-16.22156],[-71.52857,-16.2401],[-71.5297,-16.25877],[-71.54981,-16.29203],[-71.545047,-16.308877],[-71.55669,-16.34584],[-71.551732,-16.390969],[-71.53582,-16.376103],[-71.536222,-16.3683],[-71.53457,-16.33345],[-71.53016,-16.32714],[-71.50464,-16.31177],[-71.49485,-16.31088],[-71.47438,-16.29194],[-71.45623,-16.28597],[-71.425171,-16.29042],[-71.410606,-16.296211],[-71.396988,-16.295826],[-71.382103,-16.288235],[-71.355804,-16.253263],[-71.340767,-16.241356],[-71.33857,-16.225662]]]}",4,Arequipa,1,Arequipa,3,Cayma,CAYMA
"{""type"":""Polygon"",""coordinates"":[[[-71.505633,-16.200254],[-71.513235,-16.189706],[-71.535117,-16.192876],[-71.550658,-16.199062],[-71.577643,-16.200763],[-71.59025,-16.21966],[-71.59094,-16.24335],[-71.595582,-16.25945],[-71.592756,-16.277271],[-71.595677,-16.292168],[-71.61171,-16.3089],[-71.63056,-16.34124],[-71.6384,-16.36916],[-71.64691,-16.37807],[-71.65072,-16.39256],[-71.646843,-16.397726],[-71.627228,-16.399284],[-71.605698,-16.407879],[-71.602162,-16.407482],[-71.566615,-16.404681],[-71.551732,-16.390969],[-71.55669,-16.34584],[-71.545047,-16.308877],[-71.54981,-16.29203],[-71.5297,-16.25877],[-71.52857,-16.2401],[-71.51863,-16.22156],[-71.500678,-16.219561],[-71.505633,-16.200254]]]}",4,Arequipa,1,Arequipa,4,Cerro Colorado,LA LIBERTAD
"{""type"":""Polygon"",""coordinates"":[[[-71.254066,-16.403954],[-71.262932,-16.403419],[-71.28033,-16.42318],[-71.30888,-16.43715],[-71.33311,-16.44088],[-71.36446,-16.44179],[-71.387611,-16.436882],[-71.406822,-16.428566],[-71.414307,-16.45735],[-71.442894,-16.454769],[-71.47316,-16.46824],[-71.49187,-16.46153],[-71.502594,-16.467701],[-71.516159,-16.484749],[-71.50266,-16.48852],[-71.49081,-16.48502],[-71.45302,-16.4847],[-71.44829,-16.49479],[-71.40792,-16.49027],[-71.39546,-16.47775],[-71.3778,-16.474611],[-71.366157,-16.48053],[-71.348785,-16.473701],[-71.338699,-16.463232],[-71.32135,-16.453308],[-71.286209,-16.439274],[-71.2621,-16.432041],[-71.239304,-16.431339],[-71.254066,-16.403954]]]}",4,Arequipa,1,Arequipa,5,Characato,CHARACATO
"{""type"":""Polygon"",""coordinates"":[[[-71.254066,-16.403954],[-71.275871,-16.367635],[-71.320155,-16.30969],[-71.3442,-16.310831],[-71.3601,-16.303902],[-71.410606,-16.296211],[-71.42059,-16.32057],[-71.42637,-16.35111],[-71.4445,-16.37605],[-71.45108,-16.39303],[-71.447014,-16.415081],[-71.42779,-16.41955],[-71.42361,-16.42787],[-71.406822,-16.428566],[-71.387611,-16.436882],[-71.36446,-16.44179],[-71.33311,-16.44088],[-71.30888,-16.43715],[-71.28033,-16.42318],[-71.262932,-16.403419],[-71.254066,-16.403954]]]}",4,Arequipa,1,Arequipa,6,Chiguata,CHIGUATA
"{""type"":""Polygon"",""coordinates"":[[[-71.53782,-16.436495],[-71.544532,-16.42224],[-71.56666,-16.43414],[-71.57548,-16.44818],[-71.58512,-16.45746],[-71.5752,-16.47993],[-71.574129,-16.491079],[-71.561096,-16.494089],[-71.55409,-16.47698],[-71.55795,-16.46492],[-71.540993,-16.452057],[-71.53782,-16.436495]]]}",4,Arequipa,1,Arequipa,7,Jacobo Hunter,JACOBO HUNTER
"{""type"":""Polygon"",""coordinates"":[[[-71.50128,-16.44907],[-71.516723,-16.420218],[-71.51501,-16.41002],[-71.544532,-16.42224],[-71.53782,-16.436495],[-71.518058,-16.443755],[-71.51328,-16.45531],[-71.50128,-16.44907]]]}",4,Arequipa,1,Arequipa,29,José Luis Bustamante Y Rivero,CIUDAD SATELITE
"{""type"":""Polygon"",""coordinates"":[[[-71.705368,-16.541489],[-71.718437,-16.524967],[-71.741226,-16.509996],[-71.74958,-16.509954],[-71.771469,-16.4923],[-71.764313,-16.465502],[-71.750366,-16.458075],[-71.739479,-16.43161],[-71.768867,-16.428911],[-71.768921,-16.403706],[-71.797409,-16.393063],[-71.814506,-16.397669],[-71.855576,-16.405521],[-71.859856,-16.409199],[-71.859116,-16.445209],[-71.869377,-16.464163],[-71.889259,-16.484852],[-71.896103,-16.566709],[-71.91028,-16.58332],[-71.917267,-16.603283],[-71.873177,-16.62558],[-71.909965,-16.675045],[-71.870727,-16.713434],[-71.869507,-16.785982],[-71.765236,-16.708244],[-71.7444,-16.698143],[-71.734428,-16.700539],[-71.703003,-16.698587],[-71.669731,-16.705452],[-71.666977,-16.701633],[-71.674705,-16.671776],[-71.674995,-16.658663],[-71.660912,-16.634384],[-71.637215,-16.621649],[-71.632446,-16.599218],[-71.624237,-16.590183],[-71.652901,-16.58444],[-71.677605,-16.599052],[-71.699257,-16.588501],[-71.68737,-16.56673],[-71.699852,-16.558868],[-71.705368,-16.541489]]]}",4,Arequipa,1,Arequipa,8,La Joya,LA JOYA
"{""type"":""Polygon"",""coordinates"":[[[-71.45108,-16.39303],[-71.4445,-16.37605],[-71.42637,-16.35111],[-71.42059,-16.32057],[-71.431068,-16.333464],[-71.450508,-16.347374],[-71.456482,-16.355856],[-71.494952,-16.391424],[-71.516508,-16.402929],[-71.513332,-16.41039],[-71.48293,-16.40203],[-71.46958,-16.40264],[-71.45108,-16.39303]]]}",4,Arequipa,1,Arequipa,9,Mariano Melgar,MARIANO MELGAR
