geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-78.219429,-7.393498],[-78.219842,-7.387624],[-78.277383,-7.373447],[-78.292144,-7.377493],[-78.29765,-7.387799],[-78.347246,-7.402719],[-78.356808,-7.399631],[-78.354177,-7.413269],[-78.343674,-7.417378],[-78.343629,-7.42872],[-78.35168,-7.447662],[-78.350498,-7.474791],[-78.335831,-7.495248],[-78.326994,-7.509287],[-78.349581,-7.51182],[-78.360827,-7.529961],[-78.356792,-7.574006],[-78.361847,-7.58466],[-78.379756,-7.600274],[-78.376064,-7.639959],[-78.36073,-7.644299],[-78.35662,-7.67381],[-78.347965,-7.685716],[-78.330139,-7.699628],[-78.315198,-7.703179],[-78.302803,-7.696463],[-78.28386,-7.715574],[-78.283246,-7.742103],[-78.272422,-7.753518],[-78.261154,-7.754024],[-78.242322,-7.754499],[-78.224653,-7.759331],[-78.213518,-7.75404],[-78.211641,-7.743205],[-78.219645,-7.728568],[-78.199451,-7.729377],[-78.190288,-7.717504],[-78.171345,-7.713394],[-78.158863,-7.693351],[-78.141004,-7.682721],[-78.141683,-7.664019],[-78.127809,-7.653485],[-78.11683,-7.65376],[-78.13167,-7.61483],[-78.12951,-7.60842],[-78.135895,-7.58283],[-78.145092,-7.56712],[-78.16636,-7.5474],[-78.15526,-7.52359],[-78.150949,-7.505396],[-78.154459,-7.485968],[-78.13513,-7.47808],[-78.174384,-7.457267],[-78.177494,-7.448129],[-78.19067,-7.437539],[-78.20452,-7.416403],[-78.21767,-7.41024],[-78.219429,-7.393498]]]}",6,Cajamarca,2,Cajabamba,2,Cachachi,CACHACHI
"{""type"":""Polygon"",""coordinates"":[[[-77.940503,-7.640627],[-77.950121,-7.625868],[-77.960372,-7.591849],[-77.967385,-7.594807],[-77.980571,-7.585317],[-77.98473,-7.565997],[-78.016541,-7.568484],[-78.023794,-7.575771],[-78.03979,-7.57675],[-78.05656,-7.58481],[-78.06671,-7.5845],[-78.07611,-7.59539],[-78.09901,-7.60857],[-78.12951,-7.60842],[-78.13167,-7.61483],[-78.11683,-7.65376],[-78.093328,-7.675342],[-78.081221,-7.696169],[-78.06321,-7.68881],[-78.05093,-7.67892],[-78.02597,-7.68251],[-77.998642,-7.679074],[-77.973203,-7.66705],[-77.957824,-7.6548],[-77.936584,-7.657477],[-77.940503,-7.640627]]]}",6,Cajamarca,2,Cajabamba,1,Cajabamba,CAJABAMBA
"{""type"":""Polygon"",""coordinates"":[[[-78.05134,-7.46385],[-78.07797,-7.4604],[-78.08497,-7.45431],[-78.119443,-7.465591],[-78.12591,-7.48021],[-78.13513,-7.47808],[-78.154459,-7.485968],[-78.150949,-7.505396],[-78.15526,-7.52359],[-78.16636,-7.5474],[-78.145092,-7.56712],[-78.135895,-7.58283],[-78.12951,-7.60842],[-78.09901,-7.60857],[-78.07611,-7.59539],[-78.06671,-7.5845],[-78.05656,-7.58481],[-78.03979,-7.57675],[-78.023794,-7.575771],[-78.016541,-7.568484],[-78.031677,-7.553536],[-78.033326,-7.53799],[-78.026324,-7.525173],[-78.025943,-7.500498],[-78.018649,-7.493399],[-78.034771,-7.470065],[-78.05134,-7.46385]]]}",6,Cajamarca,2,Cajabamba,3,Condebamba,CAUDAY
"{""type"":""Polygon"",""coordinates"":[[[-77.829602,-7.347639],[-77.853011,-7.358357],[-77.8831,-7.36419],[-77.911841,-7.353657],[-77.920562,-7.343552],[-77.942551,-7.345665],[-77.948685,-7.351176],[-77.961334,-7.370484],[-77.973759,-7.374567],[-77.982634,-7.387463],[-77.985597,-7.409096],[-77.99544,-7.41815],[-78.00256,-7.4504],[-78.01332,-7.46216],[-78.04122,-7.4565],[-78.05134,-7.46385],[-78.034771,-7.470065],[-78.018649,-7.493399],[-78.025943,-7.500498],[-78.026324,-7.525173],[-78.033326,-7.53799],[-78.031677,-7.553536],[-78.016541,-7.568484],[-77.98473,-7.565997],[-77.980571,-7.585317],[-77.967385,-7.594807],[-77.960372,-7.591849],[-77.950121,-7.625868],[-77.940503,-7.640627],[-77.926254,-7.637088],[-77.915957,-7.619322],[-77.92051,-7.59909],[-77.88789,-7.58821],[-77.869531,-7.58485],[-77.8618,-7.55226],[-77.86264,-7.53485],[-77.85749,-7.5242],[-77.84417,-7.51438],[-77.81346,-7.50439],[-77.791867,-7.500391],[-77.77,-7.48178],[-77.745983,-7.47916],[-77.741372,-7.466695],[-77.755421,-7.441046],[-77.768206,-7.438242],[-77.771256,-7.42114],[-77.780729,-7.410885],[-77.800575,-7.403007],[-77.825144,-7.378301],[-77.820927,-7.369123],[-77.829602,-7.347639]]]}",6,Cajamarca,2,Cajabamba,4,Sitacocha,LLUCHUBAMBA
"{""type"":""Polygon"",""coordinates"":[[[-78.53275,-7.28299],[-78.55321,-7.29183],[-78.58643,-7.2879],[-78.6088,-7.2794],[-78.62165,-7.285362],[-78.636238,-7.318771],[-78.627796,-7.329246],[-78.642217,-7.350058],[-78.636923,-7.355931],[-78.607237,-7.366755],[-78.593588,-7.375695],[-78.576063,-7.377411],[-78.558526,-7.365835],[-78.516221,-7.39012],[-78.501561,-7.376836],[-78.484346,-7.373586],[-78.452537,-7.389077],[-78.442364,-7.383514],[-78.425111,-7.386584],[-78.387764,-7.381818],[-78.381864,-7.368679],[-78.402044,-7.358021],[-78.4098,-7.35883],[-78.42852,-7.34659],[-78.44717,-7.3264],[-78.44946,-7.31145],[-78.47896,-7.30621],[-78.51474,-7.29504],[-78.53275,-7.28299]]]}",6,Cajamarca,1,Cajamarca,2,Asunción,ASUNCION
"{""type"":""Polygon"",""coordinates"":[[[-78.506988,-6.978818],[-78.513945,-6.95544],[-78.525527,-6.955853],[-78.532178,-6.937075],[-78.562331,-6.927538],[-78.574951,-6.917316],[-78.582432,-6.897671],[-78.599519,-6.88651],[-78.604777,-6.889571],[-78.613506,-6.920726],[-78.604499,-6.95458],[-78.609475,-6.966697],[-78.6041,-6.987455],[-78.609345,-6.999464],[-78.62793,-7.01637],[-78.63628,-7.03906],[-78.63612,-7.05436],[-78.648201,-7.070809],[-78.66267,-7.09285],[-78.66171,-7.10299],[-78.62997,-7.08501],[-78.613048,-7.121845],[-78.62516,-7.129023],[-78.625167,-7.143896],[-78.610822,-7.147352],[-78.604693,-7.16842],[-78.590138,-7.171742],[-78.576775,-7.185105],[-78.556967,-7.190508],[-78.546687,-7.20992],[-78.532013,-7.226766],[-78.526045,-7.222949],[-78.508088,-7.227019],[-78.482736,-7.241073],[-78.460549,-7.245805],[-78.46549,-7.20518],[-78.462401,-7.196046],[-78.47022,-7.18265],[-78.48321,-7.14907],[-78.51083,-7.1408],[-78.5202,-7.1434],[-78.516947,-7.121745],[-78.520905,-7.101842],[-78.53589,-7.092277],[-78.545985,-7.068185],[-78.547767,-7.053176],[-78.53833,-7.03481],[-78.54325,-7.02274],[-78.515016,-7.00288],[-78.506988,-6.978818]]]}",6,Cajamarca,1,Cajamarca,1,Cajamarca,CAJAMARCA
"{""type"":""Polygon"",""coordinates"":[[[-78.604693,-7.16842],[-78.610822,-7.147352],[-78.625167,-7.143896],[-78.62516,-7.129023],[-78.613048,-7.121845],[-78.62997,-7.08501],[-78.66171,-7.10299],[-78.68408,-7.12675],[-78.69156,-7.13256],[-78.7081,-7.15653],[-78.704821,-7.169214],[-78.673344,-7.185037],[-78.655494,-7.186213],[-78.639957,-7.173663],[-78.618797,-7.166728],[-78.604693,-7.16842]]]}",6,Cajamarca,1,Cajamarca,3,Chetilla,CHETILLA
"{""type"":""Polygon"",""coordinates"":[[[-78.642217,-7.350058],[-78.652399,-7.351311],[-78.665409,-7.379006],[-78.676552,-7.383615],[-78.681183,-7.398595],[-78.69623,-7.41336],[-78.662467,-7.412998],[-78.652197,-7.427613],[-78.638293,-7.43359],[-78.629843,-7.4455],[-78.627528,-7.479452],[-78.636199,-7.504302],[-78.649596,-7.529017],[-78.62511,-7.54831],[-78.5901,-7.55019],[-78.58054,-7.54712],[-78.55593,-7.55108],[-78.52387,-7.54986],[-78.51097,-7.55668],[-78.49139,-7.55487],[-78.4595,-7.52796],[-78.45157,-7.51258],[-78.41563,-7.48507],[-78.403084,-7.483493],[-78.3929,-7.49202],[-78.36043,-7.50048],[-78.335831,-7.495248],[-78.350498,-7.474791],[-78.35168,-7.447662],[-78.343629,-7.42872],[-78.343674,-7.417378],[-78.354177,-7.413269],[-78.356808,-7.399631],[-78.366221,-7.389808],[-78.387764,-7.381818],[-78.425111,-7.386584],[-78.442364,-7.383514],[-78.452537,-7.389077],[-78.484346,-7.373586],[-78.501561,-7.376836],[-78.516221,-7.39012],[-78.558526,-7.365835],[-78.576063,-7.377411],[-78.593588,-7.375695],[-78.607237,-7.366755],[-78.636923,-7.355931],[-78.642217,-7.350058]]]}",6,Cajamarca,1,Cajamarca,4,Cospan,COSPAN
"{""type"":""Polygon"",""coordinates"":[[[-78.453478,-6.834195],[-78.462151,-6.82254],[-78.465963,-6.806838],[-78.49269,-6.80122],[-78.504846,-6.819692],[-78.52312,-6.810662],[-78.529759,-6.798134],[-78.55275,-6.82945],[-78.56127,-6.83091],[-78.57277,-6.84329],[-78.59044,-6.85012],[-78.601379,-6.867629],[-78.599519,-6.88651],[-78.582432,-6.897671],[-78.574951,-6.917316],[-78.562331,-6.927538],[-78.532178,-6.937075],[-78.525527,-6.955853],[-78.513945,-6.95544],[-78.506988,-6.978818],[-78.476875,-6.98933],[-78.459658,-7.002661],[-78.44293,-7.02503],[-78.41582,-7.04065],[-78.40685,-7.06538],[-78.40859,-7.07603],[-78.385021,-7.097505],[-78.366291,-7.105021],[-78.368358,-7.115126],[-78.3313,-7.13241],[-78.32151,-7.15242],[-78.31547,-7.16116],[-78.29888,-7.15328],[-78.28199,-7.15521],[-78.280305,-7.133495],[-78.233922,-7.135737],[-78.221098,-7.12452],[-78.201216,-7.138147],[-78.202478,-7.146853],[-78.190715,-7.157319],[-78.183694,-7.149147],[-78.187373,-7.126456],[-78.197953,-7.112828],[-78.203776,-7.100423],[-78.219508,-7.087772],[-78.219458,-7.071585],[-78.267231,-7.031881],[-78.294279,-7.030307],[-78.287184,-7.020924],[-78.308497,-7.004363],[-78.311508,-6.987715],[-78.330613,-6.973091],[-78.340511,-6.954177],[-78.354045,-6.943714],[-78.371931,-6.936011],[-78.38275,-6.923584],[-78.390787,-6.930967],[-78.426636,-6.93116],[-78.431422,-6.924318],[-78.428555,-6.892201],[-78.442228,-6.88003],[-78.442171,-6.867066],[-78.453478,-6.834195]]]}",6,Cajamarca,1,Cajamarca,5,Encañada,ENCAÑADA
"{""type"":""Polygon"",""coordinates"":[[[-78.367391,-7.208728],[-78.374195,-7.206534],[-78.404496,-7.211628],[-78.42065,-7.226056],[-78.462401,-7.196046],[-78.46549,-7.20518],[-78.460549,-7.245805],[-78.454133,-7.273385],[-78.425671,-7.2778],[-78.41921,-7.30304],[-78.42697,-7.31367],[-78.44946,-7.31145],[-78.44717,-7.3264],[-78.42852,-7.34659],[-78.4098,-7.35883],[-78.402044,-7.358021],[-78.381864,-7.368679],[-78.387764,-7.381818],[-78.366221,-7.389808],[-78.356808,-7.399631],[-78.347246,-7.402719],[-78.29765,-7.387799],[-78.292144,-7.377493],[-78.277383,-7.373447],[-78.27511,-7.36],[-78.294674,-7.352826],[-78.307297,-7.333625],[-78.287941,-7.328166],[-78.288349,-7.321573],[-78.27175,-7.29361],[-78.29875,-7.2849],[-78.30245,-7.26302],[-78.292801,-7.246931],[-78.29568,-7.23676],[-78.346235,-7.234253],[-78.351394,-7.217344],[-78.367391,-7.208728]]]}",6,Cajamarca,1,Cajamarca,6,Jesus,JESUS
