geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-71.637776,-13.835234],[-71.647554,-13.82337],[-71.669082,-13.821475],[-71.685382,-13.825912],[-71.712468,-13.820304],[-71.720141,-13.829245],[-71.718219,-13.860889],[-71.732887,-13.870264],[-71.725172,-13.890128],[-71.70941,-13.907319],[-71.701735,-13.921733],[-71.70466,-13.93984],[-71.68754,-13.95092],[-71.68407,-13.963665],[-71.673335,-13.978904],[-71.664111,-13.974395],[-71.655182,-13.983248],[-71.62932,-13.96305],[-71.637189,-13.938436],[-71.626431,-13.927169],[-71.620176,-13.897268],[-71.629036,-13.884187],[-71.638075,-13.861116],[-71.634522,-13.845606],[-71.637776,-13.835234]]]}",8,Cusco,2,Acomayo,1,Acomayo,ACOMAYO
"{""type"":""Polygon"",""coordinates"":[[[-71.45216,-14.05121],[-71.477196,-14.037358],[-71.482737,-14.017935],[-71.489618,-14.012945],[-71.493571,-13.98648],[-71.49939,-13.99707],[-71.513587,-14.005594],[-71.558407,-14.008886],[-71.545476,-14.028538],[-71.548111,-14.038629],[-71.52747,-14.056967],[-71.528016,-14.084545],[-71.546317,-14.090181],[-71.508396,-14.09913],[-71.493161,-14.094315],[-71.468802,-14.07677],[-71.468472,-14.062867],[-71.45216,-14.05121]]]}",8,Cusco,2,Acomayo,2,Acopia,ACOPIA
"{""type"":""Polygon"",""coordinates"":[[[-71.732887,-13.870264],[-71.743292,-13.856186],[-71.757176,-13.84826],[-71.76471,-13.86072],[-71.7756,-13.86674],[-71.7845,-13.86247],[-71.80038,-13.86583],[-71.80797,-13.87137],[-71.80928,-13.89417],[-71.786973,-13.900301],[-71.779855,-13.906573],[-71.77841,-13.93755],[-71.74301,-13.96184],[-71.72938,-13.97518],[-71.72314,-14.02219],[-71.72397,-14.02847],[-71.69307,-14.02218],[-71.670388,-14.03057],[-71.655182,-13.983248],[-71.664111,-13.974395],[-71.673335,-13.978904],[-71.68407,-13.963665],[-71.68754,-13.95092],[-71.70466,-13.93984],[-71.701735,-13.921733],[-71.70941,-13.907319],[-71.725172,-13.890128],[-71.732887,-13.870264]]]}",8,Cusco,2,Acomayo,3,Acos,ACOS
"{""type"":""Polygon"",""coordinates"":[[[-71.43933,-14.08001],[-71.45216,-14.05121],[-71.468472,-14.062867],[-71.468802,-14.07677],[-71.493161,-14.094315],[-71.508396,-14.09913],[-71.546317,-14.090181],[-71.513212,-14.120175],[-71.504205,-14.123237],[-71.491817,-14.13828],[-71.47214,-14.131672],[-71.460633,-14.121669],[-71.460916,-14.108742],[-71.44034,-14.10367],[-71.44411,-14.09649],[-71.43933,-14.08001]]]}",8,Cusco,2,Acomayo,4,Mosoc Llacta,MOSOC LLACTA
"{""type"":""Polygon"",""coordinates"":[[[-71.558407,-14.008886],[-71.56568,-13.98294],[-71.587611,-13.976187],[-71.58092,-13.964023],[-71.589963,-13.955483],[-71.61561,-13.94997],[-71.62932,-13.96305],[-71.655182,-13.983248],[-71.670388,-14.03057],[-71.69307,-14.02218],[-71.72397,-14.02847],[-71.71821,-14.06021],[-71.70773,-14.07885],[-71.69971,-14.11629],[-71.67822,-14.11792],[-71.62491,-14.13668],[-71.6092,-14.15388],[-71.59572,-14.14988],[-71.59529,-14.13445],[-71.583408,-14.10113],[-71.560854,-14.08842],[-71.546317,-14.090181],[-71.528016,-14.084545],[-71.52747,-14.056967],[-71.548111,-14.038629],[-71.545476,-14.028538],[-71.558407,-14.008886]]]}",8,Cusco,2,Acomayo,5,Pomacanchi,POMACANCHI
"{""type"":""Polygon"",""coordinates"":[[[-71.748367,-13.710328],[-71.763913,-13.708143],[-71.783428,-13.696993],[-71.789762,-13.698355],[-71.794709,-13.715773],[-71.816017,-13.748301],[-71.815573,-13.757124],[-71.829083,-13.778983],[-71.83318,-13.81321],[-71.814193,-13.821172],[-71.805915,-13.832386],[-71.80038,-13.86583],[-71.7845,-13.86247],[-71.7756,-13.86674],[-71.76471,-13.86072],[-71.757176,-13.84826],[-71.743292,-13.856186],[-71.732887,-13.870264],[-71.718219,-13.860889],[-71.720141,-13.829245],[-71.712468,-13.820304],[-71.702198,-13.798259],[-71.703303,-13.759524],[-71.712964,-13.742795],[-71.727143,-13.733014],[-71.735878,-13.736859],[-71.746519,-13.726336],[-71.748367,-13.710328]]]}",8,Cusco,2,Acomayo,6,Rondocan,RONDOCAN
"{""type"":""Polygon"",""coordinates"":[[[-71.565382,-13.903278],[-71.589767,-13.90204],[-71.600851,-13.906273],[-71.620176,-13.897268],[-71.626431,-13.927169],[-71.637189,-13.938436],[-71.62932,-13.96305],[-71.61561,-13.94997],[-71.589963,-13.955483],[-71.58092,-13.964023],[-71.587611,-13.976187],[-71.56568,-13.98294],[-71.558407,-14.008886],[-71.513587,-14.005594],[-71.49939,-13.99707],[-71.493571,-13.98648],[-71.513399,-13.98338],[-71.516879,-13.967219],[-71.524668,-13.964677],[-71.536061,-13.943975],[-71.547652,-13.944952],[-71.562395,-13.934712],[-71.558646,-13.922179],[-71.565382,-13.903278]]]}",8,Cusco,2,Acomayo,7,Sangarara,SANGARARA
"{""type"":""Polygon"",""coordinates"":[[[-72.276848,-13.42279],[-72.29161,-13.420728],[-72.304849,-13.405503],[-72.313719,-13.406099],[-72.322457,-13.391801],[-72.336614,-13.387115],[-72.342883,-13.39439],[-72.35705,-13.40492],[-72.3632,-13.41663],[-72.36651,-13.43679],[-72.359957,-13.450519],[-72.373517,-13.457909],[-72.374621,-13.468816],[-72.36394,-13.48637],[-72.375444,-13.507286],[-72.331236,-13.522061],[-72.305384,-13.517879],[-72.271014,-13.509114],[-72.273973,-13.486665],[-72.268468,-13.468574],[-72.276789,-13.45631],[-72.27948,-13.439979],[-72.276848,-13.42279]]]}",8,Cusco,3,Anta,2,Ancahuasi,ANCAHUASI
"{""type"":""Polygon"",""coordinates"":[[[-72.116983,-13.39701],[-72.133141,-13.389181],[-72.146665,-13.391778],[-72.161877,-13.40045],[-72.16634,-13.41966],[-72.175149,-13.420074],[-72.197179,-13.439039],[-72.20197,-13.46787],[-72.20134,-13.48034],[-72.23462,-13.49062],[-72.243327,-13.516567],[-72.255644,-13.523291],[-72.234407,-13.528979],[-72.213913,-13.539052],[-72.211606,-13.546306],[-72.190561,-13.551469],[-72.167401,-13.580021],[-72.158565,-13.565825],[-72.161203,-13.548674],[-72.149197,-13.537013],[-72.139013,-13.538108],[-72.116756,-13.551884],[-72.10309,-13.553345],[-72.093286,-13.539257],[-72.078238,-13.528377],[-72.090042,-13.510684],[-72.102148,-13.505667],[-72.120602,-13.481022],[-72.118951,-13.453363],[-72.107955,-13.435053],[-72.103225,-13.426774],[-72.113227,-13.416728],[-72.116983,-13.39701]]]}",8,Cusco,3,Anta,1,Anta,ANTA
"{""type"":""Polygon"",""coordinates"":[[[-72.000603,-13.444038],[-72.017867,-13.438849],[-72.02239,-13.44564],[-72.05065,-13.45367],[-72.060775,-13.450965],[-72.077674,-13.433751],[-72.103225,-13.426774],[-72.107955,-13.435053],[-72.089941,-13.45145],[-72.088755,-13.463427],[-72.076882,-13.473849],[-72.088578,-13.487995],[-72.057363,-13.50532],[-72.051421,-13.489838],[-72.03855,-13.47829],[-72.023269,-13.476902],[-72.007651,-13.463881],[-72.000603,-13.444038]]]}",8,Cusco,3,Anta,3,Cachimayo,CACHIMAYO
