geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-74.53908,-12.74635],[-74.54843,-12.75645],[-74.552357,-12.777163],[-74.574743,-12.766472],[-74.58245,-12.782618],[-74.61657,-12.78789],[-74.61796,-12.80879],[-74.61275,-12.81179],[-74.61437,-12.85103],[-74.60292,-12.87],[-74.59677,-12.88836],[-74.58034,-12.89692],[-74.57476,-12.91408],[-74.55854,-12.8943],[-74.54185,-12.89868],[-74.55017,-12.88154],[-74.551247,-12.861593],[-74.545185,-12.848793],[-74.545892,-12.835045],[-74.531119,-12.821956],[-74.52888,-12.81029],[-74.50606,-12.798811],[-74.4972,-12.78819],[-74.49903,-12.77082],[-74.5241,-12.7614],[-74.53908,-12.74635]]]}",9,Huancavelica,2,Acobamba,1,Acobamba,ACOBAMBA
"{""type"":""Polygon"",""coordinates"":[[[-74.63599,-12.6488],[-74.6523,-12.61936],[-74.65927,-12.61677],[-74.67328,-12.59129],[-74.68646,-12.58986],[-74.683803,-12.600039],[-74.688222,-12.61931],[-74.71163,-12.634273],[-74.70729,-12.652512],[-74.698033,-12.665036],[-74.68576,-12.66484],[-74.666352,-12.680406],[-74.66946,-12.70337],[-74.65337,-12.716],[-74.61988,-12.710353],[-74.611645,-12.699443],[-74.58929,-12.69099],[-74.59063,-12.67835],[-74.60626,-12.67881],[-74.61459,-12.67146],[-74.62912,-12.64599],[-74.63599,-12.6488]]]}",9,Huancavelica,2,Acobamba,2,Andabamba,ANDABAMBA
"{""type"":""Polygon"",""coordinates"":[[[-74.61657,-12.78789],[-74.6314,-12.77741],[-74.639279,-12.780397],[-74.650153,-12.771859],[-74.662748,-12.770781],[-74.66213,-12.754133],[-74.67371,-12.7663],[-74.68912,-12.77082],[-74.6894,-12.77885],[-74.70811,-12.78836],[-74.715254,-12.798338],[-74.714788,-12.813829],[-74.729836,-12.83741],[-74.721582,-12.843321],[-74.69918,-12.84364],[-74.67833,-12.82337],[-74.65411,-12.85516],[-74.660414,-12.86892],[-74.68046,-12.89987],[-74.67072,-12.89813],[-74.64971,-12.88187],[-74.64116,-12.87073],[-74.63444,-12.8485],[-74.62375,-12.84237],[-74.61437,-12.85103],[-74.61275,-12.81179],[-74.61796,-12.80879],[-74.61657,-12.78789]]]}",9,Huancavelica,2,Acobamba,3,Anta,ANTA
"{""type"":""Polygon"",""coordinates"":[[[-74.45739,-12.80235],[-74.46561,-12.80489],[-74.47965,-12.79265],[-74.4972,-12.78819],[-74.50606,-12.798811],[-74.51108,-12.8144],[-74.49912,-12.839966],[-74.489601,-12.846312],[-74.490814,-12.874869],[-74.49934,-12.8821],[-74.50406,-12.92264],[-74.47504,-12.9309],[-74.46841,-12.94993],[-74.45318,-12.96657],[-74.44647,-12.96513],[-74.449694,-12.953832],[-74.445916,-12.93549],[-74.445531,-12.905768],[-74.441101,-12.893006],[-74.443059,-12.874706],[-74.45567,-12.86215],[-74.4582,-12.83038],[-74.45428,-12.8178],[-74.45739,-12.80235]]]}",9,Huancavelica,2,Acobamba,4,Caja,CAJA
"{""type"":""Polygon"",""coordinates"":[[[-74.38082,-12.81446],[-74.40406,-12.81217],[-74.41737,-12.80381],[-74.44447,-12.79946],[-74.45739,-12.80235],[-74.45428,-12.8178],[-74.4582,-12.83038],[-74.45567,-12.86215],[-74.443059,-12.874706],[-74.441101,-12.893006],[-74.445531,-12.905768],[-74.445916,-12.93549],[-74.449694,-12.953832],[-74.44647,-12.96513],[-74.43895,-12.9572],[-74.43236,-12.95171],[-74.37409,-12.93537],[-74.35304,-12.91228],[-74.336442,-12.906576],[-74.31945,-12.88728],[-74.333253,-12.851746],[-74.32362,-12.83251],[-74.339504,-12.83692],[-74.36126,-12.83454],[-74.38082,-12.81446]]]}",9,Huancavelica,2,Acobamba,5,Marcas,MARCAS
"{""type"":""Polygon"",""coordinates"":[[[-74.71163,-12.634273],[-74.71868,-12.628821],[-74.736061,-12.627919],[-74.745165,-12.615754],[-74.757399,-12.626062],[-74.771733,-12.623699],[-74.778727,-12.632709],[-74.776353,-12.67041],[-74.767284,-12.676475],[-74.77326,-12.70775],[-74.785974,-12.784107],[-74.794791,-12.794253],[-74.780236,-12.804459],[-74.754611,-12.803857],[-74.74403,-12.82573],[-74.729836,-12.83741],[-74.714788,-12.813829],[-74.715254,-12.798338],[-74.70811,-12.78836],[-74.6894,-12.77885],[-74.68912,-12.77082],[-74.67371,-12.7663],[-74.66213,-12.754133],[-74.65432,-12.75045],[-74.64929,-12.73179],[-74.65337,-12.716],[-74.66946,-12.70337],[-74.666352,-12.680406],[-74.68576,-12.66484],[-74.698033,-12.665036],[-74.70729,-12.652512],[-74.71163,-12.634273]]]}",9,Huancavelica,2,Acobamba,6,Paucara,PAUCARA
"{""type"":""Polygon"",""coordinates"":[[[-74.50606,-12.798811],[-74.52888,-12.81029],[-74.531119,-12.821956],[-74.545892,-12.835045],[-74.545185,-12.848793],[-74.551247,-12.861593],[-74.55017,-12.88154],[-74.54185,-12.89868],[-74.52065,-12.90755],[-74.50406,-12.92264],[-74.49934,-12.8821],[-74.490814,-12.874869],[-74.489601,-12.846312],[-74.49912,-12.839966],[-74.51108,-12.8144],[-74.50606,-12.798811]]]}",9,Huancavelica,2,Acobamba,7,Pomacocha,POMACOCHA
"{""type"":""Polygon"",""coordinates"":[[[-74.54166,-12.730203],[-74.56519,-12.70262],[-74.58929,-12.69099],[-74.611645,-12.699443],[-74.61988,-12.710353],[-74.65337,-12.716],[-74.64929,-12.73179],[-74.65432,-12.75045],[-74.66213,-12.754133],[-74.662748,-12.770781],[-74.650153,-12.771859],[-74.639279,-12.780397],[-74.6314,-12.77741],[-74.61657,-12.78789],[-74.58245,-12.782618],[-74.574743,-12.766472],[-74.552357,-12.777163],[-74.54843,-12.75645],[-74.53908,-12.74635],[-74.54166,-12.730203]]]}",9,Huancavelica,2,Acobamba,8,Rosario,ROSARIO
"{""type"":""Polygon"",""coordinates"":[[[-74.68046,-12.89987],[-74.660414,-12.86892],[-74.65411,-12.85516],[-74.67833,-12.82337],[-74.69918,-12.84364],[-74.72609,-12.86591],[-74.73344,-12.87949],[-74.75643,-12.86907],[-74.758526,-12.879305],[-74.737237,-12.884653],[-74.76767,-12.913014],[-74.743352,-12.913196],[-74.735824,-12.920066],[-74.739763,-12.940762],[-74.718521,-12.945848],[-74.706598,-12.936967],[-74.68328,-12.91133],[-74.68046,-12.89987]]]}",9,Huancavelica,3,Angaraes,2,Anchonga,ANCHONGA
"{""type"":""Polygon"",""coordinates"":[[[-74.61437,-12.85103],[-74.62375,-12.84237],[-74.63444,-12.8485],[-74.64116,-12.87073],[-74.64971,-12.88187],[-74.64103,-12.89352],[-74.649078,-12.921275],[-74.634009,-12.901028],[-74.617385,-12.900686],[-74.59677,-12.88836],[-74.60292,-12.87],[-74.61437,-12.85103]]]}",9,Huancavelica,3,Angaraes,3,Callanmarca,CALLANMARCA
