geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-75.782611,-13.331657],[-75.796,-13.339402],[-75.813225,-13.331629],[-75.834283,-13.293902],[-75.84511,-13.26995],[-75.863057,-13.257596],[-75.866201,-13.271949],[-75.876656,-13.282051],[-75.896799,-13.290769],[-75.909607,-13.304012],[-75.92037,-13.32343],[-75.93648,-13.31787],[-75.948057,-13.322881],[-75.962057,-13.319723],[-75.959174,-13.333217],[-75.97699,-13.350188],[-75.998467,-13.358193],[-76.020549,-13.379312],[-76.038646,-13.380043],[-76.045174,-13.397377],[-76.063949,-13.412822],[-76.092805,-13.426238],[-76.099717,-13.437105],[-76.12435,-13.43773],[-76.135732,-13.442344],[-76.136988,-13.466674],[-76.109045,-13.46357],[-76.086205,-13.468215],[-76.08311,-13.47913],[-76.03159,-13.46763],[-76.02591,-13.46827],[-75.98367,-13.44925],[-75.96868,-13.43664],[-75.956512,-13.420918],[-75.924715,-13.419232],[-75.915283,-13.427879],[-75.866869,-13.425857],[-75.858584,-13.414853],[-75.838826,-13.410158],[-75.83394,-13.39751],[-75.806801,-13.400806],[-75.807818,-13.384143],[-75.798449,-13.371197],[-75.78764,-13.33479],[-75.782611,-13.331657]]]}",11,Ica,2,Chincha,2,Alto Laran,ALTO LARAN
"{""type"":""Polygon"",""coordinates"":[[[-75.878781,-13.015994],[-75.898258,-13.013291],[-75.913866,-13.006866],[-75.937683,-12.991325],[-75.961402,-13.001379],[-75.960816,-13.020422],[-75.969199,-13.041639],[-75.984233,-13.052874],[-76.011937,-13.085499],[-76.04943,-13.1146],[-76.08512,-13.13902],[-76.071175,-13.144979],[-76.062579,-13.170064],[-76.049961,-13.179129],[-76.019973,-13.174894],[-76.01926,-13.19612],[-76.002467,-13.206143],[-75.995338,-13.215803],[-75.978553,-13.214473],[-75.973609,-13.222857],[-75.978551,-13.250336],[-75.959912,-13.272383],[-75.946641,-13.27841],[-75.930748,-13.263443],[-75.928045,-13.241863],[-75.91275,-13.232514],[-75.905555,-13.215285],[-75.903152,-13.18432],[-75.898713,-13.171957],[-75.902117,-13.151689],[-75.878041,-13.14366],[-75.874361,-13.130885],[-75.860045,-13.107529],[-75.840887,-13.094707],[-75.839348,-13.084363],[-75.825807,-13.085971],[-75.804596,-13.078191],[-75.802062,-13.06043],[-75.807747,-13.05157],[-75.820199,-13.04764],[-75.821647,-13.033243],[-75.839063,-13.03072],[-75.847998,-13.036098],[-75.871868,-13.024639],[-75.878781,-13.015994]]]}",11,Ica,2,Chincha,3,Chavin,CHAVIN
"{""type"":""Polygon"",""coordinates"":[[[-75.946641,-13.27841],[-75.959912,-13.272383],[-75.978551,-13.250336],[-75.973609,-13.222857],[-75.978553,-13.214473],[-75.995338,-13.215803],[-76.030008,-13.243755],[-76.056264,-13.253303],[-76.067566,-13.26067],[-76.078928,-13.281332],[-76.08442,-13.298482],[-76.080908,-13.310523],[-76.063994,-13.328061],[-76.121426,-13.40834],[-76.139902,-13.404557],[-76.144252,-13.415094],[-76.134906,-13.424033],[-76.14065,-13.440141],[-76.135732,-13.442344],[-76.12435,-13.43773],[-76.099717,-13.437105],[-76.092805,-13.426238],[-76.063949,-13.412822],[-76.045174,-13.397377],[-76.038646,-13.380043],[-76.020549,-13.379312],[-75.998467,-13.358193],[-75.97699,-13.350188],[-75.959174,-13.333217],[-75.962057,-13.319723],[-75.95608,-13.295123],[-75.946641,-13.27841]]]}",11,Ica,2,Chincha,1,Chincha Alta,CHINCHA ALTA
"{""type"":""Polygon"",""coordinates"":[[[-76.14065,-13.440141],[-76.158266,-13.438074],[-76.171094,-13.447551],[-76.174676,-13.478055],[-76.18008,-13.50082],[-76.189353,-13.499836],[-76.186928,-13.553537],[-76.133365,-13.549672],[-76.138935,-13.524963],[-76.133676,-13.507482],[-76.13546,-13.49639],[-76.09985,-13.48037],[-76.08311,-13.47913],[-76.086205,-13.468215],[-76.109045,-13.46357],[-76.136988,-13.466674],[-76.135732,-13.442344],[-76.14065,-13.440141]]]}",11,Ica,2,Chincha,4,Chincha Baja,CHINCHA BAJA
"{""type"":""Polygon"",""coordinates"":[[[-75.806801,-13.400806],[-75.83394,-13.39751],[-75.838826,-13.410158],[-75.858584,-13.414853],[-75.866869,-13.425857],[-75.915283,-13.427879],[-75.924715,-13.419232],[-75.956512,-13.420918],[-75.96868,-13.43664],[-75.98367,-13.44925],[-76.02591,-13.46827],[-76.03159,-13.46763],[-76.08311,-13.47913],[-76.09985,-13.48037],[-76.13546,-13.49639],[-76.133676,-13.507482],[-76.138935,-13.524963],[-76.133365,-13.549672],[-76.186928,-13.553537],[-76.191832,-13.593776],[-76.16669,-13.59549],[-76.151078,-13.591781],[-76.128748,-13.579805],[-76.087469,-13.564084],[-76.049746,-13.576939],[-76.034119,-13.561311],[-76.006668,-13.560971],[-75.986969,-13.571644],[-75.973312,-13.597725],[-75.963969,-13.599556],[-75.957545,-13.620416],[-75.944891,-13.619478],[-75.934881,-13.631447],[-75.920197,-13.62498],[-75.899963,-13.62625],[-75.895492,-13.615039],[-75.881062,-13.617039],[-75.86385,-13.61143],[-75.835227,-13.625176],[-75.814461,-13.619562],[-75.805475,-13.589877],[-75.81384,-13.579449],[-75.784557,-13.567279],[-75.762752,-13.54316],[-75.760502,-13.520596],[-75.752768,-13.514002],[-75.755588,-13.500533],[-75.732295,-13.493275],[-75.705926,-13.468396],[-75.708935,-13.459332],[-75.697539,-13.452164],[-75.689281,-13.43967],[-75.712163,-13.41642],[-75.744938,-13.404794],[-75.762523,-13.413766],[-75.806801,-13.400806]]]}",11,Ica,2,Chincha,5,El Carmen,EL CARMEN
"{""type"":""Polygon"",""coordinates"":[[[-76.139902,-13.404557],[-76.153076,-13.393254],[-76.130504,-13.377207],[-76.148072,-13.344629],[-76.1347,-13.31532],[-76.13649,-13.30088],[-76.103367,-13.28624],[-76.10067,-13.271197],[-76.111748,-13.267865],[-76.121562,-13.244525],[-76.135709,-13.237953],[-76.139926,-13.203227],[-76.12907,-13.186084],[-76.11801,-13.184023],[-76.10398,-13.171002],[-76.114518,-13.165135],[-76.128468,-13.177541],[-76.13974,-13.180168],[-76.155971,-13.193729],[-76.16223,-13.21847],[-76.171873,-13.242794],[-76.18583,-13.25933],[-76.19979,-13.2959],[-76.20732,-13.3061],[-76.23373,-13.3158],[-76.244793,-13.323514],[-76.222687,-13.355074],[-76.201864,-13.395558],[-76.195359,-13.416895],[-76.188289,-13.413072],[-76.169221,-13.409256],[-76.144252,-13.415094],[-76.139902,-13.404557]]]}",11,Ica,2,Chincha,6,Grocio Prado,SAN PEDRO
"{""type"":""Polygon"",""coordinates"":[[[-75.995338,-13.215803],[-76.002467,-13.206143],[-76.01926,-13.19612],[-76.019973,-13.174894],[-76.049961,-13.179129],[-76.062579,-13.170064],[-76.071175,-13.144979],[-76.08512,-13.13902],[-76.114518,-13.165135],[-76.10398,-13.171002],[-76.11801,-13.184023],[-76.12907,-13.186084],[-76.139926,-13.203227],[-76.135709,-13.237953],[-76.121562,-13.244525],[-76.111748,-13.267865],[-76.10067,-13.271197],[-76.103367,-13.28624],[-76.13649,-13.30088],[-76.1347,-13.31532],[-76.148072,-13.344629],[-76.130504,-13.377207],[-76.153076,-13.393254],[-76.139902,-13.404557],[-76.121426,-13.40834],[-76.063994,-13.328061],[-76.080908,-13.310523],[-76.08442,-13.298482],[-76.078928,-13.281332],[-76.067566,-13.26067],[-76.056264,-13.253303],[-76.030008,-13.243755],[-75.995338,-13.215803]]]}",11,Ica,2,Chincha,7,Pueblo Nuevo,PUEBLO NUEVO
"{""type"":""Polygon"",""coordinates"":[[[-75.804596,-13.078191],[-75.825807,-13.085971],[-75.839348,-13.084363],[-75.840887,-13.094707],[-75.860045,-13.107529],[-75.874361,-13.130885],[-75.878041,-13.14366],[-75.902117,-13.151689],[-75.898713,-13.171957],[-75.903152,-13.18432],[-75.905555,-13.215285],[-75.91275,-13.232514],[-75.928045,-13.241863],[-75.930748,-13.263443],[-75.946641,-13.27841],[-75.95608,-13.295123],[-75.962057,-13.319723],[-75.948057,-13.322881],[-75.93648,-13.31787],[-75.92037,-13.32343],[-75.909607,-13.304012],[-75.896799,-13.290769],[-75.876656,-13.282051],[-75.866201,-13.271949],[-75.863057,-13.257596],[-75.84511,-13.26995],[-75.834283,-13.293902],[-75.813225,-13.331629],[-75.796,-13.339402],[-75.782611,-13.331657],[-75.753171,-13.309109],[-75.743749,-13.313589],[-75.730928,-13.310307],[-75.706481,-13.288287],[-75.702441,-13.226887],[-75.688949,-13.214274],[-75.706337,-13.186762],[-75.694633,-13.156939],[-75.693774,-13.147504],[-75.70785,-13.142723],[-75.730025,-13.150863],[-75.742432,-13.161518],[-75.775353,-13.173752],[-75.80173,-13.163955],[-75.815402,-13.147994],[-75.809463,-13.116441],[-75.811752,-13.108701],[-75.800441,-13.083477],[-75.804596,-13.078191]]]}",11,Ica,2,Chincha,8,San Juan de Yanac,SAN JUAN DE YANAC
"{""type"":""Polygon"",""coordinates"":[[[-75.628608,-13.057067],[-75.638588,-13.029975],[-75.611903,-13.009102],[-75.602608,-12.980183],[-75.614393,-12.964933],[-75.637501,-12.973236],[-75.634239,-12.985394],[-75.651608,-12.994163],[-75.663236,-12.994036],[-75.670361,-13.022612],[-75.686072,-13.025318],[-75.690549,-13.035105],[-75.707008,-13.039586],[-75.725464,-13.038125],[-75.743998,-13.025425],[-75.752147,-13.028155],[-75.764588,-13.018236],[-75.772484,-13.037861],[-75.802062,-13.06043],[-75.804596,-13.078191],[-75.800441,-13.083477],[-75.811752,-13.108701],[-75.809463,-13.116441],[-75.815402,-13.147994],[-75.80173,-13.163955],[-75.775353,-13.173752],[-75.742432,-13.161518],[-75.730025,-13.150863],[-75.70785,-13.142723],[-75.712128,-13.116172],[-75.718768,-13.109765],[-75.694962,-13.074792],[-75.692754,-13.048962],[-75.67809,-13.053441],[-75.652519,-13.070504],[-75.628608,-13.057067]]]}",11,Ica,2,Chincha,9,San Pedro de Huacarpana,SAN PEDRO DE HUACARPANA
"{""type"":""Polygon"",""coordinates"":[[[-76.144252,-13.415094],[-76.169221,-13.409256],[-76.188289,-13.413072],[-76.177641,-13.450785],[-76.171094,-13.447551],[-76.158266,-13.438074],[-76.14065,-13.440141],[-76.134906,-13.424033],[-76.144252,-13.415094]]]}",11,Ica,2,Chincha,10,Sunampe,SUNAMPE
