geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-78.95938,-7.65559],[-78.992149,-7.660949],[-79.018599,-7.629062],[-79.026417,-7.625451],[-79.034333,-7.603915],[-79.041232,-7.599887],[-79.039101,-7.561201],[-79.059847,-7.546675],[-79.057171,-7.527331],[-79.065945,-7.520808],[-79.064045,-7.526779],[-79.074652,-7.547475],[-79.090752,-7.561867],[-79.096945,-7.585336],[-79.115842,-7.615363],[-79.137727,-7.621262],[-79.165891,-7.636109],[-79.195923,-7.662004],[-79.17879,-7.68155],[-79.17179,-7.70261],[-79.151597,-7.720869],[-79.147531,-7.744977],[-79.12714,-7.743983],[-79.121328,-7.750558],[-79.098639,-7.742157],[-79.075215,-7.729513],[-79.057763,-7.726591],[-79.040765,-7.71848],[-79.024436,-7.72196],[-79.00067,-7.721715],[-78.98521,-7.6913],[-78.97168,-7.68485],[-78.95938,-7.65559]]]}",13,La Libertad,2,Ascope,1,Ascope,ASCOPE
"{""type"":""Polygon"",""coordinates"":[[[-79.065428,-7.472709],[-79.122762,-7.441644],[-79.152724,-7.43982],[-79.162127,-7.417972],[-79.187108,-7.397637],[-79.187329,-7.388664],[-79.20724,-7.401735],[-79.211516,-7.421473],[-79.228117,-7.432429],[-79.241682,-7.45005],[-79.245142,-7.462408],[-79.267404,-7.488279],[-79.261658,-7.503897],[-79.294597,-7.515451],[-79.291614,-7.543923],[-79.300374,-7.549764],[-79.312519,-7.579786],[-79.301883,-7.592788],[-79.309247,-7.610357],[-79.310204,-7.640315],[-79.300383,-7.65015],[-79.27823,-7.659766],[-79.280077,-7.678727],[-79.276673,-7.696241],[-79.273617,-7.723354],[-79.242315,-7.73046],[-79.222047,-7.739659],[-79.224712,-7.761577],[-79.220602,-7.7681],[-79.198366,-7.761623],[-79.19201,-7.77741],[-79.176167,-7.773996],[-79.161445,-7.776229],[-79.151556,-7.784226],[-79.135593,-7.761524],[-79.121328,-7.750558],[-79.12714,-7.743983],[-79.147531,-7.744977],[-79.151597,-7.720869],[-79.17179,-7.70261],[-79.17879,-7.68155],[-79.195923,-7.662004],[-79.165891,-7.636109],[-79.137727,-7.621262],[-79.115842,-7.615363],[-79.096945,-7.585336],[-79.090752,-7.561867],[-79.074652,-7.547475],[-79.064045,-7.526779],[-79.065945,-7.520808],[-79.071552,-7.505346],[-79.065428,-7.472709]]]}",13,La Libertad,2,Ascope,8,Casa Grande,CASA GRANDE
"{""type"":""Polygon"",""coordinates"":[[[-78.803769,-7.634106],[-78.794425,-7.620197],[-78.79854,-7.5866],[-78.80763,-7.57345],[-78.823104,-7.574667],[-78.831817,-7.586222],[-78.858041,-7.595065],[-78.870857,-7.592278],[-78.907763,-7.59807],[-78.941451,-7.617036],[-78.942941,-7.622787],[-78.94219,-7.6272],[-78.95938,-7.65559],[-78.97168,-7.68485],[-78.98521,-7.6913],[-79.00067,-7.721715],[-79.024436,-7.72196],[-79.040765,-7.71848],[-79.057763,-7.726591],[-79.075215,-7.729513],[-79.098639,-7.742157],[-79.121328,-7.750558],[-79.135593,-7.761524],[-79.151556,-7.784226],[-79.174271,-7.820395],[-79.190258,-7.836103],[-79.206956,-7.83908],[-79.18706,-7.84746],[-79.200492,-7.883867],[-79.201557,-7.900939],[-79.189252,-7.908959],[-79.175192,-7.908289],[-79.175118,-7.925015],[-79.163084,-7.919086],[-79.149502,-7.943687],[-79.116866,-7.945991],[-79.112419,-7.971027],[-79.105888,-7.981977],[-79.040006,-7.988321],[-79.036807,-7.970514],[-79.012284,-7.959704],[-78.990571,-7.900325],[-78.975859,-7.893703],[-78.955214,-7.902846],[-78.946022,-7.896306],[-78.903367,-7.887383],[-78.888446,-7.867124],[-78.884754,-7.841976],[-78.874702,-7.832045],[-78.855835,-7.825282],[-78.837328,-7.803613],[-78.824881,-7.803996],[-78.81626,-7.796873],[-78.820926,-7.787301],[-78.852247,-7.784658],[-78.873152,-7.770081],[-78.889854,-7.771799],[-78.885547,-7.758924],[-78.89307,-7.748967],[-78.907863,-7.709873],[-78.912285,-7.686082],[-78.895629,-7.668391],[-78.895979,-7.645389],[-78.880363,-7.640486],[-78.825024,-7.633515],[-78.819078,-7.639525],[-78.803769,-7.634106]]]}",13,La Libertad,2,Ascope,2,Chicama,CHICAMA
"{""type"":""Polygon"",""coordinates"":[[[-79.151556,-7.784226],[-79.161445,-7.776229],[-79.176167,-7.773996],[-79.19201,-7.77741],[-79.198366,-7.761623],[-79.220602,-7.7681],[-79.224712,-7.761577],[-79.222047,-7.739659],[-79.242315,-7.73046],[-79.24519,-7.742552],[-79.266557,-7.760812],[-79.275812,-7.77452],[-79.288523,-7.770831],[-79.301952,-7.799174],[-79.27505,-7.81136],[-79.26729,-7.81881],[-79.24537,-7.81652],[-79.212772,-7.832103],[-79.206956,-7.83908],[-79.190258,-7.836103],[-79.174271,-7.820395],[-79.151556,-7.784226]]]}",13,La Libertad,2,Ascope,3,Chocope,CHOCOPE
"{""type"":""Polygon"",""coordinates"":[[[-79.301952,-7.799174],[-79.309983,-7.795172],[-79.382939,-7.815152],[-79.375746,-7.842098],[-79.352695,-7.872209],[-79.309867,-7.914055],[-79.308467,-7.924393],[-79.28465,-7.944322],[-79.262838,-7.907276],[-79.263915,-7.888627],[-79.248046,-7.872555],[-79.229334,-7.858768],[-79.22175,-7.847074],[-79.206956,-7.83908],[-79.212772,-7.832103],[-79.24537,-7.81652],[-79.26729,-7.81881],[-79.27505,-7.81136],[-79.301952,-7.799174]]]}",13,La Libertad,2,Ascope,4,Magdalena de Cao,MAGDALENA DE CAO
"{""type"":""Polygon"",""coordinates"":[[[-79.276673,-7.696241],[-79.2862,-7.69357],[-79.294214,-7.678367],[-79.324477,-7.678605],[-79.337072,-7.693052],[-79.366561,-7.7137],[-79.341504,-7.725904],[-79.310243,-7.758516],[-79.313509,-7.767584],[-79.309983,-7.795172],[-79.301952,-7.799174],[-79.288523,-7.770831],[-79.275812,-7.77452],[-79.266557,-7.760812],[-79.24519,-7.742552],[-79.242315,-7.73046],[-79.273617,-7.723354],[-79.276673,-7.696241]]]}",13,La Libertad,2,Ascope,5,Paijan,PAIJAN
"{""type"":""Polygon"",""coordinates"":[[[-79.312519,-7.579786],[-79.326426,-7.574451],[-79.336021,-7.582275],[-79.349502,-7.562578],[-79.368319,-7.566234],[-79.370111,-7.575904],[-79.385587,-7.597653],[-79.455763,-7.636639],[-79.436822,-7.673598],[-79.435289,-7.693359],[-79.44382,-7.703119],[-79.465707,-7.711934],[-79.447725,-7.736283],[-79.392426,-7.787809],[-79.384504,-7.799922],[-79.382939,-7.815152],[-79.309983,-7.795172],[-79.313509,-7.767584],[-79.310243,-7.758516],[-79.341504,-7.725904],[-79.366561,-7.7137],[-79.337072,-7.693052],[-79.324477,-7.678605],[-79.294214,-7.678367],[-79.2862,-7.69357],[-79.276673,-7.696241],[-79.280077,-7.678727],[-79.27823,-7.659766],[-79.300383,-7.65015],[-79.310204,-7.640315],[-79.309247,-7.610357],[-79.301883,-7.592788],[-79.312519,-7.579786]]]}",13,La Libertad,2,Ascope,6,Razuri,PUERTO DE MALABRIGO
"{""type"":""Polygon"",""coordinates"":[[[-79.149502,-7.943687],[-79.163084,-7.919086],[-79.175118,-7.925015],[-79.175192,-7.908289],[-79.189252,-7.908959],[-79.201557,-7.900939],[-79.200492,-7.883867],[-79.18706,-7.84746],[-79.206956,-7.83908],[-79.22175,-7.847074],[-79.229334,-7.858768],[-79.248046,-7.872555],[-79.263915,-7.888627],[-79.262838,-7.907276],[-79.28465,-7.944322],[-79.221287,-7.989717],[-79.210797,-7.998824],[-79.20183,-7.98943],[-79.17848,-7.97771],[-79.149502,-7.943687]]]}",13,La Libertad,2,Ascope,7,Santiago de Cao,SANTIAGO DE CAO
"{""type"":""Polygon"",""coordinates"":[[[-77.630783,-7.414049],[-77.65998,-7.43634],[-77.67385,-7.40778],[-77.68354,-7.39991],[-77.73395,-7.41145],[-77.74851,-7.42001],[-77.75331,-7.4291],[-77.768206,-7.438242],[-77.755421,-7.441046],[-77.741372,-7.466695],[-77.745983,-7.47916],[-77.742206,-7.487707],[-77.744046,-7.505875],[-77.720755,-7.530502],[-77.720856,-7.541132],[-77.707149,-7.556613],[-77.69437,-7.54247],[-77.684072,-7.515313],[-77.66327,-7.512478],[-77.647483,-7.503298],[-77.639506,-7.48648],[-77.632339,-7.483811],[-77.630633,-7.465036],[-77.599446,-7.45924],[-77.598968,-7.44851],[-77.610271,-7.434858],[-77.61365,-7.419949],[-77.630783,-7.414049]]]}",13,La Libertad,3,Bolívar,2,Bambamarca,BAMBAMARCA
"{""type"":""Polygon"",""coordinates"":[[[-77.717907,-7.088694],[-77.728055,-7.081695],[-77.752492,-7.083194],[-77.762757,-7.100007],[-77.778569,-7.100119],[-77.788147,-7.118282],[-77.80856,-7.114615],[-77.80937,-7.13301],[-77.78819,-7.1772],[-77.80209,-7.18037],[-77.83219,-7.19627],[-77.84026,-7.19326],[-77.859,-7.20836],[-77.882472,-7.202618],[-77.880905,-7.221387],[-77.854603,-7.230885],[-77.859595,-7.264868],[-77.856585,-7.283201],[-77.842973,-7.28778],[-77.83105,-7.310031],[-77.838372,-7.341119],[-77.829602,-7.347639],[-77.820927,-7.369123],[-77.825144,-7.378301],[-77.800575,-7.403007],[-77.780729,-7.410885],[-77.771256,-7.42114],[-77.768206,-7.438242],[-77.75331,-7.4291],[-77.74851,-7.42001],[-77.73395,-7.41145],[-77.68354,-7.39991],[-77.67385,-7.40778],[-77.65998,-7.43634],[-77.630783,-7.414049],[-77.621678,-7.397365],[-77.629415,-7.381498],[-77.635709,-7.357446],[-77.635289,-7.340685],[-77.628646,-7.320024],[-77.634875,-7.292677],[-77.64692,-7.269608],[-77.646746,-7.24074],[-77.60553,-7.219162],[-77.621049,-7.191631],[-77.615419,-7.179443],[-77.633631,-7.170029],[-77.643534,-7.149001],[-77.681262,-7.131642],[-77.689101,-7.121325],[-77.713379,-7.107887],[-77.717907,-7.088694]]]}",13,La Libertad,3,Bolívar,1,Bolivar,BOLIVAR
