geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-79.435902,-6.831618],[-79.446772,-6.822707],[-79.457975,-6.833177],[-79.488082,-6.825134],[-79.508457,-6.837441],[-79.530528,-6.845973],[-79.555699,-6.840814],[-79.577047,-6.871869],[-79.58951,-6.88576],[-79.59062,-6.89733],[-79.57402,-6.907662],[-79.571157,-6.916285],[-79.555078,-6.927563],[-79.5537,-6.939375],[-79.525441,-6.937705],[-79.516139,-6.931686],[-79.499378,-6.950859],[-79.503323,-6.967417],[-79.496387,-6.971711],[-79.467917,-6.966085],[-79.454684,-6.94628],[-79.465178,-6.933706],[-79.476831,-6.902376],[-79.472,-6.89204],[-79.44101,-6.88757],[-79.427912,-6.883021],[-79.439499,-6.873707],[-79.435902,-6.831618]]]}",14,Lambayeque,1,Chiclayo,16,Cayaltí,CAYALTI
"{""type"":""Polygon"",""coordinates"":[[[-79.80125,-6.82905],[-79.80429,-6.81941],[-79.80064,-6.79607],[-79.793006,-6.772943],[-79.79416,-6.761869],[-79.786393,-6.743238],[-79.794311,-6.739891],[-79.831331,-6.763569],[-79.856105,-6.759081],[-79.866547,-6.757415],[-79.872115,-6.767234],[-79.86755,-6.801879],[-79.854903,-6.800825],[-79.853367,-6.791403],[-79.833607,-6.784193],[-79.82458,-6.812044],[-79.8256,-6.8326],[-79.80125,-6.82905]]]}",14,Lambayeque,1,Chiclayo,1,Chiclayo,CHICLAYO
"{""type"":""Polygon"",""coordinates"":[[[-79.357894,-6.568896],[-79.366989,-6.549522],[-79.369613,-6.520803],[-79.379441,-6.522719],[-79.403275,-6.540732],[-79.41868,-6.53696],[-79.417045,-6.506354],[-79.424768,-6.488673],[-79.433881,-6.481266],[-79.460841,-6.495597],[-79.467857,-6.509777],[-79.482374,-6.511462],[-79.491167,-6.520307],[-79.510528,-6.513668],[-79.524341,-6.520141],[-79.536599,-6.518868],[-79.562878,-6.503837],[-79.603935,-6.50713],[-79.624241,-6.513258],[-79.641214,-6.530939],[-79.645036,-6.55489],[-79.641475,-6.572899],[-79.629373,-6.581829],[-79.624388,-6.601129],[-79.610993,-6.596255],[-79.603382,-6.602462],[-79.604376,-6.617255],[-79.590782,-6.627731],[-79.582316,-6.629902],[-79.563261,-6.647944],[-79.529642,-6.652827],[-79.532696,-6.675488],[-79.520815,-6.685868],[-79.507561,-6.689729],[-79.511121,-6.711491],[-79.509666,-6.729213],[-79.49851,-6.74366],[-79.499301,-6.778846],[-79.493829,-6.781811],[-79.455148,-6.777959],[-79.447314,-6.774697],[-79.428138,-6.782613],[-79.4102,-6.771565],[-79.383975,-6.782885],[-79.34282,-6.74081],[-79.337219,-6.701492],[-79.343487,-6.688439],[-79.335981,-6.677861],[-79.30701,-6.673098],[-79.296416,-6.675672],[-79.304023,-6.651605],[-79.321927,-6.646868],[-79.32536,-6.64066],[-79.34363,-6.64673],[-79.362328,-6.633536],[-79.353004,-6.627008],[-79.344164,-6.605961],[-79.335973,-6.602814],[-79.349734,-6.571857],[-79.357894,-6.568896]]]}",14,Lambayeque,1,Chiclayo,2,Chongoyape,CHONGOYAPE
"{""type"":""Polygon"",""coordinates"":[[[-79.769947,-6.910033],[-79.811141,-6.884711],[-79.821838,-6.883477],[-79.830426,-6.892254],[-79.844762,-6.882102],[-79.847226,-6.891166],[-79.877518,-6.908428],[-79.879631,-6.917162],[-79.873922,-6.922416],[-79.858365,-6.918889],[-79.852285,-6.932878],[-79.828232,-6.964939],[-79.816212,-6.97708],[-79.813613,-6.989801],[-79.796865,-7.003836],[-79.791739,-6.989188],[-79.793712,-6.978067],[-79.772645,-6.945122],[-79.769947,-6.910033]]]}",14,Lambayeque,1,Chiclayo,3,Eten,ETEN
"{""type"":""Polygon"",""coordinates"":[[[-79.813613,-6.989801],[-79.816212,-6.97708],[-79.828232,-6.964939],[-79.852285,-6.932878],[-79.858365,-6.918889],[-79.873922,-6.922416],[-79.867139,-6.93067],[-79.866119,-6.948602],[-79.834557,-6.971072],[-79.813613,-6.989801]]]}",14,Lambayeque,1,Chiclayo,4,Eten Puerto,ETEN PUERTO
"{""type"":""Polygon"",""coordinates"":[[[-79.82948,-6.72171],[-79.87042,-6.71852],[-79.88543,-6.72805],[-79.856105,-6.759081],[-79.831331,-6.763569],[-79.794311,-6.739891],[-79.786885,-6.73418],[-79.80313,-6.73924],[-79.81474,-6.73672],[-79.82948,-6.72171]]]}",14,Lambayeque,1,Chiclayo,5,José Leonardo Ortiz,JOSE LEONARDO ORTIZ
"{""type"":""Polygon"",""coordinates"":[[[-79.8256,-6.8326],[-79.82458,-6.812044],[-79.833607,-6.784193],[-79.853367,-6.791403],[-79.854903,-6.800825],[-79.86755,-6.801879],[-79.89443,-6.820266],[-79.911377,-6.850312],[-79.905373,-6.854268],[-79.900932,-6.849197],[-79.883067,-6.851423],[-79.86953,-6.84528],[-79.84234,-6.84203],[-79.825794,-6.843303],[-79.8256,-6.8326]]]}",14,Lambayeque,1,Chiclayo,6,La Victoria,LA VICTORIA
"{""type"":""Polygon"",""coordinates"":[[[-79.5209,-6.993769],[-79.52679,-6.996727],[-79.550541,-6.989096],[-79.569419,-6.99114],[-79.588865,-6.975695],[-79.635016,-6.916942],[-79.656242,-6.913593],[-79.659115,-6.90132],[-79.6756,-6.904467],[-79.67831,-6.912052],[-79.696036,-6.928632],[-79.72698,-6.936438],[-79.769947,-6.910033],[-79.772645,-6.945122],[-79.793712,-6.978067],[-79.791739,-6.989188],[-79.796865,-7.003836],[-79.739838,-7.057541],[-79.735031,-7.067297],[-79.707262,-7.095066],[-79.683467,-7.124896],[-79.682018,-7.153],[-79.690621,-7.177127],[-79.59323,-7.072992],[-79.535293,-7.011482],[-79.5209,-6.993769]]]}",14,Lambayeque,1,Chiclayo,7,Lagunas,MOCUPE
"{""type"":""Polygon"",""coordinates"":[[[-79.770425,-6.826673],[-79.78319,-6.82002],[-79.80125,-6.82905],[-79.8256,-6.8326],[-79.825794,-6.843303],[-79.84234,-6.84203],[-79.86953,-6.84528],[-79.883067,-6.851423],[-79.896586,-6.858197],[-79.907332,-6.87818],[-79.877518,-6.908428],[-79.847226,-6.891166],[-79.844762,-6.882102],[-79.823047,-6.851302],[-79.80344,-6.845591],[-79.782356,-6.824736],[-79.770425,-6.826673]]]}",14,Lambayeque,1,Chiclayo,8,Monsefu,MONSEFU
"{""type"":""Polygon"",""coordinates"":[[[-79.29729,-6.88596],[-79.32285,-6.86538],[-79.350804,-6.858071],[-79.36045,-6.87239],[-79.37525,-6.87068],[-79.39564,-6.87907],[-79.40537,-6.87621],[-79.427912,-6.883021],[-79.44101,-6.88757],[-79.472,-6.89204],[-79.476831,-6.902376],[-79.465178,-6.933706],[-79.454684,-6.94628],[-79.430851,-6.953373],[-79.400762,-6.956928],[-79.389319,-6.975167],[-79.369098,-6.991686],[-79.359606,-7.004966],[-79.342323,-7.010803],[-79.330545,-7.024223],[-79.322586,-7.025684],[-79.296634,-6.999834],[-79.307226,-6.968214],[-79.30033,-6.936685],[-79.310141,-6.925396],[-79.311009,-6.901342],[-79.29729,-6.88596]]]}",14,Lambayeque,1,Chiclayo,9,Nueva Arica,NUEVA ARICA
"{""type"":""Polygon"",""coordinates"":[[[-79.20709,-6.82144],[-79.18875,-6.8155],[-79.176338,-6.80205],[-79.158757,-6.800929],[-79.144275,-6.788612],[-79.123721,-6.782824],[-79.120848,-6.77697],[-79.128736,-6.752482],[-79.138651,-6.736768],[-79.142912,-6.719106],[-79.141562,-6.701542],[-79.156023,-6.704762],[-79.171047,-6.701703],[-79.18843,-6.71654],[-79.195533,-6.696827],[-79.213791,-6.695631],[-79.22906,-6.671406],[-79.241909,-6.672084],[-79.271872,-6.680266],[-79.296416,-6.675672],[-79.30701,-6.673098],[-79.335981,-6.677861],[-79.343487,-6.688439],[-79.337219,-6.701492],[-79.34282,-6.74081],[-79.383975,-6.782885],[-79.381992,-6.801941],[-79.394035,-6.82436],[-79.41076,-6.821059],[-79.435902,-6.831618],[-79.439499,-6.873707],[-79.427912,-6.883021],[-79.40537,-6.87621],[-79.39564,-6.87907],[-79.37525,-6.87068],[-79.36045,-6.87239],[-79.350804,-6.858071],[-79.32285,-6.86538],[-79.29729,-6.88596],[-79.271472,-6.873621],[-79.26274,-6.859156],[-79.229073,-6.860466],[-79.219087,-6.851687],[-79.218444,-6.840252],[-79.20709,-6.82144]]]}",14,Lambayeque,1,Chiclayo,10,Oyotún,OYOTUN
"{""type"":""Polygon"",""coordinates"":[[[-79.49851,-6.74366],[-79.509666,-6.729213],[-79.511121,-6.711491],[-79.507561,-6.689729],[-79.520815,-6.685868],[-79.532696,-6.675488],[-79.529642,-6.652827],[-79.563261,-6.647944],[-79.582316,-6.629902],[-79.590782,-6.627731],[-79.593566,-6.640086],[-79.608098,-6.643926],[-79.620267,-6.664051],[-79.625425,-6.701822],[-79.641113,-6.6947],[-79.657801,-6.696055],[-79.66367,-6.715132],[-79.676185,-6.728575],[-79.677648,-6.740637],[-79.662159,-6.750367],[-79.66401,-6.76655],[-79.6466,-6.76954],[-79.63319,-6.76488],[-79.61118,-6.76757],[-79.60548,-6.759],[-79.5532,-6.7531],[-79.53115,-6.75641],[-79.51448,-6.74348],[-79.49851,-6.74366]]]}",14,Lambayeque,1,Chiclayo,17,Patapo,PATAPO
"{""type"":""Polygon"",""coordinates"":[[[-79.781431,-6.679591],[-79.790545,-6.692031],[-79.804168,-6.694078],[-79.82948,-6.72171],[-79.81474,-6.73672],[-79.80313,-6.73924],[-79.786885,-6.73418],[-79.75772,-6.73635],[-79.724542,-6.752328],[-79.71393,-6.73867],[-79.72901,-6.714885],[-79.753789,-6.706522],[-79.753002,-6.684011],[-79.76976,-6.68144],[-79.781431,-6.679591]]]}",14,Lambayeque,1,Chiclayo,11,Picsi,PICSI
"{""type"":""Polygon"",""coordinates"":[[[-79.856105,-6.759081],[-79.88543,-6.72805],[-79.8952,-6.73104],[-79.900736,-6.75923],[-79.917355,-6.775212],[-79.942396,-6.8205],[-79.931568,-6.873611],[-79.921137,-6.869162],[-79.905373,-6.854268],[-79.911377,-6.850312],[-79.89443,-6.820266],[-79.86755,-6.801879],[-79.872115,-6.767234],[-79.866547,-6.757415],[-79.856105,-6.759081]]]}",14,Lambayeque,1,Chiclayo,12,Pimentel,PIMENTEL
"{""type"":""Polygon"",""coordinates"":[[[-79.724542,-6.752328],[-79.75772,-6.73635],[-79.786885,-6.73418],[-79.794311,-6.739891],[-79.786393,-6.743238],[-79.79416,-6.761869],[-79.793006,-6.772943],[-79.80064,-6.79607],[-79.80429,-6.81941],[-79.80125,-6.82905],[-79.78319,-6.82002],[-79.770425,-6.826673],[-79.751806,-6.815385],[-79.740849,-6.812518],[-79.716181,-6.807003],[-79.70425,-6.79181],[-79.70994,-6.7703],[-79.728208,-6.763416],[-79.724542,-6.752328]]]}",14,Lambayeque,1,Chiclayo,18,Pomalca,POMALCA
"{""type"":""Polygon"",""coordinates"":[[[-79.49851,-6.74366],[-79.51448,-6.74348],[-79.53115,-6.75641],[-79.5532,-6.7531],[-79.60548,-6.759],[-79.61118,-6.76757],[-79.63319,-6.76488],[-79.6466,-6.76954],[-79.66401,-6.76655],[-79.65424,-6.78047],[-79.655141,-6.800791],[-79.63179,-6.79939],[-79.6016,-6.78688],[-79.58723,-6.77682],[-79.572901,-6.786843],[-79.571051,-6.795023],[-79.580468,-6.808592],[-79.567121,-6.818316],[-79.555699,-6.840814],[-79.530528,-6.845973],[-79.508457,-6.837441],[-79.488082,-6.825134],[-79.457975,-6.833177],[-79.446772,-6.822707],[-79.435902,-6.831618],[-79.41076,-6.821059],[-79.394035,-6.82436],[-79.381992,-6.801941],[-79.383975,-6.782885],[-79.4102,-6.771565],[-79.428138,-6.782613],[-79.447314,-6.774697],[-79.455148,-6.777959],[-79.493829,-6.781811],[-79.499301,-6.778846],[-79.49851,-6.74366]]]}",14,Lambayeque,1,Chiclayo,19,Pucala,PUCALA
"{""type"":""Polygon"",""coordinates"":[[[-79.769947,-6.910033],[-79.772501,-6.87658],[-79.7699,-6.853071],[-79.751828,-6.826066],[-79.751806,-6.815385],[-79.770425,-6.826673],[-79.782356,-6.824736],[-79.80344,-6.845591],[-79.823047,-6.851302],[-79.844762,-6.882102],[-79.830426,-6.892254],[-79.821838,-6.883477],[-79.811141,-6.884711],[-79.769947,-6.910033]]]}",14,Lambayeque,1,Chiclayo,13,Reque,REQUE
"{""type"":""Polygon"",""coordinates"":[[[-79.555699,-6.840814],[-79.567121,-6.818316],[-79.580468,-6.808592],[-79.571051,-6.795023],[-79.572901,-6.786843],[-79.58723,-6.77682],[-79.6016,-6.78688],[-79.63179,-6.79939],[-79.655141,-6.800791],[-79.666322,-6.810739],[-79.664869,-6.823379],[-79.654643,-6.822807],[-79.643712,-6.831155],[-79.655812,-6.844916],[-79.652554,-6.861806],[-79.690641,-6.867811],[-79.701134,-6.863171],[-79.698381,-6.846301],[-79.714531,-6.836494],[-79.740849,-6.812518],[-79.751806,-6.815385],[-79.751828,-6.826066],[-79.7699,-6.853071],[-79.772501,-6.87658],[-79.769947,-6.910033],[-79.72698,-6.936438],[-79.696036,-6.928632],[-79.67831,-6.912052],[-79.6756,-6.904467],[-79.659115,-6.90132],[-79.656242,-6.913593],[-79.635016,-6.916942],[-79.588865,-6.975695],[-79.569419,-6.99114],[-79.550541,-6.989096],[-79.52679,-6.996727],[-79.5209,-6.993769],[-79.514734,-6.978585],[-79.503323,-6.967417],[-79.499378,-6.950859],[-79.516139,-6.931686],[-79.525441,-6.937705],[-79.5537,-6.939375],[-79.555078,-6.927563],[-79.571157,-6.916285],[-79.57402,-6.907662],[-79.59062,-6.89733],[-79.58951,-6.88576],[-79.577047,-6.871869],[-79.555699,-6.840814]]]}",14,Lambayeque,1,Chiclayo,15,Saña,SAÑA
