geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-77.578564,-10.723711],[-77.564166,-10.71186],[-77.574537,-10.694308],[-77.574189,-10.662689],[-77.609894,-10.669266],[-77.623383,-10.665793],[-77.666146,-10.666822],[-77.694555,-10.674537],[-77.758564,-10.710961],[-77.793863,-10.735637],[-77.77201,-10.751176],[-77.750943,-10.782603],[-77.689922,-10.757689],[-77.66647,-10.756499],[-77.663221,-10.731293],[-77.653136,-10.723596],[-77.640316,-10.724544],[-77.628579,-10.711904],[-77.610496,-10.702592],[-77.578564,-10.723711]]]}",15,Lima,2,Barranca,1,Barranca,BARRANCA
"{""type"":""Polygon"",""coordinates"":[[[-77.698752,-10.322104],[-77.74624,-10.324376],[-77.757041,-10.344217],[-77.752127,-10.372861],[-77.751703,-10.394919],[-77.760212,-10.430221],[-77.789619,-10.459621],[-77.796178,-10.483293],[-77.786441,-10.48892],[-77.781056,-10.507257],[-77.772443,-10.512478],[-77.774274,-10.554015],[-77.771376,-10.571615],[-77.784996,-10.572039],[-77.791098,-10.583802],[-77.818349,-10.580443],[-77.832169,-10.567354],[-77.857136,-10.578701],[-77.868614,-10.596501],[-77.886275,-10.611956],[-77.859195,-10.649994],[-77.83824,-10.67398],[-77.816478,-10.693717],[-77.809412,-10.692016],[-77.79765,-10.67528],[-77.783396,-10.665503],[-77.782464,-10.643234],[-77.759271,-10.639334],[-77.726082,-10.623301],[-77.743634,-10.580062],[-77.736341,-10.568403],[-77.744795,-10.560781],[-77.744624,-10.532267],[-77.737942,-10.520786],[-77.711892,-10.505066],[-77.712407,-10.491654],[-77.701196,-10.468581],[-77.687394,-10.451967],[-77.68392,-10.431386],[-77.665777,-10.427119],[-77.645299,-10.40866],[-77.634556,-10.412266],[-77.623231,-10.405463],[-77.599373,-10.383334],[-77.597742,-10.36642],[-77.617041,-10.336277],[-77.619427,-10.327825],[-77.635338,-10.32486],[-77.649204,-10.343467],[-77.666908,-10.338951],[-77.677173,-10.328216],[-77.698752,-10.322104]]]}",15,Lima,2,Barranca,2,Paramonga,PARAMONGA
"{""type"":""Polygon"",""coordinates"":[[[-77.57665,-10.583748],[-77.595992,-10.585414],[-77.617938,-10.600106],[-77.619508,-10.614246],[-77.638163,-10.602902],[-77.645337,-10.582856],[-77.638209,-10.563026],[-77.631226,-10.56012],[-77.612872,-10.538183],[-77.616333,-10.524672],[-77.599652,-10.517446],[-77.601323,-10.509304],[-77.620232,-10.505706],[-77.642564,-10.518525],[-77.651391,-10.530133],[-77.669243,-10.540568],[-77.687777,-10.537301],[-77.708305,-10.547445],[-77.710083,-10.56017],[-77.727557,-10.552705],[-77.736341,-10.568403],[-77.743634,-10.580062],[-77.726082,-10.623301],[-77.759271,-10.639334],[-77.782464,-10.643234],[-77.783396,-10.665503],[-77.79765,-10.67528],[-77.809412,-10.692016],[-77.816478,-10.693717],[-77.806619,-10.707809],[-77.804027,-10.725945],[-77.793863,-10.735637],[-77.758564,-10.710961],[-77.694555,-10.674537],[-77.666146,-10.666822],[-77.623383,-10.665793],[-77.609894,-10.669266],[-77.574189,-10.662689],[-77.58805,-10.643481],[-77.582664,-10.621852],[-77.574115,-10.614662],[-77.57665,-10.583748]]]}",15,Lima,2,Barranca,3,Pativilca,PATIVILCA
"{""type"":""Polygon"",""coordinates"":[[[-77.578564,-10.723711],[-77.610496,-10.702592],[-77.628579,-10.711904],[-77.640316,-10.724544],[-77.653136,-10.723596],[-77.663221,-10.731293],[-77.66647,-10.756499],[-77.689922,-10.757689],[-77.703927,-10.779433],[-77.75086,-10.818701],[-77.722785,-10.836654],[-77.703664,-10.857728],[-77.708428,-10.871031],[-77.701516,-10.886117],[-77.660424,-10.866765],[-77.641894,-10.872287],[-77.61483,-10.868118],[-77.599527,-10.860028],[-77.585919,-10.873128],[-77.561386,-10.878398],[-77.546719,-10.892861],[-77.525711,-10.93198],[-77.478255,-10.918614],[-77.444293,-10.916098],[-77.462221,-10.870066],[-77.458154,-10.809955],[-77.438777,-10.802982],[-77.425682,-10.768697],[-77.402493,-10.767976],[-77.386199,-10.751084],[-77.384994,-10.740221],[-77.365883,-10.719103],[-77.385658,-10.707793],[-77.41543,-10.72998],[-77.436139,-10.72364],[-77.452654,-10.728932],[-77.471108,-10.741871],[-77.49496,-10.746103],[-77.504295,-10.736012],[-77.526573,-10.736295],[-77.542933,-10.750842],[-77.551096,-10.752248],[-77.57371,-10.774705],[-77.588908,-10.784418],[-77.592071,-10.77522],[-77.578564,-10.723711]]]}",15,Lima,2,Barranca,4,Supe,SUPE
"{""type"":""Polygon"",""coordinates"":[[[-77.75086,-10.818701],[-77.703927,-10.779433],[-77.689922,-10.757689],[-77.750943,-10.782603],[-77.744035,-10.794537],[-77.751435,-10.805519],[-77.75086,-10.818701]]]}",15,Lima,2,Barranca,5,Supe Puerto,SUPE PUERTO
"{""type"":""Polygon"",""coordinates"":[[[-76.805676,-10.392299],[-76.822709,-10.392965],[-76.835101,-10.386826],[-76.844494,-10.370057],[-76.856394,-10.377266],[-76.875492,-10.342773],[-76.873018,-10.325789],[-76.881367,-10.308508],[-76.894508,-10.304328],[-76.895893,-10.330276],[-76.90578,-10.34537],[-76.92532,-10.35308],[-77.00298,-10.36059],[-77.03275,-10.38977],[-77.06042,-10.408],[-77.07181,-10.41843],[-77.0868,-10.45168],[-77.10287,-10.46386],[-77.09097,-10.46758],[-77.08088,-10.48555],[-77.04338,-10.48709],[-77.02915,-10.49481],[-77.044516,-10.523955],[-77.036646,-10.543619],[-77.010994,-10.569473],[-76.9826,-10.56278],[-76.97086,-10.56969],[-76.957587,-10.5619],[-76.94266,-10.56956],[-76.938,-10.58502],[-76.91359,-10.56091],[-76.87501,-10.56139],[-76.865031,-10.584498],[-76.858896,-10.562311],[-76.865984,-10.557909],[-76.858032,-10.540724],[-76.854799,-10.506399],[-76.857204,-10.493359],[-76.840639,-10.473582],[-76.823411,-10.483545],[-76.823268,-10.469284],[-76.82913,-10.44523],[-76.828173,-10.428981],[-76.799896,-10.419127],[-76.807,-10.402158],[-76.805676,-10.392299]]]}",15,Lima,3,Cajatambo,1,Cajatambo,CAJATAMBO
"{""type"":""Polygon"",""coordinates"":[[[-76.894508,-10.304328],[-76.891023,-10.294744],[-76.906246,-10.274186],[-76.938116,-10.2797],[-76.962268,-10.297207],[-76.965451,-10.305379],[-77.007672,-10.286544],[-77.009101,-10.307767],[-77.024711,-10.327527],[-77.05328,-10.339838],[-77.071611,-10.338104],[-77.0902,-10.37263],[-77.110885,-10.39209],[-77.110986,-10.403342],[-77.128291,-10.421212],[-77.138245,-10.426469],[-77.150018,-10.451094],[-77.174625,-10.464602],[-77.17603,-10.4831],[-77.17091,-10.47617],[-77.14177,-10.46724],[-77.10642,-10.47046],[-77.10287,-10.46386],[-77.0868,-10.45168],[-77.07181,-10.41843],[-77.06042,-10.408],[-77.03275,-10.38977],[-77.00298,-10.36059],[-76.92532,-10.35308],[-76.90578,-10.34537],[-76.895893,-10.330276],[-76.894508,-10.304328]]]}",15,Lima,3,Cajatambo,2,Copa,COPA
"{""type"":""Polygon"",""coordinates"":[[[-77.036646,-10.543619],[-77.043494,-10.542605],[-77.06872,-10.56522],[-77.10675,-10.58563],[-77.110424,-10.614707],[-77.125965,-10.646953],[-77.117286,-10.662672],[-77.105816,-10.671933],[-77.084369,-10.666754],[-77.055094,-10.691384],[-77.048331,-10.679899],[-77.024594,-10.678603],[-77.010966,-10.695993],[-76.993454,-10.680759],[-76.973613,-10.68222],[-76.960249,-10.687648],[-76.95285,-10.69749],[-76.924177,-10.683574],[-76.90593,-10.667436],[-76.89482,-10.665152],[-76.890739,-10.654418],[-76.879473,-10.656219],[-76.873197,-10.634965],[-76.863309,-10.621822],[-76.865031,-10.584498],[-76.87501,-10.56139],[-76.91359,-10.56091],[-76.938,-10.58502],[-76.94266,-10.56956],[-76.957587,-10.5619],[-76.97086,-10.56969],[-76.9826,-10.56278],[-77.010994,-10.569473],[-77.036646,-10.543619]]]}",15,Lima,3,Cajatambo,3,Gorgor,GORGOR
"{""type"":""Polygon"",""coordinates"":[[[-77.036646,-10.543619],[-77.044516,-10.523955],[-77.02915,-10.49481],[-77.04338,-10.48709],[-77.08088,-10.48555],[-77.09097,-10.46758],[-77.10287,-10.46386],[-77.10642,-10.47046],[-77.14177,-10.46724],[-77.17091,-10.47617],[-77.17603,-10.4831],[-77.16785,-10.49448],[-77.17083,-10.5173],[-77.1811,-10.52389],[-77.18881,-10.54222],[-77.14953,-10.5558],[-77.14046,-10.57231],[-77.12916,-10.57952],[-77.10675,-10.58563],[-77.06872,-10.56522],[-77.043494,-10.542605],[-77.036646,-10.543619]]]}",15,Lima,3,Cajatambo,4,Huancapon,HUANCAPON
"{""type"":""Polygon"",""coordinates"":[[[-77.10675,-10.58563],[-77.12916,-10.57952],[-77.14046,-10.57231],[-77.14953,-10.5558],[-77.18881,-10.54222],[-77.19099,-10.55213],[-77.2093,-10.55539],[-77.22527,-10.54616],[-77.25187,-10.54524],[-77.26726,-10.55054],[-77.27082,-10.56061],[-77.29011,-10.55607],[-77.31063,-10.56769],[-77.31672,-10.58262],[-77.33438,-10.59421],[-77.344705,-10.60798],[-77.32946,-10.618049],[-77.31412,-10.641334],[-77.294328,-10.660392],[-77.246818,-10.683338],[-77.221627,-10.681666],[-77.215308,-10.677205],[-77.19723,-10.68683],[-77.174816,-10.670512],[-77.153008,-10.667426],[-77.137775,-10.646881],[-77.125965,-10.646953],[-77.110424,-10.614707],[-77.10675,-10.58563]]]}",15,Lima,3,Cajatambo,5,Manas,MANAS
