geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-76.33054,-10.31635],[-76.33058,-10.31627],[-76.34156,-10.33573],[-76.37014,-10.33598],[-76.39007,-10.34448],[-76.40818,-10.34787],[-76.41447,-10.36559],[-76.4122,-10.38023],[-76.4203,-10.40132],[-76.43648,-10.41728],[-76.44678,-10.42869],[-76.44318,-10.46301],[-76.43693,-10.49916],[-76.41723,-10.52424],[-76.41905,-10.54868],[-76.397308,-10.570811],[-76.402106,-10.579588],[-76.41899,-10.586977],[-76.41584,-10.605191],[-76.39582,-10.61279],[-76.3874,-10.60519],[-76.37421,-10.60571],[-76.36786,-10.62275],[-76.35014,-10.61094],[-76.34603,-10.59606],[-76.333127,-10.590018],[-76.34889,-10.56849],[-76.34948,-10.55101],[-76.37006,-10.52636],[-76.38645,-10.51669],[-76.38849,-10.506801],[-76.397049,-10.519432],[-76.411696,-10.502483],[-76.424342,-10.496941],[-76.4206,-10.46982],[-76.408996,-10.45799],[-76.393189,-10.469502],[-76.39263,-10.452735],[-76.386497,-10.436883],[-76.375678,-10.424995],[-76.387628,-10.418724],[-76.383216,-10.406957],[-76.38627,-10.37488],[-76.371731,-10.360002],[-76.355537,-10.363992],[-76.335695,-10.352647],[-76.328284,-10.335223],[-76.33054,-10.31635]]]}",19,Pasco,2,Daniel Alcides Carrión,2,Chacayan,CHACAYAN
"{""type"":""Polygon"",""coordinates"":[[[-76.393189,-10.469502],[-76.408996,-10.45799],[-76.4206,-10.46982],[-76.424342,-10.496941],[-76.411696,-10.502483],[-76.397049,-10.519432],[-76.38849,-10.506801],[-76.381113,-10.484752],[-76.393189,-10.469502]]]}",19,Pasco,2,Daniel Alcides Carrión,3,Goyllarisquizga,GOYLLARISQUIZGA
"{""type"":""Polygon"",""coordinates"":[[[-76.33579,-10.28632],[-76.36466,-10.29941],[-76.38722,-10.28929],[-76.40235,-10.30919],[-76.42294,-10.31868],[-76.44394,-10.32053],[-76.47255,-10.309909],[-76.493976,-10.310531],[-76.472804,-10.337768],[-76.48632,-10.351859],[-76.486468,-10.366661],[-76.475197,-10.379008],[-76.456139,-10.391159],[-76.448626,-10.389753],[-76.438829,-10.404823],[-76.43648,-10.41728],[-76.4203,-10.40132],[-76.4122,-10.38023],[-76.41447,-10.36559],[-76.40818,-10.34787],[-76.39007,-10.34448],[-76.37014,-10.33598],[-76.34156,-10.33573],[-76.33058,-10.31627],[-76.32576,-10.30553],[-76.33579,-10.28632]]]}",19,Pasco,2,Daniel Alcides Carrión,4,Paucar,PAUCAR
"{""type"":""Polygon"",""coordinates"":[[[-76.496761,-10.38034],[-76.516834,-10.381603],[-76.533733,-10.387556],[-76.55188,-10.384644],[-76.557865,-10.393334],[-76.579847,-10.376394],[-76.59338,-10.38724],[-76.593359,-10.401494],[-76.607373,-10.405152],[-76.587315,-10.429602],[-76.554463,-10.434728],[-76.535012,-10.431945],[-76.523498,-10.444023],[-76.519994,-10.456541],[-76.511196,-10.461896],[-76.48613,-10.46085],[-76.47824,-10.44641],[-76.47956,-10.42969],[-76.496423,-10.41619],[-76.494148,-10.402962],[-76.500166,-10.395666],[-76.496761,-10.38034]]]}",19,Pasco,2,Daniel Alcides Carrión,5,San Pedro de Pillao,SAN PEDRO DE PILLAO
"{""type"":""Polygon"",""coordinates"":[[[-76.30588,-10.412168],[-76.31262,-10.38346],[-76.32341,-10.35958],[-76.31685,-10.34099],[-76.32197,-10.32539],[-76.33054,-10.31635],[-76.328284,-10.335223],[-76.335695,-10.352647],[-76.355537,-10.363992],[-76.371731,-10.360002],[-76.38627,-10.37488],[-76.383216,-10.406957],[-76.387628,-10.418724],[-76.375678,-10.424995],[-76.386497,-10.436883],[-76.39263,-10.452735],[-76.393189,-10.469502],[-76.381113,-10.484752],[-76.38849,-10.506801],[-76.38645,-10.51669],[-76.37006,-10.52636],[-76.34948,-10.55101],[-76.34889,-10.56849],[-76.333127,-10.590018],[-76.309888,-10.586845],[-76.30407,-10.59853],[-76.29372,-10.60189],[-76.27309,-10.57801],[-76.27207,-10.56178],[-76.25411,-10.54616],[-76.24196,-10.5427],[-76.23599,-10.523683],[-76.238123,-10.514496],[-76.249812,-10.510019],[-76.253328,-10.500029],[-76.245123,-10.480861],[-76.255888,-10.473692],[-76.267163,-10.457453],[-76.295053,-10.433029],[-76.30588,-10.412168]]]}",19,Pasco,2,Daniel Alcides Carrión,6,Santa Ana de Tusi,SANTA ANA DE TUSI
"{""type"":""Polygon"",""coordinates"":[[[-76.43648,-10.41728],[-76.438829,-10.404823],[-76.448626,-10.389753],[-76.456139,-10.391159],[-76.475197,-10.379008],[-76.486468,-10.366661],[-76.496761,-10.38034],[-76.500166,-10.395666],[-76.494148,-10.402962],[-76.496423,-10.41619],[-76.47956,-10.42969],[-76.47824,-10.44641],[-76.48613,-10.46085],[-76.466027,-10.471148],[-76.44318,-10.46301],[-76.44678,-10.42869],[-76.43648,-10.41728]]]}",19,Pasco,2,Daniel Alcides Carrión,7,Tapuc,TAPUC
"{""type"":""Polygon"",""coordinates"":[[[-76.41584,-10.605191],[-76.41899,-10.586977],[-76.402106,-10.579588],[-76.397308,-10.570811],[-76.41905,-10.54868],[-76.41723,-10.52424],[-76.43693,-10.49916],[-76.44318,-10.46301],[-76.466027,-10.471148],[-76.474987,-10.484803],[-76.477031,-10.506612],[-76.493826,-10.507191],[-76.491012,-10.52393],[-76.467601,-10.555507],[-76.478273,-10.566084],[-76.475189,-10.57499],[-76.4346,-10.58942],[-76.41584,-10.605191]]]}",19,Pasco,2,Daniel Alcides Carrión,8,Vilcabamba,VILCABAMBA
"{""type"":""Polygon"",""coordinates"":[[[-76.48613,-10.46085],[-76.511196,-10.461896],[-76.519994,-10.456541],[-76.523498,-10.444023],[-76.535012,-10.431945],[-76.554463,-10.434728],[-76.587315,-10.429602],[-76.607373,-10.405152],[-76.620394,-10.415248],[-76.647197,-10.415139],[-76.658825,-10.4213],[-76.663248,-10.437629],[-76.69682,-10.442486],[-76.702175,-10.461542],[-76.71483,-10.462066],[-76.729151,-10.479066],[-76.730241,-10.508403],[-76.716872,-10.522978],[-76.710188,-10.540741],[-76.709371,-10.558758],[-76.702506,-10.582875],[-76.685862,-10.581457],[-76.681453,-10.599144],[-76.672703,-10.60989],[-76.675574,-10.621372],[-76.661341,-10.635235],[-76.655655,-10.646782],[-76.63735,-10.646466],[-76.61487,-10.67043],[-76.60678,-10.66919],[-76.587624,-10.68232],[-76.572463,-10.709201],[-76.53851,-10.704352],[-76.528789,-10.725655],[-76.516174,-10.742955],[-76.506398,-10.745598],[-76.495427,-10.710828],[-76.475409,-10.694373],[-76.471132,-10.669664],[-76.456363,-10.647425],[-76.434982,-10.653721],[-76.41961,-10.65317],[-76.39521,-10.63356],[-76.37309,-10.62009],[-76.36786,-10.62275],[-76.37421,-10.60571],[-76.3874,-10.60519],[-76.39582,-10.61279],[-76.41584,-10.605191],[-76.4346,-10.58942],[-76.475189,-10.57499],[-76.478273,-10.566084],[-76.467601,-10.555507],[-76.491012,-10.52393],[-76.493826,-10.507191],[-76.477031,-10.506612],[-76.474987,-10.484803],[-76.466027,-10.471148],[-76.48613,-10.46085]]]}",19,Pasco,2,Daniel Alcides Carrión,1,Yanahuanca,YANAHUANCA
"{""type"":""Polygon"",""coordinates"":[[[-75.447412,-10.75157],[-75.445066,-10.744047],[-75.430627,-10.736558],[-75.436769,-10.718401],[-75.426161,-10.709249],[-75.42303,-10.692163],[-75.414302,-10.678478],[-75.415056,-10.660968],[-75.399357,-10.63852],[-75.40812,-10.606629],[-75.403549,-10.595211],[-75.40698,-10.575],[-75.419269,-10.554941],[-75.443049,-10.536221],[-75.44541,-10.51733],[-75.45241,-10.507031],[-75.461789,-10.518541],[-75.477029,-10.522721],[-75.499619,-10.536711],[-75.524892,-10.525267],[-75.52974,-10.528658],[-75.553773,-10.526189],[-75.570394,-10.520867],[-75.584559,-10.539213],[-75.586687,-10.55136],[-75.615967,-10.570232],[-75.62689,-10.569859],[-75.635777,-10.590118],[-75.651001,-10.584548],[-75.674835,-10.599179],[-75.679923,-10.608921],[-75.653347,-10.630343],[-75.621139,-10.628168],[-75.593891,-10.62908],[-75.581181,-10.649152],[-75.562028,-10.644644],[-75.556845,-10.63705],[-75.539521,-10.641063],[-75.538848,-10.661164],[-75.548517,-10.67315],[-75.531067,-10.682803],[-75.512099,-10.682341],[-75.510522,-10.702834],[-75.516879,-10.728531],[-75.53142,-10.743291],[-75.52308,-10.75367],[-75.49025,-10.75683],[-75.48293,-10.7655],[-75.48182,-10.77866],[-75.469709,-10.776201],[-75.46323,-10.750621],[-75.447412,-10.75157]]]}",19,Pasco,3,Oxapampa,2,Chontabamba,CHONTABAMBA
"{""type"":""Polygon"",""coordinates"":[[[-74.675961,-9.446914],[-74.689392,-9.445704],[-74.716774,-9.459085],[-74.728821,-9.472412],[-74.739791,-9.497257],[-74.741937,-9.51734],[-74.750523,-9.524607],[-74.748055,-9.542912],[-74.73517,-9.572707],[-74.755849,-9.584049],[-74.755739,-9.606545],[-74.772486,-9.612379],[-74.763734,-9.626641],[-74.765787,-9.638309],[-74.781647,-9.652962],[-74.786595,-9.664509],[-74.797551,-9.665644],[-74.821883,-9.677188],[-74.81865,-9.693575],[-74.828768,-9.703963],[-74.816844,-9.736434],[-74.843799,-9.749148],[-74.839243,-9.763922],[-74.846225,-9.785291],[-74.821366,-9.78492],[-74.823794,-9.815912],[-74.835259,-9.828865],[-74.835003,-9.847106],[-74.8526,-9.848357],[-74.879078,-9.820465],[-74.885867,-9.820041],[-74.903392,-9.838888],[-74.951624,-9.859909],[-74.985553,-9.864064],[-74.993616,-9.839797],[-75.013093,-9.838104],[-75.021735,-9.83094],[-75.035211,-9.830795],[-75.04326,-9.822853],[-75.059881,-9.819693],[-75.080135,-9.839195],[-75.108398,-9.846254],[-75.135185,-9.838611],[-75.160125,-9.839975],[-75.202606,-9.815369],[-75.240751,-9.785835],[-75.256877,-9.778581],[-75.27978,-9.779185],[-75.310639,-9.774672],[-75.29761,-9.794262],[-75.292635,-9.816171],[-75.282617,-9.830489],[-75.275822,-9.849764],[-75.288224,-9.8707],[-75.271934,-9.881694],[-75.270557,-9.891455],[-75.249954,-9.899814],[-75.24762,-9.917146],[-75.227858,-9.922885],[-75.203145,-9.945659],[-75.191374,-9.964059],[-75.167066,-9.988682],[-75.165617,-10.02369],[-75.154646,-10.048501],[-75.1451,-10.080969],[-75.137537,-10.079085],[-75.109858,-10.087339],[-75.078702,-10.088358],[-75.0598,-10.09925],[-75.04439,-10.09383],[-75.030821,-10.081258],[-75.020842,-10.065563],[-74.973501,-10.01878],[-74.974071,-9.999867],[-74.949627,-10.007586],[-74.949574,-10.021063],[-74.938308,-10.026749],[-74.932833,-10.016062],[-74.921304,-10.025959],[-74.90509,-10.024643],[-74.877554,-10.027829],[-74.866712,-10.037062],[-74.857195,-10.028144],[-74.857516,-10.007644],[-74.83646,-9.99447],[-74.81487,-10.01312],[-74.80689,-10.03005],[-74.81311,-10.04766],[-74.792954,-10.057895],[-74.785187,-10.049376],[-74.777112,-10.018485],[-74.768934,-10.011834],[-74.754499,-10.023634],[-74.735969,-10.016496],[-74.713528,-10.020683],[-74.699116,-10.003663],[-74.6936,-9.98829],[-74.67939,-9.98818],[-74.66099,-10.01506],[-74.64952,-10.02544],[-74.61411,-10.02149],[-74.605397,-10.026576],[-74.595103,-10.006787],[-74.578288,-9.988824],[-74.580077,-9.969113],[-74.56239,-9.964034],[-74.545294,-9.952281],[-74.529217,-9.926733],[-74.487156,-9.928919],[-74.484031,-9.947646],[-74.461668,-9.951862],[-74.45381,-9.962339],[-74.426219,-9.962244],[-74.412326,-9.953955],[-74.416646,-9.930824],[-74.411026,-9.915704],[-74.414552,-9.902112],[-74.43757,-9.872382],[-74.450203,-9.870226],[-74.451148,-9.810668],[-74.44724,-9.77715],[-74.455361,-9.745982],[-74.47409,-9.730124],[-74.492296,-9.673523],[-74.489654,-9.653268],[-74.497291,-9.637598],[-74.490726,-9.618784],[-74.503144,-9.592522],[-74.531654,-9.592103],[-74.55693,-9.577147],[-74.575561,-9.570486],[-74.573239,-9.550892],[-74.581615,-9.527013],[-74.593172,-9.509617],[-74.583178,-9.498439],[-74.581092,-9.476602],[-74.608313,-9.47209],[-74.62245,-9.461112],[-74.663957,-9.454344],[-74.675961,-9.446914]]]}",19,Pasco,3,Oxapampa,8,Constitucion,CONSTITUCION
