geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-70.199772,-15.16483],[-70.213964,-15.159772],[-70.251086,-15.182326],[-70.229689,-15.201273],[-70.225971,-15.219726],[-70.227387,-15.251971],[-70.209033,-15.251916],[-70.206992,-15.285703],[-70.20366,-15.299398],[-70.173773,-15.302977],[-70.16049,-15.292613],[-70.148086,-15.312635],[-70.131564,-15.313405],[-70.129798,-15.301801],[-70.136251,-15.280874],[-70.118664,-15.276687],[-70.119368,-15.2311],[-70.112266,-15.219594],[-70.132816,-15.21055],[-70.142015,-15.215414],[-70.1673,-15.20919],[-70.194924,-15.197444],[-70.195598,-15.175021],[-70.199772,-15.16483]]]}",21,Puno,2,Azángaro,2,Achaya,ACHAYA
"{""type"":""Polygon"",""coordinates"":[[[-69.976105,-14.944006],[-69.993076,-14.939496],[-70.002504,-14.949234],[-70.013641,-14.97192],[-70.029103,-14.972882],[-70.044234,-14.985301],[-70.048289,-15.003269],[-70.059629,-15.012767],[-70.074344,-15.026886],[-70.074467,-15.049826],[-70.084773,-15.062006],[-70.093383,-15.051445],[-70.110546,-15.054681],[-70.13944,-15.04137],[-70.160558,-15.054384],[-70.175787,-15.080602],[-70.166145,-15.09818],[-70.179098,-15.105522],[-70.176601,-15.117122],[-70.186011,-15.132036],[-70.202909,-15.143714],[-70.199772,-15.16483],[-70.195598,-15.175021],[-70.194924,-15.197444],[-70.1673,-15.20919],[-70.142015,-15.215414],[-70.132816,-15.21055],[-70.112266,-15.219594],[-70.10508,-15.207656],[-70.085845,-15.184115],[-70.116164,-15.16793],[-70.118665,-15.151995],[-70.107975,-15.143872],[-70.093292,-15.146476],[-70.073172,-15.125513],[-70.044952,-15.110658],[-70.034244,-15.118602],[-70.03278,-15.132023],[-70.020355,-15.153634],[-70.011643,-15.15253],[-70.00225,-15.163796],[-69.990263,-15.168452],[-70.002109,-15.145711],[-70.00127,-15.130495],[-70.017158,-15.09177],[-70.010133,-15.076953],[-70.012658,-15.059051],[-70.000816,-15.045051],[-70.000867,-15.028443],[-69.989029,-15.017165],[-69.967865,-15.024875],[-69.96345,-15.015606],[-69.959252,-14.960724],[-69.976105,-14.944006]]]}",21,Puno,2,Azángaro,3,Arapa,ARAPA
"{""type"":""Polygon"",""coordinates"":[[[-70.342064,-14.578033],[-70.346999,-14.585548],[-70.36773,-14.595887],[-70.388423,-14.572161],[-70.404735,-14.562265],[-70.430768,-14.579098],[-70.412662,-14.601786],[-70.41783,-14.613808],[-70.396181,-14.627567],[-70.387747,-14.636713],[-70.384754,-14.676956],[-70.397937,-14.700534],[-70.400242,-14.716667],[-70.417136,-14.731252],[-70.425854,-14.757696],[-70.42693,-14.77061],[-70.445543,-14.78799],[-70.445119,-14.796731],[-70.454235,-14.82492],[-70.442249,-14.832812],[-70.420184,-14.835935],[-70.41747,-14.849457],[-70.396238,-14.861482],[-70.380544,-14.863311],[-70.373835,-14.857564],[-70.362637,-14.874005],[-70.337011,-14.876923],[-70.309975,-14.892619],[-70.299941,-14.87947],[-70.302554,-14.858294],[-70.314784,-14.843169],[-70.321183,-14.827706],[-70.304242,-14.811891],[-70.2909,-14.818488],[-70.287779,-14.799636],[-70.279226,-14.792096],[-70.259842,-14.805516],[-70.237084,-14.809207],[-70.25261,-14.788637],[-70.262161,-14.788569],[-70.284973,-14.774774],[-70.29216,-14.75039],[-70.300778,-14.74055],[-70.30082,-14.7213],[-70.276075,-14.692285],[-70.251938,-14.686563],[-70.248947,-14.665914],[-70.269146,-14.658695],[-70.272752,-14.651677],[-70.297685,-14.641324],[-70.312751,-14.644623],[-70.325733,-14.654142],[-70.337534,-14.650403],[-70.353199,-14.636847],[-70.35677,-14.62651],[-70.339209,-14.600053],[-70.326774,-14.587108],[-70.342064,-14.578033]]]}",21,Puno,2,Azángaro,4,Asillo,ASILLO
"{""type"":""Polygon"",""coordinates"":[[[-69.988578,-14.873098],[-70.004017,-14.856488],[-70.01102,-14.838108],[-70.03468,-14.824661],[-70.03469,-14.80789],[-70.058324,-14.789372],[-70.068647,-14.787234],[-70.077715,-14.770409],[-70.073361,-14.741704],[-70.063141,-14.719489],[-70.071709,-14.708592],[-70.085605,-14.722257],[-70.102463,-14.726381],[-70.110674,-14.74085],[-70.124976,-14.744339],[-70.132249,-14.757558],[-70.133207,-14.778838],[-70.145812,-14.772143],[-70.180564,-14.776347],[-70.184209,-14.788983],[-70.207374,-14.797047],[-70.21939,-14.806627],[-70.237084,-14.809207],[-70.259842,-14.805516],[-70.279226,-14.792096],[-70.287779,-14.799636],[-70.2909,-14.818488],[-70.304242,-14.811891],[-70.321183,-14.827706],[-70.314784,-14.843169],[-70.302554,-14.858294],[-70.299941,-14.87947],[-70.309975,-14.892619],[-70.310712,-14.911909],[-70.320122,-14.924643],[-70.319258,-14.940632],[-70.30236,-14.97428],[-70.29418,-14.976343],[-70.274043,-14.991609],[-70.259242,-15.004117],[-70.237988,-14.980725],[-70.202999,-14.993486],[-70.185864,-14.977867],[-70.178266,-14.970261],[-70.186164,-14.942607],[-70.144364,-14.946822],[-70.127337,-14.957499],[-70.10812,-14.956692],[-70.09019,-14.983364],[-70.071952,-15.005471],[-70.059629,-15.012767],[-70.048289,-15.003269],[-70.044234,-14.985301],[-70.029103,-14.972882],[-70.013641,-14.97192],[-70.002504,-14.949234],[-69.993076,-14.939496],[-69.976105,-14.944006],[-69.965925,-14.925445],[-69.976908,-14.905371],[-69.976691,-14.889283],[-69.988578,-14.873098]]]}",21,Puno,2,Azángaro,1,Azangaro,AZANGARO
"{""type"":""Polygon"",""coordinates"":[[[-70.159242,-15.354843],[-70.132033,-15.33382],[-70.107306,-15.345162],[-70.094706,-15.383677],[-70.064371,-15.352949],[-70.051011,-15.354274],[-70.042655,-15.327931],[-70.055426,-15.311076],[-70.048117,-15.290418],[-70.045948,-15.262155],[-70.072537,-15.257627],[-70.096268,-15.233789],[-70.10508,-15.207656],[-70.112266,-15.219594],[-70.119368,-15.2311],[-70.118664,-15.276687],[-70.136251,-15.280874],[-70.129798,-15.301801],[-70.131564,-15.313405],[-70.148086,-15.312635],[-70.162793,-15.324525],[-70.159242,-15.354843]]]}",21,Puno,2,Azángaro,5,Caminaca,CAMINACA
"{""type"":""Polygon"",""coordinates"":[[[-69.967865,-15.024875],[-69.989029,-15.017165],[-70.000867,-15.028443],[-70.000816,-15.045051],[-70.012658,-15.059051],[-70.010133,-15.076953],[-70.017158,-15.09177],[-70.00127,-15.130495],[-70.002109,-15.145711],[-69.990263,-15.168452],[-69.997157,-15.140189],[-69.986364,-15.122054],[-69.975629,-15.134034],[-69.976442,-15.149366],[-69.956854,-15.172498],[-69.94649,-15.150993],[-69.927873,-15.158482],[-69.927746,-15.167057],[-69.910695,-15.195921],[-69.887345,-15.205825],[-69.880068,-15.197966],[-69.896931,-15.180822],[-69.900131,-15.166203],[-69.891119,-15.130035],[-69.876609,-15.108756],[-69.884728,-15.102779],[-69.898257,-15.110801],[-69.911106,-15.095082],[-69.921878,-15.090981],[-69.916042,-15.079529],[-69.92407,-15.069557],[-69.922291,-15.059154],[-69.943311,-15.05698],[-69.966896,-15.029647],[-69.967865,-15.024875]]]}",21,Puno,2,Azángaro,6,Chupa,CHUPA
"{""type"":""Polygon"",""coordinates"":[[[-70.274043,-14.991609],[-70.29418,-14.976343],[-70.30236,-14.97428],[-70.32159,-14.98206],[-70.35107,-15.01435],[-70.362841,-15.018718],[-70.347498,-15.034752],[-70.360053,-15.050589],[-70.344616,-15.072696],[-70.35164,-15.091914],[-70.342581,-15.096548],[-70.331327,-15.091779],[-70.305978,-15.061225],[-70.296675,-15.021959],[-70.28599,-15.003596],[-70.274043,-14.991609]]]}",21,Puno,2,Azángaro,7,José Domingo Choquehuanca,ESTACION DE PUCARA
"{""type"":""Polygon"",""coordinates"":[[[-70.011826,-14.558918],[-70.014138,-14.547013],[-70.025155,-14.536474],[-70.045191,-14.547169],[-70.06418,-14.53442],[-70.077279,-14.519562],[-70.083683,-14.505721],[-70.120049,-14.49383],[-70.138665,-14.503002],[-70.150687,-14.530416],[-70.140559,-14.537129],[-70.140109,-14.552465],[-70.126789,-14.567975],[-70.12365,-14.594984],[-70.110276,-14.596877],[-70.097282,-14.617293],[-70.101088,-14.626474],[-70.081812,-14.634142],[-70.070899,-14.658026],[-70.076205,-14.677737],[-70.071709,-14.708592],[-70.063141,-14.719489],[-70.073361,-14.741704],[-70.077715,-14.770409],[-70.068647,-14.787234],[-70.058324,-14.789372],[-70.03469,-14.80789],[-70.03468,-14.824661],[-70.01102,-14.838108],[-70.004017,-14.856488],[-69.988578,-14.873098],[-69.97052,-14.86115],[-69.96949,-14.852048],[-69.951478,-14.851204],[-69.936898,-14.843458],[-69.922244,-14.862401],[-69.911622,-14.86529],[-69.900155,-14.854535],[-69.904213,-14.835464],[-69.900754,-14.827275],[-69.849672,-14.790258],[-69.858145,-14.777248],[-69.854157,-14.760788],[-69.836905,-14.742659],[-69.841239,-14.722666],[-69.855083,-14.702642],[-69.857873,-14.687998],[-69.850136,-14.673222],[-69.848595,-14.6558],[-69.857021,-14.647049],[-69.859886,-14.6201],[-69.85523,-14.6115],[-69.86114,-14.59042],[-69.87756,-14.60184],[-69.88962,-14.58572],[-69.887434,-14.576646],[-69.901812,-14.565941],[-69.917466,-14.579267],[-69.934283,-14.568693],[-69.952617,-14.570043],[-69.984493,-14.58379],[-69.996668,-14.577945],[-70.011826,-14.558918]]]}",21,Puno,2,Azángaro,8,Muñani,MUÑANI
"{""type"":""Polygon"",""coordinates"":[[[-70.179689,-14.29284],[-70.196011,-14.285368],[-70.212356,-14.268927],[-70.220721,-14.277511],[-70.22727,-14.307724],[-70.251294,-14.305445],[-70.256987,-14.289098],[-70.268242,-14.28297],[-70.267992,-14.300476],[-70.276162,-14.321946],[-70.293268,-14.340042],[-70.304335,-14.345642],[-70.314733,-14.340244],[-70.326647,-14.349903],[-70.323492,-14.371971],[-70.315462,-14.379319],[-70.299104,-14.386349],[-70.290914,-14.381174],[-70.273845,-14.397041],[-70.250599,-14.40099],[-70.245064,-14.384842],[-70.220465,-14.37278],[-70.219029,-14.392256],[-70.206528,-14.412165],[-70.199554,-14.436281],[-70.185122,-14.449395],[-70.174971,-14.448826],[-70.160906,-14.469179],[-70.145332,-14.464236],[-70.120049,-14.49383],[-70.083683,-14.505721],[-70.077279,-14.519562],[-70.06418,-14.53442],[-70.045191,-14.547169],[-70.025155,-14.536474],[-70.014138,-14.547013],[-70.011826,-14.558918],[-69.98596,-14.52362],[-69.95431,-14.50415],[-69.948666,-14.491384],[-69.92755,-14.483624],[-69.910507,-14.483711],[-69.895257,-14.47857],[-69.88982,-14.45895],[-69.889875,-14.434274],[-69.898015,-14.419796],[-69.910387,-14.40885],[-69.939808,-14.398683],[-69.956668,-14.37766],[-69.972777,-14.368308],[-70.001878,-14.36953],[-70.020761,-14.366545],[-70.05243,-14.37033],[-70.09785,-14.35905],[-70.11131,-14.35873],[-70.13738,-14.34993],[-70.14954,-14.34067],[-70.1683,-14.31948],[-70.17976,-14.3212],[-70.179689,-14.29284]]]}",21,Puno,2,Azángaro,9,Potoni,POTONI
"{""type"":""Polygon"",""coordinates"":[[[-69.887743,-15.206933],[-69.89867,-15.216515],[-69.910504,-15.211143],[-69.929982,-15.218635],[-69.943821,-15.201996],[-69.951819,-15.219721],[-69.965111,-15.207669],[-69.977739,-15.207823],[-70.014104,-15.196532],[-70.038973,-15.193472],[-70.060544,-15.194047],[-70.085845,-15.184115],[-70.10508,-15.207656],[-70.096268,-15.233789],[-70.072537,-15.257627],[-70.045948,-15.262155],[-70.048117,-15.290418],[-70.055426,-15.311076],[-70.042655,-15.327931],[-70.051011,-15.354274],[-70.047047,-15.370203],[-70.035224,-15.380897],[-70.023049,-15.399057],[-70.005267,-15.402456],[-69.997649,-15.393773],[-69.983855,-15.393229],[-69.979273,-15.376589],[-69.990376,-15.355599],[-69.988759,-15.346003],[-70.005742,-15.327515],[-70.002898,-15.295811],[-69.997057,-15.27575],[-69.963146,-15.251039],[-69.947352,-15.243039],[-69.930204,-15.242717],[-69.92074,-15.232501],[-69.903227,-15.235645],[-69.896108,-15.224467],[-69.895883,-15.211852],[-69.887743,-15.206933]]]}",21,Puno,2,Azángaro,10,Samán,SAMAN
