EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
QUEBRADA HERCULES,LABOR MINERA,BOCAMINA,HUARMEY,ANCASH,AIJA,AIJA,-9.75705143,-77.55121796,09009424X01;010002906U,ACUMULACION ALIANZA Nº 1;HUANCAPETI,COMPAÑIA MINERA ALIANZA S.A.;COMPAÑIA MINERA HUANCAPETI SAC;COMPAÑIA MINERA LINCUNA S.A.;COMPAÑIA MINERA LINCUNA S.A.C.;COMPAÑIA MINERA YAHUARCOCHA S.A.,NO IDENTIFICADO,---,---,43,3
BOCAMINAS TAJEOS Y DESMONTES KARAN,LABOR MINERA,BOCAMINA,HUARMEY,ANCASH,AIJA,AIJA,-9.78099322,-77.52758709,09009424X01;09006671X01;010002906U;09006717X01,ACUMULACION ALIANZA Nº 1;ELISA;HUANCAPETI;TARUGO Nº 7,COMPAÑIA MINERA ALIANZA S.A.;COMPAÑIA MINERA HUANCAPETI SAC;COMPAÑIA MINERA LINCUNA S.A.;COMPAÑIA MINERA LINCUNA S.A.C.;COMPAÑIA MINERA YAHUARCOCHA S.A.,NO IDENTIFICADO,---,---,39,3
QUEBRADA HERCULES,LABOR MINERA,BOCAMINA,HUARMEY,ANCASH,AIJA,AIJA,-9.75479348,-77.54139931,09009593X01;010002906U;09006588X01;010607807,ACUMULACION ALIANZA Nº 10;HUANCAPETI;MARCELA Nº DOS;SOL DE BRETAÑA,"COMPAÑIA MINERA AIJA S.A.;COMPAÑIA MINERA ALIANZA S.A.;COMPAÑIA MINERA HUANCAPETI SAC;COMPAÑIA MINERA LINCUNA S.A.;COMPAÑIA MINERA LINCUNA S.A.C.;COMPAÑIA MINERA YAHUARCOCHA S.A.;DE LA CRUZ DEXTRE, LEONARDO DE PORTO",NO IDENTIFICADO,---,---,37,2
QUEBRADA HERCULES,LABOR MINERA,BOCAMINA,HUARMEY,ANCASH,AIJA,AIJA,-9.76290601,-77.54650745,09009424X01;09006671X01;010002906U,ACUMULACION ALIANZA Nº 1;ELISA;HUANCAPETI,COMPAÑIA MINERA ALIANZA S.A.;COMPAÑIA MINERA HUANCAPETI SAC;COMPAÑIA MINERA LINCUNA S.A.;COMPAÑIA MINERA LINCUNA S.A.C.;COMPAÑIA MINERA YAHUARCOCHA S.A.,NO IDENTIFICADO,---,---,22,1
QUEBRADA HERCULES,RESIDUO MINERO,DESMONTE DE MINA,HUARMEY,ANCASH,AIJA,AIJA,-9.76029581,-77.55237221,09009424X01;010002906U,ACUMULACION ALIANZA Nº 1;HUANCAPETI,COMPAÑIA MINERA ALIANZA S.A.;COMPAÑIA MINERA HUANCAPETI SAC;COMPAÑIA MINERA LINCUNA S.A.;COMPAÑIA MINERA LINCUNA S.A.C.;COMPAÑIA MINERA YAHUARCOCHA S.A.,NO IDENTIFICADO,---,---,43,3
QUEBRADA HERCULES,LABOR MINERA,BOCAMINA,HUARMEY,ANCASH,AIJA,AIJA,-9.75471820,-77.54179954,09009593X01;010002906U;09006588X01;010607807,ACUMULACION ALIANZA Nº 10;HUANCAPETI;MARCELA Nº DOS;SOL DE BRETAÑA,"COMPAÑIA MINERA AIJA S.A.;COMPAÑIA MINERA ALIANZA S.A.;COMPAÑIA MINERA HUANCAPETI SAC;COMPAÑIA MINERA LINCUNA S.A.;COMPAÑIA MINERA LINCUNA S.A.C.;COMPAÑIA MINERA YAHUARCOCHA S.A.;DE LA CRUZ DEXTRE, LEONARDO DE PORTO",NO IDENTIFICADO,---,---,35,2
QUEBRADA HERCULES,LABOR MINERA,BOCAMINA,HUARMEY,ANCASH,AIJA,AIJA,-9.76249986,-77.55488496,09009424X01;010002906U,ACUMULACION ALIANZA Nº 1;HUANCAPETI,COMPAÑIA MINERA ALIANZA S.A.;COMPAÑIA MINERA HUANCAPETI SAC;COMPAÑIA MINERA LINCUNA S.A.;COMPAÑIA MINERA LINCUNA S.A.C.;COMPAÑIA MINERA YAHUARCOCHA S.A.,NO IDENTIFICADO,---,---,18,1
QUEBRADA HERCULES,LABOR MINERA,TAJO,HUARMEY,ANCASH,AIJA,AIJA,-9.76155361,-77.55213584,09009424X01;010002906U,ACUMULACION ALIANZA Nº 1;HUANCAPETI,COMPAÑIA MINERA ALIANZA S.A.;COMPAÑIA MINERA HUANCAPETI SAC;COMPAÑIA MINERA LINCUNA S.A.;COMPAÑIA MINERA LINCUNA S.A.C.;COMPAÑIA MINERA YAHUARCOCHA S.A.,NO IDENTIFICADO,---,---,16,1
QUEBRADA HERCULES,LABOR MINERA,BOCAMINA,HUARMEY,ANCASH,AIJA,AIJA,-9.75831387,-77.53219826,09003973X01;010003006U;09008719X01;010607807,A.F.T. Nº 8;LINCUNA UNO;NORMA Nº 1;SOL DE BRETAÑA,"COMPAÑIA MINERA ALIANZA S.A.;COMPAÑIA MINERA LINCUNA S.A.C.;COMPAÑIA MINERA NEBRASKA S.A.;COMPAÑIA MINERA YAHUARCOCHA S.A.;DE LA CRUZ DEXTRE, LEONARDO DE PORTO;THE ANGLO FRENCH TICAPAMPA & SILVER MINING COMPANY",NO IDENTIFICADO,---,---,16,1
BOCAMINAS TAJEOS Y DESMONTES KARAN,LABOR MINERA,BOCAMINA,HUARMEY,ANCASH,AIJA,AIJA,-9.77304178,-77.53358500,09009424X01;09006671X01;010002906U,ACUMULACION ALIANZA Nº 1;ELISA;HUANCAPETI,COMPAÑIA MINERA ALIANZA S.A.;COMPAÑIA MINERA HUANCAPETI SAC;COMPAÑIA MINERA LINCUNA S.A.;COMPAÑIA MINERA LINCUNA S.A.C.;COMPAÑIA MINERA YAHUARCOCHA S.A.,NO IDENTIFICADO,---,---,47,3
