EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
ALGAMARCA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61288090,-78.24558934,010002275U;15008634X01,ALGAMARCA;ALGAMARCA Nº 1,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,25,1
ALGAMARCA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61287900,-78.24671229,15008634X01,ALGAMARCA Nº 1,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,29,2
ALGAMARCA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61325825,-78.24667364,010000411L;15008634X01,ACUMULACION SHAHUINDO;ALGAMARCA Nº 1,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,33,2
ALGAMARCA,INFRAESTRUCTURA,NO DETERMINADO,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61371030,-78.24671604,010000411L;15008634X01,ACUMULACION SHAHUINDO;ALGAMARCA Nº 1,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,27,2
ALGAMARCA,INFRAESTRUCTURA,PLANTAS DE PROCESAMIENTO,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61344103,-78.24699849,010000411L;15008634X01,ACUMULACION SHAHUINDO;ALGAMARCA Nº 1,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,35,2
ALGAMARCA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61368486,-78.24697882,010000411L;15008634X01,ACUMULACION SHAHUINDO;ALGAMARCA Nº 1,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,25,1
ALGAMARCA,INFRAESTRUCTURA,NO DETERMINADO,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61328254,-78.24765153,010000411L;15008634X01;010057997;010017503,ACUMULACION SHAHUINDO;ALGAMARCA Nº 1;MICHE 24;SAN SIMON V,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;COMPAÑIA MINERA SAN SIMON S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOCIEDAD MINERA CAMBIOR PERU S.A.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,31,2
ALGAMARCA,INFRAESTRUCTURA,NO DETERMINADO,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61334596,-78.24767830,010000411L;15008634X01;010057997;010017503,ACUMULACION SHAHUINDO;ALGAMARCA Nº 1;MICHE 24;SAN SIMON V,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;COMPAÑIA MINERA SAN SIMON S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOCIEDAD MINERA CAMBIOR PERU S.A.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,27,2
ALGAMARCA,RESIDUO MINERO,RELAVES,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61369914,-78.24780283,010000411L;15008634X01;010057997;010017503,ACUMULACION SHAHUINDO;ALGAMARCA Nº 1;MICHE 24;SAN SIMON V,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;COMPAÑIA MINERA SAN SIMON S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOCIEDAD MINERA CAMBIOR PERU S.A.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,61,4
ALGAMARCA,RESIDUO MINERO,RELAVES,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61508423,-78.24679782,010000411L;15008634X01,ACUMULACION SHAHUINDO;ALGAMARCA Nº 1,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,55,4
ALGAMARCA,RESIDUO MINERO,RELAVES,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61451098,-78.24616756,010000411L;15008634X01,ACUMULACION SHAHUINDO;ALGAMARCA Nº 1,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA MINERA ALGAMARCA S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,45,3
ALGAMARCA,LABOR MINERA,BOCAMINA,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.60657547,-78.24865425,15005300X01;010000411L;010002892,ACUMULACION ALGAMARCA;ACUMULACION SHAHUINDO;MALVAS 92,"ALTA TECNOLOGIA E INVERSION MINERA Y METALURGICA S.A.;ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA DE EXPLORACIONES ALGAMARCA S.A.;COMPAÑIA MINERA ALGAMARCA S.A.;INVERSIONES MINERAS SUDAMERICANAS S.A., SUCURSAL PERU;MINERA SULLIDEN SHAHUINDO S.A.C.;SOCIEDAD MINERA PILACONES S.A.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,25,1
ALGAMARCA,LABOR MINERA,BOCAMINA,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.60616417,-78.24649253,15005300X01;010000411L;15000023Y01,ACUMULACION ALGAMARCA;ACUMULACION SHAHUINDO;DESCUBRIDORA,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA DE EXPLORACIONES ALGAMARCA S.A.;COMPAÑIA MINERA ALGAMARCA S.A.;INVERSIONES MINERAS SUDAMERICANAS S.A., SUCURSAL PERU;MINERA SULLIDEN SHAHUINDO S.A.C.;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,41,3
ALGAMARCA,LABOR MINERA,BOCAMINA,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.60669731,-78.24507642,15005300X01;010002275U,ACUMULACION ALGAMARCA;ALGAMARCA,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA DE EXPLORACIONES ALGAMARCA S.A.;COMPAÑIA MINERA ALGAMARCA S.A.;INVERSIONES MINERAS SUDAMERICANAS S.A., SUCURSAL PERU;MINERA SULLIDEN SHAHUINDO S.A.C.",NO IDENTIFICADO,---,---,45,3
ALGAMARCA,LABOR MINERA,BOCAMINA,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61174497,-78.24172972,15005300X01;010000411L,ACUMULACION ALGAMARCA;ACUMULACION SHAHUINDO,"ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA DE EXPLORACIONES ALGAMARCA S.A.;COMPAÑIA MINERA ALGAMARCA S.A.;INVERSIONES MINERAS SUDAMERICANAS S.A., SUCURSAL PERU;MINERA SULLIDEN SHAHUINDO S.A.C.",NO IDENTIFICADO,---,---,59,4
ALGAMARCA,RESIDUO MINERO,RELAVES,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61031537,-78.25850140,010002275U;15008634X01;010002892;010165604,ALGAMARCA;ALGAMARCA Nº 1;MALVAS 92;MARIA ANGOLA 37,"ALTA TECNOLOGIA E INVERSION MINERA Y METALURGICA S.A.;ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA DE EXPLORACIONES ALGAMARCA S.A.;COMPAÑIA MINERA ALGAMARCA S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOCIEDAD MINERA CAMBIOR PERU S.A.;SOCIEDAD MINERA PILACONES S.A.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,63,5
ALGAMARCA,RESIDUO MINERO,RELAVES,CRISNEJAS,CAJAMARCA,CAJABAMBA,CACHACHI,-7.61064293,-78.25886155,010002275U;15008634X01;010002892;010165604,ALGAMARCA;ALGAMARCA Nº 1;MALVAS 92;MARIA ANGOLA 37,"ALTA TECNOLOGIA E INVERSION MINERA Y METALURGICA S.A.;ASARCO PERUVIAN EXPLORATION COMPANY, SUCURSAL PERUANA;COMPAÑIA DE EXPLORACIONES ALGAMARCA S.A.;COMPAÑIA MINERA ALGAMARCA S.A.;MINERA SULLIDEN SHAHUINDO S.A.C.;SOCIEDAD MINERA CAMBIOR PERU S.A.;SOCIEDAD MINERA PILACONES S.A.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,53,4
