EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
SAN CRISTOBAL 1,RESIDUO MINERO,DESMONTE DE MINA,URUBAMBA,CUSCO,ANTA,ZURITE,-13.43336119,-72.26115279,010079804;010458195;010338293,DON LUCHO C;EL INTI 1;HUAYONAY 2,"ROSAS VILLANUEVA, CARLOS PERCI; COMPAÑIA MINERA EL SOL S.A.;BELAUNDE AUBRY, RAFAEL LUIS",NO IDENTIFICADO,---,---,31,2
SAN CRISTOBAL 1,LABOR MINERA,BOCAMINA,URUBAMBA,CUSCO,ANTA,ZURITE,-13.43271099,-72.26116940,010079804;010338293; 010458195,DON LUCHO C;HUAYONAY 2; EL INTI 1,"ROSAS VILLANUEVA, CARLOS PERCI; BELAUNDE AUBRY, RAFAEL LUIS; COMPAÑÍA MINERA EL SOL S.A.",NO IDENTIFICADO,---,---,25,1
SAN CRISTOBAL 1,LABOR MINERA,BOCAMINA,URUBAMBA,CUSCO,ANTA,ZURITE,-13.43350049,-72.26150189,010079804;010338293; 010458195,DON LUCHO C;HUAYONAY 2; EL INTI 1,"ROSAS VILLANUEVA, CARLOS PERCI; BELAUNDE AUBRY, RAFAEL LUIS; COMPAÑÍA MINERA EL SOL S.A.",NO IDENTIFICADO,---,---,29,2
SAN CRISTOBAL 1,RESIDUO MINERO,DESMONTE DE MINA,URUBAMBA,CUSCO,ANTA,ZURITE,-13.43382434,-72.26137824,010079804;010338293; 010458195,DON LUCHO C;HUAYONAY 2; EL INTI 1,"ROSAS VILLANUEVA, CARLOS PERCI; BELAUNDE AUBRY, RAFAEL LUIS; COMPAÑÍA MINERA EL SOL S.A.",NO IDENTIFICADO,---,---,24,1
SAN CRISTOBAL 1,LABOR MINERA,BOCAMINA,URUBAMBA,CUSCO,ANTA,ZURITE,-13.43328974,-72.26122743,010079804;010338293; 010458195,DON LUCHO C;HUAYONAY 2; EL INTI 1,"ROSAS VILLANUEVA, CARLOS PERCI; BELAUNDE AUBRY, RAFAEL LUIS; COMPAÑÍA MINERA EL SOL S.A.",NO IDENTIFICADO,---,---,35,2
SAN CRISTOBAL 1,RESIDUO MINERO,DESMONTE DE MINA,URUBAMBA,CUSCO,ANTA,ZURITE,-13.43294472,-72.26106524,010079804;010338293; 010458195,DON LUCHO C;HUAYONAY 2; EL INTI 1,"ROSAS VILLANUEVA, CARLOS PERCI; BELAUNDE AUBRY, RAFAEL LUIS; COMPAÑÍA MINERA EL SOL S.A.",NO IDENTIFICADO,---,---,22,1
CHOCHEQUEÑA,LABOR MINERA,BOCAMINA,URUBAMBA,CUSCO,CANAS,LANGUI,-14.38137300,-71.31864433,10312408,MICHAEL TRES,"MELLONI RIGOBELLO, FABIA FRANCESCA",NO IDENTIFICADO,---,---,27,2
CHOCHEQUEÑA,LABOR MINERA,TRINCHERA,URUBAMBA,CUSCO,CANAS,LANGUI,-14.38295368,-71.31777082,10312408,MICHAEL TRES,"MELLONI RIGOBELLO, FABIA FRANCESCA",NO IDENTIFICADO,---,---,22,1
CHOCHEQUEÑA,LABOR MINERA,TRINCHERA,URUBAMBA,CUSCO,CANAS,LANGUI,-14.38073524,-71.31918461,10312408,MICHAEL TRES,"MELLONI RIGOBELLO, FABIA FRANCESCA",NO IDENTIFICADO,---,---,25,1
CHOCHEQUEÑA,RESIDUO MINERO,DESMONTE DE MINA,URUBAMBA,CUSCO,CANAS,LANGUI,-14.38012776,-71.31940079,10312408,MICHAEL TRES,"MELLONI RIGOBELLO, FABIA FRANCESCA",NO IDENTIFICADO,---,---,20,1
CHOCHEQUEÑA,LABOR MINERA,BOCAMINA,URUBAMBA,CUSCO,CANAS,LANGUI,-14.37986432,-71.31954637,10312408,MICHAEL TRES,"MELLONI RIGOBELLO, FABIA FRANCESCA",NO IDENTIFICADO,---,---,24,1
CHOCHEQUEÑA,RESIDUO MINERO,DESMONTE DE MINA,URUBAMBA,CUSCO,CANAS,LANGUI,-14.37989115,-71.31957446,10312408,MICHAEL TRES,"MELLONI RIGOBELLO, FABIA FRANCESCA",NO IDENTIFICADO,---,---,22,1
CHOCHEQUEÑA,LABOR MINERA,TRINCHERA,URUBAMBA,CUSCO,CANAS,LANGUI,-14.37966402,-71.31970188,10312408,MICHAEL TRES,"MELLONI RIGOBELLO, FABIA FRANCESCA",NO IDENTIFICADO,---,---,24,1
TACLLO,LABOR MINERA,BOCAMINA,URUBAMBA,CUSCO,CANAS,LAYO,-14.47392446,-71.13597468,10605495,ANTIMORO 4,CEMENTOS NORTE PACASMAYO S.A.;CEMENTOS PACASMAYO S.A.A.,NO IDENTIFICADO,---,---,33,2
