EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
AGRUPAMIENTO PAMPAMALI,LABOR MINERA,TAJEO COMUNICADO,MANTARO,HUANCAVELICA,ANGARAES,SECCLLA,-13.08989252,-74.57678329,010003105U;010075596,CORAZON DE JESUS UNO;CORAZON DE JESUS UNO,COMPAÑIA MINERA PAMPAMALI S.A.;GOLD HUNTER S.A.C.;S.M.R.L. DESIREE,IDENTIFICADO,---,---,24,1
AGRUPAMIENTO PAMPAMALI,LABOR MINERA,BOCAMINA,MANTARO,HUANCAVELICA,ANGARAES,SECCLLA,-13.08801191,-74.57691564,010003105U;010075596,CORAZON DE JESUS UNO;CORAZON DE JESUS UNO,COMPAÑIA MINERA PAMPAMALI S.A.;GOLD HUNTER S.A.C.;S.M.R.L. DESIREE,IDENTIFICADO,---,---,33,2
AGRUPAMIENTO PAMPAMALI,RESIDUO MINERO,DESMONTE DE MINA,MANTARO,HUANCAVELICA,ANGARAES,SECCLLA,-13.08949446,-74.57666404,010003105U;010075596,CORAZON DE JESUS UNO;CORAZON DE JESUS UNO,COMPAÑIA MINERA PAMPAMALI S.A.;GOLD HUNTER S.A.C.;S.M.R.L. DESIREE,IDENTIFICADO,---,---,37,2
AGRUPAMIENTO PAMPAMALI,RESIDUO MINERO,DESMONTE DE MINA,MANTARO,HUANCAVELICA,ANGARAES,SECCLLA,-13.08785825,-74.57695280,010003105U;010075596,CORAZON DE JESUS UNO;CORAZON DE JESUS UNO,COMPAÑIA MINERA PAMPAMALI S.A.;GOLD HUNTER S.A.C.;S.M.R.L. DESIREE,IDENTIFICADO,---,---,39,3
MINA ABANDONADA,LABOR MINERA,BOCAMINA,MANTARO,HUANCAVELICA,ANGARAES,SECCLLA,-13.07546930,-74.56556367,010042502;010312895;010001410U,CORAZON DE JESUS DOS;HUANCAVENTURA CATORCE;VIRGEN DEL CARMEN,AMERICAN GOLD S.A.C.;GOLD HUNTER S.A.C.;H&P CONTRATISTAS MINEROS S.A.C.;INVERSIONES MINERAS EL PUENTE S.A.,NO IDENTIFICADO,---,---,51,4
MINA ABANDONADA,RESIDUO MINERO,DESMONTE DE MINA,MANTARO,HUANCAVELICA,ANGARAES,SECCLLA,-13.07537915,-74.56572986,010042502;010312895;010001410U,CORAZON DE JESUS DOS;HUANCAVENTURA CATORCE;VIRGEN DEL CARMEN,AMERICAN GOLD S.A.C.;GOLD HUNTER S.A.C.;H&P CONTRATISTAS MINEROS S.A.C.;INVERSIONES MINERAS EL PUENTE S.A.,NO IDENTIFICADO,---,---,45,3
AGRUPAMIENTO PAMPAMALI,LABOR MINERA,BOCAMINA,MANTARO,HUANCAVELICA,ANGARAES,SECCLLA,-13.08787723,-74.57749702,010003105U;010075596,CORAZON DE JESUS UNO;CORAZON DE JESUS UNO,COMPAÑIA MINERA PAMPAMALI S.A.;GOLD HUNTER S.A.C.;S.M.R.L. DESIREE,IDENTIFICADO,---,---,33,2
AGRUPAMIENTO PAMPAMALI,LABOR MINERA,TRINCHERA,MANTARO,HUANCAVELICA,ANGARAES,SECCLLA,-13.09068851,-74.57693875,010003105U;010075596,CORAZON DE JESUS UNO;CORAZON DE JESUS UNO,COMPAÑIA MINERA PAMPAMALI S.A.;GOLD HUNTER S.A.C.;S.M.R.L. DESIREE,IDENTIFICADO,---,---,25,1
AGRUPAMIENTO PAMPAMALI,LABOR MINERA,BOCAMINA,MANTARO,HUANCAVELICA,ANGARAES,SECCLLA,-13.08998366,-74.57721669,010003105U;010075596,CORAZON DE JESUS UNO;CORAZON DE JESUS UNO,COMPAÑIA MINERA PAMPAMALI S.A.;GOLD HUNTER S.A.C.;S.M.R.L. DESIREE,IDENTIFICADO,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,"PLAN DE CIERRE DE PAMS ""LIRCAY""",41,3
AGRUPAMIENTO PAMPAMALI,LABOR MINERA,BOCAMINA,MANTARO,HUANCAVELICA,ANGARAES,SECCLLA,-13.08960298,-74.57667308,010003105U;010075596,CORAZON DE JESUS UNO;CORAZON DE JESUS UNO,COMPAÑIA MINERA PAMPAMALI S.A.;GOLD HUNTER S.A.C.;S.M.R.L. DESIREE,IDENTIFICADO,---,---,31,2
