EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
VOY,LABOR MINERA,TAJO,ALTO HUALLAGA,HUANUCO,AMBO,AMBO,-10.09482187,-76.22527325,010226012;010196905;010081608;010309296;07002571X01;07002377X01,AFARAH-2012;ALEX 2005;CENTURIA 80;MILKA Nº 14;MILKA Nº 9;SAMI 1,"FARAH ODE, STEPHANIE;MAZA GAMBINI, LUIS ALBERTO;S.M.R.L. SAMI 1 DE HUANUCO;S.M.R.L. VIRGEN DEL ROSARIO DE LIMA;SUAREZ ORBEZO, AUGURIO ENRIQUE",NO IDENTIFICADO,---,---,24,1
ALICIA,RESIDUO MINERO,DESMONTE DE MINA,ALTO HUALLAGA,HUANUCO,AMBO,AMBO,-10.15651744,-76.20869562,---,---,---,NO IDENTIFICADO,---,---,18,1
ALICIA,LABOR MINERA,TAJO,ALTO HUALLAGA,HUANUCO,AMBO,AMBO,-10.15651744,-76.20869562,---,---,---,NO IDENTIFICADO,---,---,22,1
RIO ALIA,LABOR MINERA,TAJO,ALTO HUALLAGA,HUANUCO,AMBO,AMBO,-10.16704279,-76.18149021,10418706,CMSM 025,CORPORACION MINERA SAN MANUEL S.A.,NO IDENTIFICADO,---,---,18,1
AMBO (SECTOR ACEJAR - VICHAYCOCHA),LABOR MINERA,BOCAMINA,ALTO HUALLAGA,HUANUCO,AMBO,CAYNA,-10.20312604,-76.42117724,010322506;010333394;010005810U;010212793,AMBO 3;BELLO HORIZONTE 94-10;RONDONI;SAN MIGUEL G.E.M.,"COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA VICHAYCOCHA S.A.C.;ESPINOZA MARTEL, GREGORIO",NO IDENTIFICADO,---,---,41,3
AMBO (SECTOR ACEJAR - VICHAYCOCHA),LABOR MINERA,BOCAMINA,ALTO HUALLAGA,HUANUCO,AMBO,CAYNA,-10.20241107,-76.42132924,010322506;010333394;010005810U;010212793,AMBO 3;BELLO HORIZONTE 94-10;RONDONI;SAN MIGUEL G.E.M.,"COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA VICHAYCOCHA S.A.C.;ESPINOZA MARTEL, GREGORIO",NO IDENTIFICADO,---,---,39,3
AMBO (SECTOR ACEJAR - VICHAYCOCHA),LABOR MINERA,BOCAMINA,ALTO HUALLAGA,HUANUCO,AMBO,CAYNA,-10.20245612,-76.42136595,010322506;010333394;010005810U;010212793,AMBO 3;BELLO HORIZONTE 94-10;RONDONI;SAN MIGUEL G.E.M.,"COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA VICHAYCOCHA S.A.C.;ESPINOZA MARTEL, GREGORIO",NO IDENTIFICADO,---,---,43,3
AMBO (SECTOR ACEJAR - VICHAYCOCHA),LABOR MINERA,BOCAMINA,ALTO HUALLAGA,HUANUCO,AMBO,CAYNA,-10.20222866,-76.41961246,010322506;010333394;010005810U;010212793,AMBO 3;BELLO HORIZONTE 94-10;RONDONI;SAN MIGUEL G.E.M.,"COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA VICHAYCOCHA S.A.C.;ESPINOZA MARTEL, GREGORIO",NO IDENTIFICADO,---,---,35,2
AMBO (SECTOR ACEJAR - VICHAYCOCHA),LABOR MINERA,TRINCHERA,ALTO HUALLAGA,HUANUCO,AMBO,CAYNA,-10.20028601,-76.41722158,010322506;010333394;010005810U;010212793,AMBO 3;BELLO HORIZONTE 94-10;RONDONI;SAN MIGUEL G.E.M.,"COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA VICHAYCOCHA S.A.C.;ESPINOZA MARTEL, GREGORIO",NO IDENTIFICADO,---,---,39,3
AMBO (SECTOR ACEJAR - VICHAYCOCHA),LABOR MINERA,MEDIA BARRETA,ALTO HUALLAGA,HUANUCO,AMBO,CAYNA,-10.19898935,-76.41598364,010019705;010322506;010333394;010231693;010005810U;010212793,AMBO 1;AMBO 3;BELLO HORIZONTE 94-10;PORVENIR 60;RONDONI;SAN MIGUEL G.E.M.,"COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA VICHAYCOCHA S.A.C.;ESPINOZA MARTEL, GREGORIO",NO IDENTIFICADO,---,---,37,2
