EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
SANTA ELENA - CARLOS 2008,LABOR MINERA,BOCAMINA,ICA,ICA,ICA,YAUCA DEL ROSARIO,-14.07119400,-75.50309062,010099204;610001408,BUENA FORTUNA IV;CARLOS 2008,"BERROCAL HUAMANI, JOSE LUIS;EREP S.A.C.;LOPEZ GUTIERREZ, FORTUNATO;LOPEZ GUTIERREZ, GAVINO;LUQUE LANZA, JUAN LUIS;PACHECO ZEVILORA, DANISA;PACHECO ZEVILORA, LISSET;S.M.R.L. BUENA FORTUNA IV;WATANABE UYEKI, LUIS",NO IDENTIFICADO,---,---,20,1
SANTA ELENA - CARLOS 2008,LABOR MINERA,MEDIA BARRETA,ICA,ICA,ICA,YAUCA DEL ROSARIO,-14.07107731,-75.50268281,010099204;610001408,BUENA FORTUNA IV;CARLOS 2008,"BERROCAL HUAMANI, JOSE LUIS;EREP S.A.C.;LOPEZ GUTIERREZ, FORTUNATO;LOPEZ GUTIERREZ, GAVINO;LUQUE LANZA, JUAN LUIS;PACHECO ZEVILORA, DANISA;PACHECO ZEVILORA, LISSET;S.M.R.L. BUENA FORTUNA IV;WATANABE UYEKI, LUIS",NO IDENTIFICADO,---,---,18,1
SANTA ELENA - CARLOS 2008,LABOR MINERA,MEDIA BARRETA,ICA,ICA,ICA,YAUCA DEL ROSARIO,-14.07099796,-75.50171006,010099204;610001408,BUENA FORTUNA IV;CARLOS 2008,"BERROCAL HUAMANI, JOSE LUIS;EREP S.A.C.;LOPEZ GUTIERREZ, FORTUNATO;LOPEZ GUTIERREZ, GAVINO;LUQUE LANZA, JUAN LUIS;PACHECO ZEVILORA, DANISA;PACHECO ZEVILORA, LISSET;S.M.R.L. BUENA FORTUNA IV;WATANABE UYEKI, LUIS",NO IDENTIFICADO,---,---,20,1
SANTA ELENA - CARLOS 2008,LABOR MINERA,MEDIA BARRETA,ICA,ICA,ICA,YAUCA DEL ROSARIO,-14.07089921,-75.50136713,010099204;610001408,BUENA FORTUNA IV;CARLOS 2008,"BERROCAL HUAMANI, JOSE LUIS;EREP S.A.C.;LOPEZ GUTIERREZ, FORTUNATO;LOPEZ GUTIERREZ, GAVINO;LUQUE LANZA, JUAN LUIS;PACHECO ZEVILORA, DANISA;PACHECO ZEVILORA, LISSET;S.M.R.L. BUENA FORTUNA IV;WATANABE UYEKI, LUIS",NO IDENTIFICADO,---,---,25,1
SANTA ELENA - CARLOS 2008,LABOR MINERA,TAJEO COMUNICADO,ICA,ICA,ICA,YAUCA DEL ROSARIO,-14.07625437,-75.50450037,010099204;610001408,BUENA FORTUNA IV;CARLOS 2008,"BERROCAL HUAMANI, JOSE LUIS;EREP S.A.C.;LOPEZ GUTIERREZ, FORTUNATO;LOPEZ GUTIERREZ, GAVINO;LUQUE LANZA, JUAN LUIS;PACHECO ZEVILORA, DANISA;PACHECO ZEVILORA, LISSET;S.M.R.L. BUENA FORTUNA IV;WATANABE UYEKI, LUIS",NO IDENTIFICADO,---,---,24,1
SANTA ELENA - CARLOS 2008,LABOR MINERA,MEDIA BARRETA,ICA,ICA,ICA,YAUCA DEL ROSARIO,-14.07862249,-75.50487608,010099204;610001408,BUENA FORTUNA IV;CARLOS 2008,"BERROCAL HUAMANI, JOSE LUIS;EREP S.A.C.;LOPEZ GUTIERREZ, FORTUNATO;LOPEZ GUTIERREZ, GAVINO;LUQUE LANZA, JUAN LUIS;PACHECO ZEVILORA, DANISA;PACHECO ZEVILORA, LISSET;S.M.R.L. BUENA FORTUNA IV;WATANABE UYEKI, LUIS",NO IDENTIFICADO,---,---,22,1
SANTA ELENA - CARLOS 2008,LABOR MINERA,MEDIA BARRETA,ICA,ICA,ICA,YAUCA DEL ROSARIO,-14.07862249,-75.50487608,010099204;610001408,BUENA FORTUNA IV;CARLOS 2008,"BERROCAL HUAMANI, JOSE LUIS;EREP S.A.C.;LOPEZ GUTIERREZ, FORTUNATO;LOPEZ GUTIERREZ, GAVINO;LUQUE LANZA, JUAN LUIS;PACHECO ZEVILORA, DANISA;PACHECO ZEVILORA, LISSET;S.M.R.L. BUENA FORTUNA IV;WATANABE UYEKI, LUIS",NO IDENTIFICADO,---,---,24,1
SANTA ELENA - CARLOS 2008,LABOR MINERA,MEDIA BARRETA,ICA,ICA,ICA,YAUCA DEL ROSARIO,-14.07864139,-75.50448708,010099204;610001408,BUENA FORTUNA IV;CARLOS 2008,"BERROCAL HUAMANI, JOSE LUIS;EREP S.A.C.;LOPEZ GUTIERREZ, FORTUNATO;LOPEZ GUTIERREZ, GAVINO;LUQUE LANZA, JUAN LUIS;PACHECO ZEVILORA, DANISA;PACHECO ZEVILORA, LISSET;S.M.R.L. BUENA FORTUNA IV;WATANABE UYEKI, LUIS",NO IDENTIFICADO,---,---,20,1
SANTA ELENA - CARLOS 2008,LABOR MINERA,MEDIA BARRETA,ICA,ICA,ICA,YAUCA DEL ROSARIO,-14.07865070,-75.50435742,010099204;610001408,BUENA FORTUNA IV;CARLOS 2008,"BERROCAL HUAMANI, JOSE LUIS;EREP S.A.C.;LOPEZ GUTIERREZ, FORTUNATO;LOPEZ GUTIERREZ, GAVINO;LUQUE LANZA, JUAN LUIS;PACHECO ZEVILORA, DANISA;PACHECO ZEVILORA, LISSET;S.M.R.L. BUENA FORTUNA IV;WATANABE UYEKI, LUIS",NO IDENTIFICADO,---,---,18,1
SANTA ELENA - CARLOS 2008,LABOR MINERA,MEDIA BARRETA,ICA,ICA,ICA,YAUCA DEL ROSARIO,-14.07865134,-75.50405175,010099204;610001408,BUENA FORTUNA IV;CARLOS 2008,"BERROCAL HUAMANI, JOSE LUIS;EREP S.A.C.;LOPEZ GUTIERREZ, FORTUNATO;LOPEZ GUTIERREZ, GAVINO;LUQUE LANZA, JUAN LUIS;PACHECO ZEVILORA, DANISA;PACHECO ZEVILORA, LISSET;S.M.R.L. BUENA FORTUNA IV;WATANABE UYEKI, LUIS",NO IDENTIFICADO,---,---,16,1
