EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
PROSPECTO JAGUAY,LABOR MINERA,BOCAMINA,CHICAMA,LA LIBERTAD,ASCOPE,CHICAMA,-7.65015145,-78.93411198,010166609;030004198;030023295,BLACK STAR 7;FRANCISCA VICTORIA VII;KRIPTOM IV,"CABANILLAS CHUSHO, JORGE LUIS;CALCAREOS INDUSTRIALES PERU E.I.R.L.;CONTRERAS MARCELO, ADELMAR ARQUIMEDES;JUNEFIELD GROUP S.A.;S.M.R.L. KRIPTOM IV;VEREAU CORTEZ, JORGE OLIVERIO",NO IDENTIFICADO,---,---,29,2
CHICAMA,LABOR MINERA,BOCAMINA,CHICAMA,LA LIBERTAD,GRAN CHIMU,CASCAS,-7.55425494,-78.74417618,30029315,MONTE CALVARIO 2015,CONTRATISTAS DALK E.I.R.L.,NO IDENTIFICADO,---,---,35,2
RABINES,RESIDUO MINERO,DESMONTE DE MINA,CHICAMA,LA LIBERTAD,GRAN CHIMU,CASCAS,-7.60062952,-78.70717359,010000410U;030015804;15003864X01;010001776U;010314895,BUMERANG;BUMERANG;LA VIRGEN;ROSICLER;SAN JUANILLO UNO,"BANCO MINERO DEL PERU EN LIQUIDACION;COMPAÑIA MINERA RIO CHICAMA S.A.C.;COMPAÑIA MINERA ROSICLER S.A.;GONZALES ORBEGOSO CONTAVALLI, SEBASTIAN RAFAEL;MINERA SERENA S.R.L.;RABINES LLONTOP, JUAN EDUARDO;RABINES LLONTOP, MARIA SUSANA DEL CARMEN;RABINES RAVINES, JOSE;S.M.R.L. LA VIRGEN DE TRUJILLO",NO IDENTIFICADO,---,---,29,2
RABINES,LABOR MINERA,BOCAMINA,CHICAMA,LA LIBERTAD,GRAN CHIMU,CASCAS,-7.60039490,-78.70724731,010000410U;030015804;15003864X01;010001776U;010314895,BUMERANG;BUMERANG;LA VIRGEN;ROSICLER;SAN JUANILLO UNO,"BANCO MINERO DEL PERU EN LIQUIDACION;COMPAÑIA MINERA RIO CHICAMA S.A.C.;COMPAÑIA MINERA ROSICLER S.A.;GONZALES ORBEGOSO CONTAVALLI, SEBASTIAN RAFAEL;MINERA SERENA S.R.L.;RABINES LLONTOP, JUAN EDUARDO;RABINES LLONTOP, MARIA SUSANA DEL CARMEN;RABINES RAVINES, JOSE;S.M.R.L. LA VIRGEN DE TRUJILLO",NO IDENTIFICADO,---,---,31,2
RABINES,RESIDUO MINERO,RELAVES,CHICAMA,LA LIBERTAD,GRAN CHIMU,CASCAS,-7.59855027,-78.69856976,010000410U;030015804,BUMERANG;BUMERANG,"COMPAÑIA MINERA RIO CHICAMA S.A.C.;RABINES LLONTOP, JUAN EDUARDO;RABINES LLONTOP, MARIA SUSANA DEL CARMEN",NO IDENTIFICADO,---,---,47,3
RABINES,LABOR MINERA,BOCAMINA,CHICAMA,LA LIBERTAD,GRAN CHIMU,CASCAS,-7.59821653,-78.70552865,010000410U;030015804;010314895,BUMERANG;BUMERANG;SAN JUANILLO UNO,"COMPAÑIA MINERA RIO CHICAMA S.A.C.;MINERA SERENA S.R.L.;RABINES LLONTOP, JUAN EDUARDO;RABINES LLONTOP, MARIA SUSANA DEL CARMEN",NO IDENTIFICADO,---,---,35,2
RABINES,LABOR MINERA,BOCAMINA,CHICAMA,LA LIBERTAD,GRAN CHIMU,CASCAS,-7.59864206,-78.70566227,010000410U;030015804;010314895,BUMERANG;BUMERANG;SAN JUANILLO UNO,"COMPAÑIA MINERA RIO CHICAMA S.A.C.;MINERA SERENA S.R.L.;RABINES LLONTOP, JUAN EDUARDO;RABINES LLONTOP, MARIA SUSANA DEL CARMEN",NO IDENTIFICADO,---,---,37,2
RABINES,LABOR MINERA,BOCAMINA,CHICAMA,LA LIBERTAD,GRAN CHIMU,CASCAS,-7.59909671,-78.70617620,010000410U;030015804;010314895,BUMERANG;BUMERANG;SAN JUANILLO UNO,"COMPAÑIA MINERA RIO CHICAMA S.A.C.;MINERA SERENA S.R.L.;RABINES LLONTOP, JUAN EDUARDO;RABINES LLONTOP, MARIA SUSANA DEL CARMEN",NO IDENTIFICADO,---,---,39,3
RABINES,LABOR MINERA,BOCAMINA,CHICAMA,LA LIBERTAD,GRAN CHIMU,CASCAS,-7.59871465,-78.70571624,010000410U;030015804;010314895,BUMERANG;BUMERANG;SAN JUANILLO UNO,"COMPAÑIA MINERA RIO CHICAMA S.A.C.;MINERA SERENA S.R.L.;RABINES LLONTOP, JUAN EDUARDO;RABINES LLONTOP, MARIA SUSANA DEL CARMEN",NO IDENTIFICADO,---,---,41,3
RABINES,LABOR MINERA,CHIMENEA,CHICAMA,LA LIBERTAD,GRAN CHIMU,CASCAS,-7.59850514,-78.70540935,010000410U;030015804;010314895,BUMERANG;BUMERANG;SAN JUANILLO UNO,"COMPAÑIA MINERA RIO CHICAMA S.A.C.;MINERA SERENA S.R.L.;RABINES LLONTOP, JUAN EDUARDO;RABINES LLONTOP, MARIA SUSANA DEL CARMEN",NO IDENTIFICADO,---,---,39,3
RABINES,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",CHICAMA,LA LIBERTAD,GRAN CHIMU,CASCAS,-7.60018310,-78.69797224,010000410U;030015804,BUMERANG;BUMERANG,"COMPAÑIA MINERA RIO CHICAMA S.A.C.;RABINES LLONTOP, JUAN EDUARDO;RABINES LLONTOP, MARIA SUSANA DEL CARMEN",NO IDENTIFICADO,---,---,33,2
