EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
OYO OYO,RESIDUO MINERO,RELAVES,TAMBO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.16154844,-70.57935100,50024307,CHOQUE I,LADRILLERA CHOQUE E.I.R.L.,NO IDENTIFICADO,---,---,41,3
COBREMINA,LABOR MINERA,BOCAMINA,TAMBO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.20939309,-70.44199089,80010307,ASCENCIA 2,"CORONEL ARCE, CAROLINA VIRGINIA GLADYS",NO IDENTIFICADO,---,---,27,2
HUANCUNE,LABOR MINERA,BOCAMINA,TAMBO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.12676144,-70.42024205,010385205;010385305;010534995,PICHA II;PICHA 1;PICHA 2,MAXY GOLD PERU S.A.C.;MINERA DEL SUROESTE S.A.;MINERA DEL SUROESTE S.A.C.,NO IDENTIFICADO,---,---,31,2
ICHUÑA,LABOR MINERA,BOCAMINA,TAMBO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.13699018,-70.53406114,010474206;010082410;01003707X01;010032099,HATUM 43;MINAPATA 30;SAN IGNACIO DE VELA VELA Nº 1;VIRGEN DE ANDACOLLO 1,"HARMSEN DIAZ, GUILLERMO RAUL;HATUM MINAS S.A.C.;MINERA GOLD FIELDS PERU S.A.;POSTIGO SALAZAR, SIXTO DANIEL;ROQUE PARI, MARTIN;ROQUE RODRIGUEZ, RICARDO;S.M.R.L. SAN IGNACIO DE VELA-VELA Nº 1 DE AREQUIPA;S.M.R.L. VIRGEN DE ANDACOLLO 2",NO IDENTIFICADO,---,---,37,2
SAYHUANE,LABOR MINERA,BOCAMINA,TAMBO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.14541279,-70.54661822,010474106;050002202,HATUM 42;SAYHUANI UNO,"HATUM MINAS S.A.C.;LA ARENA S.A.;MAMANI , EDWIN;MAMANI CHAMBILLA, WIGBERTO;S.M.R.L. SAYHUANI UNO",NO IDENTIFICADO,---,---,33,2
COBREMINA,RESIDUO MINERO,DESMONTE DE MINA,TAMBO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.20512752,-70.44195052,80010307,ASCENCIA 2,"CORONEL ARCE, CAROLINA VIRGINIA GLADYS",NO IDENTIFICADO,---,---,20,1
HUANCUNE,RESIDUO MINERO,DESMONTE DE MINA,TAMBO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.12897364,-70.42191278,010385305;010534995,PICHA II;PICHA 2,MAXY GOLD PERU S.A.C.;MINERA DEL SUROESTE S.A.;MINERA DEL SUROESTE S.A.C.,NO IDENTIFICADO,---,---,25,1
HUANCUNE,RESIDUO MINERO,DESMONTE DE MINA,TAMBO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.12914411,-70.42210100,010385305;010534995,PICHA II;PICHA 2,MAXY GOLD PERU S.A.C.;MINERA DEL SUROESTE S.A.;MINERA DEL SUROESTE S.A.C.,NO IDENTIFICADO,---,---,24,1
HUANCUNE,LABOR MINERA,BOCAMINA,TAMBO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.12917166,-70.42203575,010385305;010534995,PICHA II;PICHA 2,MAXY GOLD PERU S.A.C.;MINERA DEL SUROESTE S.A.;MINERA DEL SUROESTE S.A.C.,NO IDENTIFICADO,---,---,31,2
HUANCUNE,LABOR MINERA,BOCAMINA,TAMBO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.12925250,-70.42211112,010385305;010534995,PICHA II;PICHA 2,MAXY GOLD PERU S.A.C.;MINERA DEL SUROESTE S.A.;MINERA DEL SUROESTE S.A.C.,NO IDENTIFICADO,---,---,33,2
