EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
HUISLAMACHAY,LABOR MINERA,BOCAMINA,ALTO HUALLAGA,PASCO,DANIEL ALCIDES CARRION,CHACAYAN,-10.54993593,-76.36680239,010229499;04013254X01;010369304;010370004;010084894,AAEP 28;EL HERCAL-85;PDP 10;PDP 11;RETAZO 256,"CALIENES ZAMUDIO, LUIS EDGARD;CHANCADORA CENTAURO S.A.C.;COMPAÑIA MINERA AGREGADOS CALCAREOS S.A.;PLACER DOME DEL PERU S.A.C.;RIO TINTO FINANCE AND EXPLORATION LIMITED SUCURSAL",NO IDENTIFICADO,---,---,43,3
SANSÓN DORMIDO,RESIDUO MINERO,MATERIAL DE DESBROCE,ALTO HUALLAGA,PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,-10.47869762,-76.39331131,010364014;04000014Y01;010377804;690000815,GOYLLARI DOS;GOYLLARISQUIZGA-2;MACHIN-15;VIRGENCITA DE CHAPI N° 32,"COMPAÑIA MINERA VICHAYCOCHA S.A.C.;EMPRESA MINERA DEL CENTRO DEL PERU S.A.;QUISPE HUERTAS, JAVIER ANGEL;SANCHEZ ARIAS, ROGER RAFAEL",NO IDENTIFICADO,---,---,35,2
ASALIA,LABOR MINERA,BOCAMINA,ALTO HUALLAGA,PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,-10.47223407,-76.41759167,010136102;010264714;04000013Y01;010377704,GOYLLAR MINING COMPANY;GOYLLARISQUIZGA 2014;GOYLLARISQUIZGA-1;MACHIN-16,"COMPAÑIA MINERA VICHAYCOCHA S.A.C.;EMPRESA MINERA DEL CENTRO DEL PERU S.A.;MARTINEZ ILDEFONSO, JESUS FERNANDO;TUCTO ESPINOZA, JAVIER ESTEBAN",NO IDENTIFICADO,---,---,29,2
SANSÓN DORMIDO,LABOR MINERA,BOCAMINA,ALTO HUALLAGA,PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,-10.47862669,-76.39299124,010364014;04000014Y01;010377804;690000815,GOYLLARI DOS;GOYLLARISQUIZGA-2;MACHIN-15;VIRGENCITA DE CHAPI N° 32,"COMPAÑIA MINERA VICHAYCOCHA S.A.C.;EMPRESA MINERA DEL CENTRO DEL PERU S.A.;QUISPE HUERTAS, JAVIER ANGEL;SANCHEZ ARIAS, ROGER RAFAEL",NO IDENTIFICADO,---,---,29,2
LLAMAISHPANAN,LABOR MINERA,BOCAMINA,ALTO HUALLAGA,PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,-10.48176820,-76.40236936,010136102;010364014;04000014Y01;010377804;690000815,GOYLLAR MINING COMPANY;GOYLLARI DOS;GOYLLARISQUIZGA-2;MACHIN-15;VIRGENCITA DE CHAPI N° 32,"COMPAÑIA MINERA VICHAYCOCHA S.A.C.;EMPRESA MINERA DEL CENTRO DEL PERU S.A.;QUISPE HUERTAS, JAVIER ANGEL;SANCHEZ ARIAS, ROGER RAFAEL;TUCTO ESPINOZA, JAVIER ESTEBAN",NO IDENTIFICADO,---,---,25,1
POLVORINES GOYLLARISQUIZGA,LABOR MINERA,BOCAMINA,ALTO HUALLAGA,PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,-10.47712928,-76.40453188,010136102;010364014;04000014Y01;010377804;690000815,GOYLLAR MINING COMPANY;GOYLLARI DOS;GOYLLARISQUIZGA-2;MACHIN-15;VIRGENCITA DE CHAPI N° 32,"COMPAÑIA MINERA VICHAYCOCHA S.A.C.;EMPRESA MINERA DEL CENTRO DEL PERU S.A.;QUISPE HUERTAS, JAVIER ANGEL;SANCHEZ ARIAS, ROGER RAFAEL;TUCTO ESPINOZA, JAVIER ESTEBAN",NO IDENTIFICADO,---,---,20,1
POLVORINES GOYLLARISQUIZGA,LABOR MINERA,BOCAMINA,ALTO HUALLAGA,PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,-10.47712928,-76.40453188,010136102;010364014;04000014Y01;010377804;690000815,GOYLLAR MINING COMPANY;GOYLLARI DOS;GOYLLARISQUIZGA-2;MACHIN-15;VIRGENCITA DE CHAPI N° 32,"COMPAÑIA MINERA VICHAYCOCHA S.A.C.;EMPRESA MINERA DEL CENTRO DEL PERU S.A.;QUISPE HUERTAS, JAVIER ANGEL;SANCHEZ ARIAS, ROGER RAFAEL;TUCTO ESPINOZA, JAVIER ESTEBAN",NO IDENTIFICADO,---,---,20,1
LLAMAISHPANAN,LABOR MINERA,BOCAMINA,ALTO HUALLAGA,PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,-10.47673313,-76.40004456,010364014;04000014Y01;010377804;690000815,GOYLLARI DOS;GOYLLARISQUIZGA-2;MACHIN-15;VIRGENCITA DE CHAPI N° 32,"COMPAÑIA MINERA VICHAYCOCHA S.A.C.;EMPRESA MINERA DEL CENTRO DEL PERU S.A.;QUISPE HUERTAS, JAVIER ANGEL;SANCHEZ ARIAS, ROGER RAFAEL",NO IDENTIFICADO,---,---,20,1
COLQUIPUCRO,LABOR MINERA,CHIMENEA,ALTO HUALLAGA,PASCO,DANIEL ALCIDES CARRION,SAN PEDRO DE PILLAO,-10.42156438,-76.53134064,010213016;04001400Y01;010352205,AZUL HUANCA;DESCUBRIDORA;TK COL 22,COMPAÑIA MINERA COLQUIPUCRO S.A.;COPLEX S A C;TINKA RESOURCES S.A.;TINKA RESOURCES S.A.C.,NO IDENTIFICADO,---,---,31,2
COLQUIPUCRO,LABOR MINERA,CHIMENEA,ALTO HUALLAGA,PASCO,DANIEL ALCIDES CARRION,SAN PEDRO DE PILLAO,-10.42150017,-76.53153212,010213016;04011417X01;010061406,AZUL HUANCA;GRAN BRETAÑA Nº 73;TK COL 29 A,"BARREDA MOLLER, ALFONSO;COMPAÑIA MINERA COLQUIPUCRO S.A.;COPLEX S A C;TINKA RESOURCES S.A.;TINKA RESOURCES S.A.C.",NO IDENTIFICADO,---,---,31,2
