EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
TURMALINA,RESIDUO MINERO,RELAVES,PIURA-CASCAJAL,PIURA,HUANCABAMBA,CANCHAQUE,-5.36555914,-79.56922296,700000209,CANCHAQUE I 2009,CASABLANCA DEL NORTE S.R.L.,NO IDENTIFICADO,---,---,37,2
TURMALINA,RESIDUO MINERO,RELAVES,PIURA-CASCAJAL,PIURA,HUANCABAMBA,CANCHAQUE,-5.36439627,-79.57083180,700000209,CANCHAQUE I 2009,CASABLANCA DEL NORTE S.R.L.,NO IDENTIFICADO,---,---,37,2
TURMALINA,RESIDUO MINERO,RELAVES,PIURA-CASCAJAL,PIURA,HUANCABAMBA,CANCHAQUE,-5.36264061,-79.57033059,700000209,CANCHAQUE I 2009,CASABLANCA DEL NORTE S.R.L.,NO IDENTIFICADO,---,---,33,2
TURMALINA,LABOR MINERA,BOCAMINA,PIURA-CASCAJAL,PIURA,HUANCABAMBA,CANCHAQUE,-5.36255020,-79.56647789,700000209,CANCHAQUE I 2009,CASABLANCA DEL NORTE S.R.L.,NO IDENTIFICADO,---,---,47,3
TURMALINA,INFRAESTRUCTURA,PLANTAS DE PROCESAMIENTO,PIURA-CASCAJAL,PIURA,HUANCABAMBA,CANCHAQUE,-5.36485519,-79.56598526,700000209,CANCHAQUE I 2009,CASABLANCA DEL NORTE S.R.L.,NO IDENTIFICADO,---,---,18,1
TURMALINA,LABOR MINERA,BOCAMINA,PIURA-CASCAJAL,PIURA,HUANCABAMBA,CANCHAQUE,-5.36466525,-79.56597668,700000209,CANCHAQUE I 2009,CASABLANCA DEL NORTE S.R.L.,NO IDENTIFICADO,---,---,33,2
TURMALINA,LABOR MINERA,TAJEO COMUNICADO,PIURA-CASCAJAL,PIURA,HUANCABAMBA,CANCHAQUE,-5.36455652,-79.56588670,700000209,CANCHAQUE I 2009,CASABLANCA DEL NORTE S.R.L.,NO IDENTIFICADO,---,---,29,2
TURMALINA,LABOR MINERA,BOCAMINA,PIURA-CASCAJAL,PIURA,HUANCABAMBA,CANCHAQUE,-5.36449397,-79.56621168,700000209,CANCHAQUE I 2009,CASABLANCA DEL NORTE S.R.L.,NO IDENTIFICADO,---,---,29,2
TURMALINA,RESIDUO MINERO,RELAVES,PIURA-CASCAJAL,PIURA,HUANCABAMBA,CANCHAQUE,-5.36482850,-79.56617481,700000209,CANCHAQUE I 2009,CASABLANCA DEL NORTE S.R.L.,NO IDENTIFICADO,---,---,41,3
BAYOVAR,INFRAESTRUCTURA,PLANTAS DE PROCESAMIENTO,PIURA-CASCAJAL,PIURA,SECHURA,SECHURA,-5.83089119,-81.01877997,P0101270;12000438Y01,BAYOVAR;BAYOVAR Nº 2,COMPAÑIA MINERA MISKI MAYO S.A.C.;EMPRESA MINERA REGIONAL GRAU BAYOVAR S.A.,NO IDENTIFICADO,---,---,39,3
BAYOVAR,INFRAESTRUCTURA,NO DETERMINADO,PIURA-CASCAJAL,PIURA,SECHURA,SECHURA,-5.83012225,-81.01866251,P0101270,BAYOVAR,COMPAÑIA MINERA MISKI MAYO S.A.C.;EMPRESA MINERA REGIONAL GRAU BAYOVAR S.A.,NO IDENTIFICADO,---,---,20,1
BAYOVAR,INFRAESTRUCTURA,NO DETERMINADO,PIURA-CASCAJAL,PIURA,SECHURA,SECHURA,-5.83194058,-81.01836448,P0101270;010466708,BAYOVAR;BAYOVAR 39,COMPAÑIA MINERA MISKI MAYO S.A.C.;EMPRESA MINERA REGIONAL GRAU BAYOVAR S.A.,NO IDENTIFICADO,---,---,25,1
