EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
LA CCERA,LABOR MINERA,BOCAMINA,RAMIS,PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.05246419,-70.21089592,010002304;010137199;010383895,MINAS CCERA 1;PUPUJA-3;TINTAYA 5,"BELLIDO APARICIO, CARMEN MARIA MILAGROS;COMPAÑIA MINERA SOLIMANA S.A.;CORPORACION MINERA VULCAN S.A.;MACMILLAN GOLD CORP, SUCURSAL DEL PERU;NEWCREST RESOURCES INC., SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,29,2
LA CCERA,LABOR MINERA,BOCAMINA,RAMIS,PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.05304453,-70.21394101,010002304;010137199;010383895,MINAS CCERA 1;PUPUJA-3;TINTAYA 5,"BELLIDO APARICIO, CARMEN MARIA MILAGROS;COMPAÑIA MINERA SOLIMANA S.A.;CORPORACION MINERA VULCAN S.A.;MACMILLAN GOLD CORP, SUCURSAL DEL PERU;NEWCREST RESOURCES INC., SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,29,2
LA CCERA,LABOR MINERA,BOCAMINA,RAMIS,PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.05078824,-70.21833740,010002304;010137199;010383895,MINAS CCERA 1;PUPUJA-3;TINTAYA 5,"BELLIDO APARICIO, CARMEN MARIA MILAGROS;COMPAÑIA MINERA SOLIMANA S.A.;CORPORACION MINERA VULCAN S.A.;MACMILLAN GOLD CORP, SUCURSAL DEL PERU;NEWCREST RESOURCES INC., SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,29,2
LA CCERA,LABOR MINERA,BOCAMINA,RAMIS,PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.05070661,-70.21501611,010002304;010137199;010383895,MINAS CCERA 1;PUPUJA-3;TINTAYA 5,"BELLIDO APARICIO, CARMEN MARIA MILAGROS;COMPAÑIA MINERA SOLIMANA S.A.;CORPORACION MINERA VULCAN S.A.;MACMILLAN GOLD CORP, SUCURSAL DEL PERU;NEWCREST RESOURCES INC., SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,29,2
LA CCERA,RESIDUO MINERO,DESMONTE DE MINA,RAMIS,PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.05256997,-70.20970584,010002304;010137199;010383895,MINAS CCERA 1;PUPUJA-3;TINTAYA 5,"BELLIDO APARICIO, CARMEN MARIA MILAGROS;COMPAÑIA MINERA SOLIMANA S.A.;CORPORACION MINERA VULCAN S.A.;MACMILLAN GOLD CORP, SUCURSAL DEL PERU;NEWCREST RESOURCES INC., SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,24,1
LA CCERA,LABOR MINERA,BOCAMINA,RAMIS,PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.05352882,-70.20958103,010002304;010137199;010383895,MINAS CCERA 1;PUPUJA-3;TINTAYA 5,"BELLIDO APARICIO, CARMEN MARIA MILAGROS;COMPAÑIA MINERA SOLIMANA S.A.;CORPORACION MINERA VULCAN S.A.;MACMILLAN GOLD CORP, SUCURSAL DEL PERU;NEWCREST RESOURCES INC., SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,31,2
LA CCERA,LABOR MINERA,BOCAMINA,RAMIS,PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.05360049,-70.20970236,010002304;010137199;010383895,MINAS CCERA 1;PUPUJA-3;TINTAYA 5,"BELLIDO APARICIO, CARMEN MARIA MILAGROS;COMPAÑIA MINERA SOLIMANA S.A.;CORPORACION MINERA VULCAN S.A.;MACMILLAN GOLD CORP, SUCURSAL DEL PERU;NEWCREST RESOURCES INC., SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,31,2
LA CCERA,RESIDUO MINERO,DESMONTE DE MINA,RAMIS,PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.05358256,-70.20967435,010002304;010137199;010383895,MINAS CCERA 1;PUPUJA-3;TINTAYA 5,"BELLIDO APARICIO, CARMEN MARIA MILAGROS;COMPAÑIA MINERA SOLIMANA S.A.;CORPORACION MINERA VULCAN S.A.;MACMILLAN GOLD CORP, SUCURSAL DEL PERU;NEWCREST RESOURCES INC., SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,24,1
LA CCERA,LABOR MINERA,BOCAMINA,RAMIS,PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.05356225,-70.21009283,010002304;010137199;010383895,MINAS CCERA 1;PUPUJA-3;TINTAYA 5,"BELLIDO APARICIO, CARMEN MARIA MILAGROS;COMPAÑIA MINERA SOLIMANA S.A.;CORPORACION MINERA VULCAN S.A.;MACMILLAN GOLD CORP, SUCURSAL DEL PERU;NEWCREST RESOURCES INC., SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,37,2
LA CCERA,RESIDUO MINERO,DESMONTE DE MINA,RAMIS,PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.05287363,-70.21039592,010002304;010137199;010383895,MINAS CCERA 1;PUPUJA-3;TINTAYA 5,"BELLIDO APARICIO, CARMEN MARIA MILAGROS;COMPAÑIA MINERA SOLIMANA S.A.;CORPORACION MINERA VULCAN S.A.;MACMILLAN GOLD CORP, SUCURSAL DEL PERU;NEWCREST RESOURCES INC., SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,29,2
