EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
DE AZUFRE YUCAMANE,RESIDUO MINERO,RELAVES,LOCUMBA,TACNA,CANDARAVE,CANDARAVE,-17.15272372,-70.28885582,10583810,PUCON 0004,BHP BILLITON WORLD EXPLORATION INC. SUCURSAL DEL PERU,NO IDENTIFICADO,---,---,55,4
DE AZUFRE TUTUPACA,RESIDUO MINERO,RELAVES,LOCUMBA,TACNA,CANDARAVE,CANDARAVE,-17.05587872,-70.32514184,010233306;14003784X01,CAMELIA;EL POZO DEL INDIO Nº 4,COMPAÑIA MINERA APACHETA QUELLA S.A.;MINERA DEL NORTE S.A.,NO IDENTIFICADO,---,---,24,1
DE AZUFRE TUTUPACA,RESIDUO MINERO,RELAVES,LOCUMBA,TACNA,CANDARAVE,CANDARAVE,-17.05715747,-70.31751236,010233306;14003784X01,CAMELIA;EL POZO DEL INDIO Nº 4,COMPAÑIA MINERA APACHETA QUELLA S.A.;MINERA DEL NORTE S.A.,NO IDENTIFICADO,---,---,31,2
AURORA,LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,CANDARAVE,CURIBAYA,-17.39892331,-70.33519512,010003896;010591410,MARIELA ONCE;PUCON 0080,"BHP BILLITON WORLD EXPLORATION INC. SUCURSAL DEL PERU;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,22,1
AURORA,RESIDUO MINERO,DESMONTE DE MINA,LOCUMBA,TACNA,CANDARAVE,CURIBAYA,-17.39872381,-70.33529721,010003896;010591410,MARIELA ONCE;PUCON 0080,"BHP BILLITON WORLD EXPLORATION INC. SUCURSAL DEL PERU;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,27,2
PADRECUCHO,RESIDUO MINERO,DESMONTE DE MINA,LOCUMBA,TACNA,CANDARAVE,CURIBAYA,-17.39736834,-70.35804703,010003696;010591310,MARIELA NUEVE;PUCON 0079,"BHP BILLITON WORLD EXPLORATION INC. SUCURSAL DEL PERU;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,31,2
AURORA,INFRAESTRUCTURA,NO DETERMINADO,LOCUMBA,TACNA,CANDARAVE,CURIBAYA,-17.39871308,-70.33555128,010003896;010591410,MARIELA ONCE;PUCON 0080,"BHP BILLITON WORLD EXPLORATION INC. SUCURSAL DEL PERU;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,22,1
COLPAR,LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,JORGE BASADRE,ILABAYA,-17.40496926,-70.50645672,010209509;010030492;010078003;010076503;14003968X01,LAKSHMI XVII;MARIA 1-1000;TARATA E;TARATA 2;TILINA REDUCCION Nº 1,"EREP S.A.C.;MINERA PEÑOLES DE PERU S.A.;MONTOYA LOPEZ, LUIS MAMERTO;PIQUERAS LUNA, ANTONIO",NO IDENTIFICADO,---,---,25,1
MINAYTITA,LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,JORGE BASADRE,ILABAYA,-17.38221387,-70.48368324,730001409;010055912;010030092,CHEJAYA I;CHEJAYA M;ROSA 1-1000,"COMPAÑIA MINERA MILPO S.A.A.;MAMANI LUVE, EDGAR;MONTOYA LOPEZ, LUIS MAMERTO",NO IDENTIFICADO,---,---,27,2
LIMA (CHEJAYA),LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,JORGE BASADRE,ILABAYA,-17.39558138,-70.49789963,730001409;010209109;730003811;010030092;010076603;14003963X01,CHEJAYA I;LAKSHMI XIV;PEPIN1;ROSA 1-1000;TARATA A;TILINA,"EREP S.A.C.;MAMANI LUVE, EDGAR;MINERA PEÑOLES DE PERU S.A.;MONTOYA LOPEZ, LUIS MAMERTO;NIGHTINGALE , FLORENCIA;PIQUERAS LUNA, ANTONIO;TRACTO AMERICA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA",NO IDENTIFICADO,---,---,20,1
LIMA (CHEJAYA),LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,JORGE BASADRE,ILABAYA,-17.39534637,-70.49790712,730001409;010209109;730003811;010030092;010076603;14003963X01,CHEJAYA I;LAKSHMI XIV;PEPIN1;ROSA 1-1000;TARATA A;TILINA,"EREP S.A.C.;MAMANI LUVE, EDGAR;MINERA PEÑOLES DE PERU S.A.;MONTOYA LOPEZ, LUIS MAMERTO;NIGHTINGALE , FLORENCIA;PIQUERAS LUNA, ANTONIO;TRACTO AMERICA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA",NO IDENTIFICADO,---,---,24,1
LIMA (CHEJAYA),LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,JORGE BASADRE,ILABAYA,-17.39534270,-70.49839652,730001409;010209109;730003811;010030092;010076603;14003963X01,CHEJAYA I;LAKSHMI XIV;PEPIN1;ROSA 1-1000;TARATA A;TILINA,"EREP S.A.C.;MAMANI LUVE, EDGAR;MINERA PEÑOLES DE PERU S.A.;MONTOYA LOPEZ, LUIS MAMERTO;NIGHTINGALE , FLORENCIA;PIQUERAS LUNA, ANTONIO;TRACTO AMERICA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA",NO IDENTIFICADO,---,---,27,2
LIMA (CHEJAYA),LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,JORGE BASADRE,ILABAYA,-17.39533380,-70.49837762,730001409;010209109;730003811;010030092;010076603;14003963X01,CHEJAYA I;LAKSHMI XIV;PEPIN1;ROSA 1-1000;TARATA A;TILINA,"EREP S.A.C.;MAMANI LUVE, EDGAR;MINERA PEÑOLES DE PERU S.A.;MONTOYA LOPEZ, LUIS MAMERTO;NIGHTINGALE , FLORENCIA;PIQUERAS LUNA, ANTONIO;TRACTO AMERICA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA",NO IDENTIFICADO,---,---,20,1
LIMA (CHEJAYA),LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,JORGE BASADRE,ILABAYA,-17.39545904,-70.49854806,010209109;010030592;010076603;14003963X01,LAKSHMI XIV;LUISA 1-1000;TARATA A;TILINA,"ACUARIOS MINERA Y EXPLORADORA S.A.;EREP S.A.C.;MINERA BARRICK MISQUICHILCA S.A.;MINERA PEÑOLES DE PERU S.A.;NIGHTINGALE , FLORENCIA;PIQUERAS LUNA, ANTONIO",NO IDENTIFICADO,---,---,20,1
LIMA (CHEJAYA),RESIDUO MINERO,DESMONTE DE MINA,LOCUMBA,TACNA,JORGE BASADRE,ILABAYA,-17.39523603,-70.49816035,730001409;010209109;730003811;010030092;010076603;14003963X01,CHEJAYA I;LAKSHMI XIV;PEPIN1;ROSA 1-1000;TARATA A;TILINA,"EREP S.A.C.;MAMANI LUVE, EDGAR;MINERA PEÑOLES DE PERU S.A.;MONTOYA LOPEZ, LUIS MAMERTO;NIGHTINGALE , FLORENCIA;PIQUERAS LUNA, ANTONIO;TRACTO AMERICA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA",NO IDENTIFICADO,---,---,25,1
MINAYTITA,LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,JORGE BASADRE,ILABAYA,-17.38435067,-70.48312636,730001409;010055912;010209109;010030092;010076603;14003963X01,CHEJAYA I;CHEJAYA M;LAKSHMI XIV;ROSA 1-1000;TARATA A;TILINA,"COMPAÑIA MINERA MILPO S.A.A.;EREP S.A.C.;MAMANI LUVE, EDGAR;MINERA PEÑOLES DE PERU S.A.;MONTOYA LOPEZ, LUIS MAMERTO;NIGHTINGALE , FLORENCIA;PIQUERAS LUNA, ANTONIO",NO IDENTIFICADO,---,---,22,1
LIMA (CHEJAYA),LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,JORGE BASADRE,ILABAYA,-17.39577022,-70.49802352,730001409;010209109;730003811;010030092;010076603;14003963X01,CHEJAYA I;LAKSHMI XIV;PEPIN1;ROSA 1-1000;TARATA A;TILINA,"EREP S.A.C.;MAMANI LUVE, EDGAR;MINERA PEÑOLES DE PERU S.A.;MONTOYA LOPEZ, LUIS MAMERTO;NIGHTINGALE , FLORENCIA;PIQUERAS LUNA, ANTONIO;TRACTO AMERICA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA",NO IDENTIFICADO,---,---,22,1
SALINA PUITE,LABOR MINERA,BOCAMINA,LOCUMBA,TACNA,JORGE BASADRE,ITE,-17.70963595,-70.94722783,010206510;14003512X01,FREMANTLE 4;SALINAS DE PUITE,EMPRESA DE LA SAL S.A.;PERUVIAN LATIN RESOURCES S.A.C.;QUIMPAC S.A.,NO IDENTIFICADO,---,---,16,1
SALINA PUITE,LABOR MINERA,PIQUE,LOCUMBA,TACNA,JORGE BASADRE,ITE,-17.71044730,-70.94740626,010206510;14003512X01,FREMANTLE 4;SALINAS DE PUITE,EMPRESA DE LA SAL S.A.;PERUVIAN LATIN RESOURCES S.A.C.;QUIMPAC S.A.,NO IDENTIFICADO,---,---,29,2
SALINA PUITE,LABOR MINERA,TRINCHERA,LOCUMBA,TACNA,JORGE BASADRE,ITE,-17.70925224,-70.94765730,010206510;14003512X01,FREMANTLE 4;SALINAS DE PUITE,EMPRESA DE LA SAL S.A.;PERUVIAN LATIN RESOURCES S.A.C.;QUIMPAC S.A.,NO IDENTIFICADO,---,---,16,1
SALINA PUITE,INFRAESTRUCTURA,NO DETERMINADO,LOCUMBA,TACNA,JORGE BASADRE,ITE,-17.71072214,-70.94702274,010206510;14003512X01,FREMANTLE 4;SALINAS DE PUITE,EMPRESA DE LA SAL S.A.;PERUVIAN LATIN RESOURCES S.A.C.;QUIMPAC S.A.,NO IDENTIFICADO,---,---,18,1
